t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
1.0,0.001,0.0,1.0,1.999613627883725e-07,4.995881073308976e-16,5.235503577401475e-13,5.168260834351091e-13,5.390233478620293e-17,7.097291067389242e-15,7.520231408200711e-17,3.130847646317284e-16,5.814636080618616e-18,1.0771408670834217e-19,1.7193859503710187e-21,3.466265274195565e-20,6.437604525637715e-22,1.1927626354955418e-23,1.9287063919322157e-25,1.3967504379849726e-18,2.5942124129463418e-20,4.817876610465102e-22,9.07025562450759e-24,1.3411230057158718e-05,99.99998658876994,0.014351586656871586,0.014623186546190497,-9.614724042824677e-20,1.1228250038688408e-17,2.8399786524807874e-22,1.523972564664356e-24,5.239999297251545e-13,3.1904415271869724e-16,7.66254975020382e-17,7.72744232554207e-15,1.719578821010212e-21,9.07025562450759e-24,ACBI1,9.26,36000.0,1500,360,60,0,0.1,2.49e-11,1.0,5.24e-14
1.0,0.001,0.0,1.0,1.9996129630685266e-07,4.994372333888045e-16,5.234686607136506e-13,5.168126183341442e-13,5.387714716510143e-17,7.094944017013913e-15,9.037344417596422e-17,3.7624348490436614e-16,8.401109453651496e-18,1.8701597200619496e-19,3.591064177722264e-21,4.163233607612184e-20,9.296103917999516e-22,2.0698469517520077e-23,4.027130683170482e-25,2.018109708494088e-18,4.5065844237723253e-20,1.0062513933262497e-21,2.2861182593451112e-23,2.7997309388183567e-05,99.99997200269061,0.017246840491596225,0.017640772679632055,-2.0081742471797272e-19,1.3551688281836577e-17,5.957051721950708e-22,3.857877797197531e-24,5.239998532940988e-13,3.848777844418521e-16,9.243764884127195e-17,7.740738629456743e-15,3.591466890790581e-21,2.2861182593451112e-23,ACBI1,9.26,36000.0,1500,360,60,0,0.12067926406393285,2.49e-11,1.0,5.24e-14
1.0,0.001,0.0,1.0,1.9996121618330586e-07,4.992547552179178e-16,5.233700844148309e-13,5.167963894695121e-13,5.3846721151950636e-17,7.092106245677551e-15,1.0851280990721499e-16,4.517580426926317e-16,1.2118539874544758e-17,3.239037956346987e-19,7.47691951532727e-21,4.995523865078342e-20,1.3400743283167593e-21,3.582680255358875e-23,8.382042351785821e-25,2.911219433314881e-18,7.810291505510298e-20,2.095112154616704e-21,5.744165122744449e-23,5.826029533295696e-05,99.99994173970467,0.020708551509010496,0.02127944366591428,-4.1813706735204387e-19,1.6356109310179836e-17,1.2467257262317966e-21,9.744045515971655e-24,5.239996947160525e-13,4.642592952603124e-16,1.1150428480939082e-16,7.756763338834796e-15,7.477757719562448e-21,5.744165122744449e-23,ACBI1,9.26,36000.0,1500,360,60,0,0.14563484775012436,2.49e-11,1.0,5.24e-14
1.0,0.001,0.0,1.0,1.999611196449838e-07,4.990339578307744e-16,5.232511067838323e-13,5.167768347751524e-13,5.380995643023322e-17,7.088673900682195e-15,1.3016032926221135e-16,5.41875228911734e-16,1.74471518572039e-17,5.593385098080616e-19,1.550981457457095e-20,5.987278456871217e-20,1.9277887231540692e-21,6.18221949393305e-23,1.7380318819730177e-24,4.191526880517562e-18,1.3497819916735642e-19,4.3460295790512495e-21,1.4379330467146894e-22,0.00012077144005218088,99.99987922855995,0.024839757492788425,0.025666283237553433,-8.674089203948174e-19,1.9741061066339975e-17,2.602194653147313e-21,2.454462238739603e-23,5.239993671576541e-13,5.599590932268392e-16,1.3449132416477998e-16,7.7760710032415e-15,1.551155260645292e-20,1.4379330467146894e-22,ACBI1,9.26,36000.0,1500,360,60,0,0.1757510624854792,2.49e-11,1.0,5.24e-14
1.0,0.001,0.0,1.0,1.999610033678556e-07,4.987666600289033e-16,5.231074243546889e-13,5.167532802813304e-13,5.376551380908676e-17,7.0845206313799016e-15,1.5593618915220413e-16,6.491753388322557e-16,2.5060760979168393e-17,9.625125728512102e-19,3.2030268928446255e-20,7.166006318435842e-20,2.7664063750597438e-21,1.0628889729565269e-22,3.587554782558048e-24,6.021077620820482e-18,2.3248686781210307e-19,8.975289621466131e-21,3.583599595939363e-22,0.0002492109183975799,99.9997507890816,0.029758814723703078,0.03095402429206446,-1.7914448667264436e-18,2.3826584418439965e-17,5.413860845483407e-21,6.162675332902553e-23,5.239986941347876e-13,6.753051789992153e-16,1.6219908729041777e-16,7.799326428854322e-15,3.2033856483228816e-20,3.583599595939363e-22,ACBI1,9.26,36000.0,1500,360,60,0,0.21209508879201905,2.49e-11,1.0,5.24e-14
1.0,0.001,0.0,1.0,1.9996086337278077e-07,4.984428795484987e-16,5.229337293895961e-13,5.167249189666199e-13,5.37117572376816e-17,7.0794925246556154e-15,1.865447588151134e-16,7.765879623007241e-16,3.5897467694699224e-17,1.649370633731976e-18,6.579817372803466e-20,8.562625338742046e-20,3.958122046710644e-21,1.8194173751401138e-22,7.36535072924198e-24,8.625591574460814e-18,3.9883237372917733e-19,1.8437580057905445e-20,8.883791036796401e-22,0.0005114450301988427,99.9994885549698,0.03560014481204454,0.037326051282913164,-3.680335147811045e-18,2.875728506652917e-17,1.1220145918493006e-20,1.541360405933793e-22,5.239973200280418e-13,8.142903724854057e-16,1.9558850872246497e-16,7.827325443846783e-15,6.58055390787639e-20,8.883791036796401e-22,ACBI1,9.26,36000.0,1500,360,60,0,0.2559547922699536,2.49e-11,1.0,5.24e-14
1.0,0.001,0.0,1.0,1.9996069490498623e-07,4.980504180075604e-16,5.227233800366663e-13,5.16690786173086e-13,5.3646676921624096e-17,7.073401855514105e-15,2.227746184680355e-16,9.273911948193211e-16,5.125099301976187e-17,2.812331143247502e-18,1.3431694226675846e-19,1.0211273894924741e-19,5.643282982720771e-21,3.098260978129161e-22,1.502439569783024e-23,1.2316586504696139e-17,6.809402244986117e-19,3.7637738964322283e-20,2.188463912559736e-21,0.0010428240868236571,99.99895717591318,0.04251424016565563,0.045002284618341055,-7.51347817651097e-18,3.470704818611598e-17,2.3146666250310834e-20,3.837389439713668e-22,5.23994535601785e-13,9.816969167970227e-16,2.3581197140010714e-16,7.861019002715821e-15,1.343319666624563e-19,2.188463912559736e-21,ACBI1,9.26,36000.0,1500,360,60,0,0.3088843596477481,2.49e-11,1.0,5.24e-14
1.0,0.001,0.0,1.0,1.999604922957556e-07,4.975743474728699e-16,5.224678878690613e-13,5.166497313375857e-13,5.356778425382628e-17,7.066019394198338e-15,2.654924406118989e-16,1.1051845186106384e-15,7.288500211976438e-17,4.7670474297567736e-18,2.7214630038269056e-19,1.214877074399861e-19,8.012224495412343e-21,5.243536646434344e-22,3.0415027184135194e-23,1.7519190532047876e-17,1.156025816144146e-18,7.626027474528042e-20,5.350979556287994e-21,0.0021099826925734533,99.99789001730743,0.050666496299980705,0.054246043552364974,-1.5224971992942322e-17,4.188431073764393e-17,4.7488756127036817e-20,9.501201496310613e-22,5.239889436906909e-13,1.1832387691611694e-15,2.8424926821439245e-16,7.901540848840054e-15,2.721767154098747e-19,5.350979556287994e-21,ACBI1,9.26,36000.0,1500,360,60,0,0.372759372031494,2.49e-11,1.0,5.24e-14
1.0,0.001,0.0,1.0,1.9996024880628354e-07,4.969963793235333e-16,5.221560916790005e-13,5.166003859965209e-13,5.3471963750547895e-17,7.057065000124249e-15,3.1562770556058185e-16,1.3138222063508988e-15,1.0317008515316964e-16,8.024189297904403e-18,5.465595270893855e-19,1.4413564426352174e-19,1.1319115586662344e-20,8.809726085414142e-22,6.101841466272004e-23,2.4805703102866295e-17,1.949469088473942e-18,1.5315714590707599e-19,1.2968458189401879e-20,0.004230518475793588,99.9957694815242,0.060234294954309514,0.06537194720534704,-3.058044104742862e-17,5.053756335736191e-17,9.679376436871765e-20,2.3370841757118315e-21,5.239778320831869e-13,1.4257194370799356e-15,3.4254900335601855e-16,7.950238743305221e-15,5.466205455040482e-19,1.2968458189401879e-20,ACBI1,9.26,36000.0,1500,360,60,0,0.44984326689694454,2.49e-11,1.0,5.24e-14
1.0,0.001,0.0,1.0,1.9995995645572625e-07,4.962940990178123e-16,5.217727983100812e-13,5.165411284285078e-13,5.3355259002619094e-17,7.046196283867342e-15,3.7414435909225194e-16,1.557290061293168e-15,1.4523770862528295e-16,1.3396276300992596e-17,1.086310085652446e-18,1.7043970810420447e-19,1.5896930527541767e-20,1.467465150159674e-21,1.2111971302934302e-22,3.4933775835143343e-17,3.261638741398363e-18,3.044095460359458e-19,3.1104409318479477e-20,0.00839176751208015,99.99160823248792,0.07140159524661296,0.07875482588247101,-6.078858614347933e-17,6.096024920525504e-17,1.9575524538169516e-19,5.703993568849477e-21,5.239560271382367e-13,1.7171982815285909e-15,4.126752876241481e-16,8.008708854735418e-15,1.0864312053654754e-18,3.1104409318479477e-20,ACBI1,9.26,36000.0,1500,360,60,0,0.5428675439323859,2.49e-11,1.0,5.24e-14
