t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,6.0,1.9999362635893106e-07,5.239833010709281e-16,5.2274190758491317e-14,5.1654912954255375e-14,5.644953422923964e-18,7.442833845825022e-16,7.874181059615746e-19,1.1690589387697193e-16,2.3621349988150148e-18,4.7040924534889026e-20,2.4265805724335423e-22,1.2649865904173887e-20,2.5559625483036636e-22,5.0902444827766246e-24,2.641806508739454e-26,1.5914793817809847e-20,3.2164925585271614e-22,6.490222609296245e-24,1.224741835063253e-25,6.183947867555162e-05,99.99993816052132,0.0015027063090869745,0.0015337045071221948,-4.043819680839753e-21,-6.077384413822675e-26,-1.883819837828058e-29,-9.484605473988217e-33,5.239996759611317e-14,1.193282230372006e-16,8.0366116173203e-19,1.274728210816908e-15,2.426844753084416e-22,1.224741835063253e-25,ACBI1,9.26,36000.0,1500,10,30,30,0.1,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999362553992831e-07,5.239832989371553e-16,5.2249325522811374e-14,5.1654749133251433e-14,5.6422630158502586e-18,7.442810214254396e-16,9.462777200574576e-19,1.4048475553620545e-16,3.4124037213517587e-18,8.146467351834623e-20,5.06616270949206e-22,1.5201103239422646e-20,3.69238249578657e-22,8.815179845310789e-24,5.515506766237264e-26,2.2994980667081817e-20,5.587624504316156e-22,1.3551208151090698e-23,3.0857559901938148e-25,0.000129120402007743,99.99987087959799,0.0018058735115600336,0.001850849852974658,-8.44349104052147e-21,-1.5247103576111716e-25,-8.212097636767235e-29,-4.988449637751563e-32,5.2399932340909354e-14,1.4399470975917044e-16,9.69845322958721e-19,1.2748920079132278e-15,5.066714260168684e-22,3.0857559901938148e-25,ACBI1,9.26,36000.0,1500,10,30,30,0.12067926406393285,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.999936245516681e-07,5.239832963736923e-16,5.221929383254808e-14,5.1654551439099645e-14,5.639013664356013e-18,7.442781696569814e-16,1.1362219646310966e-18,1.6867398271144279e-16,4.921441878057067e-18,1.4065950770026536e-19,1.05433616517874e-21,1.8251127260449164e-20,5.325182307945239e-22,1.5220531565620036e-23,1.1478506629213164e-25,3.317191274471732e-20,9.683865521113938e-22,2.8204539895492717e-23,7.74986524742253e-25,0.0002687502479830073,99.99973124975202,0.0021683625279219397,0.0022335710752945524,-1.7574264886963694e-20,-3.810766152069246e-25,-3.5572064211491693e-28,-2.6081293839307363e-31,5.239985917487006e-14,1.7375593741417317e-16,1.1703912434543455e-18,1.2750896699192919e-15,1.054450950245032e-21,7.74986524742253e-25,ACBI1,9.26,36000.0,1500,10,30,30,0.14563484775012436,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999362335900797e-07,5.239832933043078e-16,5.21829996270728e-14,5.1654312869815666e-14,5.635086819811406e-18,7.442747282939073e-16,1.3629065627356043e-18,2.0231044083001972e-16,7.08356709748466e-18,2.4200319584098474e-19,2.1858586036605585e-21,2.1890452420998254e-20,7.664594842264903e-22,2.6186681724771285e-23,2.3797336327765417e-25,4.77613331884332e-20,1.673574872906752e-21,5.848055601234e-23,1.9389638005718886e-24,0.0005572593484259869,99.99944274065157,0.0026009667227778707,0.0026954234548029715,-3.6440676152285955e-20,-9.477690459687324e-25,-1.5291900291028013e-27,-1.3530216454235843e-30,5.239970799610143e-14,2.0966088031850932e-16,1.4124018903167573e-18,1.2753281936449037e-15,2.1860965770238364e-21,1.9389638005718886e-24,ACBI1,9.26,36000.0,1500,10,30,30,0.1757510624854792,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999362191991472e-07,5.239832896529839e-16,5.2139091020195564e-14,5.165402497813657e-14,5.6303362797963376e-18,7.442705755327438e-16,1.63282811216675e-18,2.4235405056078287e-16,1.017092977138551e-17,4.14595377039257e-19,4.5111256637953415e-21,2.6222891859763047e-20,1.1005049994858158e-21,4.4862367607194726e-23,4.911240539602027e-25,6.861013318553668e-20,2.8825486002696297e-21,1.2070745481641057e-22,4.8290881434931894e-24,0.0011502702460433056,99.99884972975396,0.003116084183524332,0.003252760172701366,-7.52192152666052e-20,-2.343787790945769e-24,-6.514304459769527e-27,-6.955818408745046e-30,5.239939725839108e-14,2.5297145558522236e-16,1.7044463304955161e-18,1.2756160165463706e-15,4.5116167878493015e-21,4.8290881434931894e-24,ACBI1,9.26,36000.0,1500,10,30,30,0.21209508879201905,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999362018346266e-07,5.239832853597648e-16,5.208587829735038e-14,5.1653677575903183e-14,5.624579331646131e-18,7.442655645150853e-16,1.9533639473183517e-18,2.8989243661798775e-16,1.4561411651855925e-17,7.066819755116591e-19,9.259465534963472e-21,3.136605431068978e-20,1.5755347436881265e-21,7.646800937932817e-23,1.0080734946596427e-24,9.829094696036955e-20,4.944922153826e-21,2.4780334410992274e-22,1.1961858895348011e-23,0.002361555267782478,99.99763844473222,0.003727793792592274,0.003925304545106016,-1.544275679713533e-19,-5.7565010411277344e-24,-2.74516631316849e-26,-3.537385781378649e-29,5.2398762545039687e-14,3.0520280877602757e-16,2.0568595816355523e-18,1.2759633078532692e-15,9.260473608458132e-21,1.1961858895348011e-23,ACBI1,9.26,36000.0,1500,10,30,30,0.2559547922699536,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.99993618088439e-07,5.239832804223138e-16,5.2021207719080945e-14,5.1653258381574424e-14,5.617583125308458e-18,7.44259518312525e-16,2.3327689139104367e-18,3.4613818931281175e-16,2.077411144217934e-17,1.1972978389531343e-18,1.8883199671075932e-20,3.745103997127459e-20,2.2477029957296703e-21,1.29555426925975e-22,2.0558047137257657e-24,1.4035404223674807e-19,8.442261415597208e-21,5.054564930757909e-22,2.943885092902939e-23,0.004817338803491111,99.99518266119651,0.004451849072348161,0.0047368322765396695,-3.150122762541251e-19,-1.4023359431060465e-23,-1.1420085422653973e-25,-1.7758831159782195e-28,5.239747571446697e-14,3.6816831214781387e-16,2.482100112906787e-18,1.2763823123272525e-15,1.888525547578966e-20,2.943885092902939e-23,ACBI1,9.26,36000.0,1500,10,30,30,0.3088843596477481,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999361556125487e-07,5.239832749870309e-16,5.19422587589564e-14,5.1652752604684366e-14,5.6090427808921385e-18,7.4425222407904395e-16,2.7801017942857617e-18,4.1241390452609715e-16,2.951262491687148e-17,2.014048985742785e-18,3.821438005096049e-20,4.4620812163692974e-20,3.1931177762398976e-21,2.179318019168558e-22,4.160380820224768e-24,1.996432516460812e-19,1.4331143346865046e-20,1.0231513808391735e-21,7.1895969776826e-23,0.0097522866320503,99.99024771336795,0.005305537775354506,0.005715975642422374,-6.376932724987705e-19,-3.383269174666772e-23,-4.678679151727846e-25,-8.780137156311044e-28,5.239488980180481e-14,4.4402682883088503e-16,2.995171236629324e-18,1.276887749105719e-15,3.821854043178071e-20,7.1895969776826e-23,ACBI1,9.26,36000.0,1500,10,30,30,0.372759372031494,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999361251370212e-07,5.23983269547802e-16,5.184520881047047e-14,5.1652142466685686e-14,5.598545189234898e-18,7.44243426452486e-16,3.305041731804061e-18,4.901177520502862e-16,4.17145813351953e-17,3.3593662603722004e-18,7.663443403976675e-20,5.302646060765842e-20,4.5131954089384645e-21,3.635001079882145e-22,8.343153154786678e-24,2.826750118390115e-19,2.4163717098840928e-20,2.052407130329788e-21,1.7399391081498274e-22,0.01956544255600079,99.980434557444,0.006307331549244391,0.006897150499585988,-1.2792739431653933e-18,-8.069269559102765e-23,-1.882393948006859e-24,-4.2630545436668e-27,5.238974770810066e-14,5.353262455791713e-16,3.614106861783058e-18,1.2774972595505836e-15,7.664277719292154e-20,1.7399391081498274e-22,ACBI1,9.26,36000.0,1500,10,30,30,0.44984326689694454,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999360884060597e-07,5.239832653686508e-16,5.1724672373942186e-14,5.1651406672337105e-14,5.585508466930976e-18,7.442328205899332e-16,3.917536590897117e-18,5.806586843982446e-16,5.860252776661299e-17,5.54756111024406e-18,1.5203748660427716e-19,6.282017922784493e-20,6.340158568723118e-21,6.002680441520359e-22,1.6552246202509958e-23,3.98063359848915e-19,4.0417281897676284e-20,4.073265617021824e-21,4.1657479352186705e-22,0.0388378293855709,99.96116217061443,0.007476214868124269,0.00832157838369132,-2.539016149231453e-18,-1.8986310577746554e-22,-7.413395570674076e-24,-2.0260936231708594e-26,5.237964897740196e-14,6.450305879197929e-16,4.360507073054252e-18,1.2782318786566558e-15,1.5205403885047968e-19,4.1657479352186705e-22,ACBI1,9.26,36000.0,1500,10,30,30,0.5428675439323859,2.49e-11,0.1,5.240000000000001e-15
