t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,6.0,1.9999362635892953e-07,5.239833010674167e-16,5.227420069238427e-14,5.165491295409606e-14,5.644954495621632e-18,7.442833845751162e-16,7.874182555900237e-19,1.1690614997254817e-16,2.3623724990258902e-18,4.728037817396288e-20,4.845031149244736e-22,1.2649893564036031e-20,2.5562190207628005e-22,5.116102583689161e-24,5.253459660069436e-26,1.5914800364980044e-20,3.216529510574955e-22,6.493895975474187e-24,1.262804947608581e-25,4.1018614638232975e-05,99.99995898138536,0.0015027065946374497,0.0015337048264933808,-2.6974440387699586e-21,-4.054113964111824e-26,-2.5152873876785026e-29,-6.521853145319245e-33,5.239997850624593e-14,1.1932919803696623e-16,8.036613290825315e-19,1.2747282121513403e-15,4.845556495210742e-22,1.262804947608581e-25,ACBI1,9.26,36000.0,1500,10,10,10,0.1,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999362481633877e-07,5.239832970454505e-16,5.2227378085961984e-14,5.165460439771236e-14,5.639888345150913e-18,7.442789335712736e-16,1.085527105899505e-18,1.6115169024582317e-16,4.4925523964814746e-18,1.2361204089810679e-19,1.753831046622029e-21,1.7437234417964005e-20,4.8611185474300655e-22,1.3375671637895878e-23,1.9016762327356081e-25,3.027323960540265e-20,8.442273759413727e-22,2.350816080788244e-23,6.351619044971077e-25,0.00014849532499283669,99.99985150467501,0.0020716166143120323,0.0021310471683274068,-9.765408830545355e-21,-2.0230180142211804e-25,-3.296235339522766e-28,-1.1881197699378134e-31,5.2399922188449705e-14,1.657875454263613e-16,1.1166687162035612e-18,1.2750367245901906e-15,1.7540212142453025e-21,6.351619044971077e-25,ACBI1,9.26,36000.0,1500,10,10,10,0.13894954943731375,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.999936226731257e-07,5.239832915050294e-16,5.2162221880300625e-14,5.165417567734953e-14,5.632838796619655e-18,7.44272749241685e-16,1.4920261744614183e-18,2.2146994935072102e-16,8.493925632984874e-18,3.2004419383381407e-19,6.27849102625728e-21,2.39633923894961e-20,9.190571991994311e-22,3.463059703578289e-23,6.80775782723404e-25,5.726240867330331e-20,2.197503911949943e-21,8.416217283195041e-23,3.1594310863990184e-24,0.0005316642453720988,99.99946833575463,0.0028473781955370577,0.002961017955440057,-3.496410590988098e-20,-9.954919752909828e-25,-4.224935196546725e-27,-2.1158832604666964e-30,5.2399721407935426e-14,2.303151154295274e-16,1.55157340865059e-18,1.2754653707129461e-15,6.279171802040003e-21,3.1594310863990184e-24,ACBI1,9.26,36000.0,1500,10,10,10,0.193069772888325,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999361969560112e-07,5.239832839898836e-16,5.2071332595543535e-14,5.1653580019342925e-14,5.623005621489472e-18,7.442641570906897e-16,2.042372829454084e-18,3.031008542692266e-16,1.5930764707733772e-17,8.176994327068985e-19,2.2138167687108486e-20,3.2795035817030724e-20,1.7236880025188564e-21,8.847837480608417e-23,2.4004379638286483e-24,1.0748282864370614e-19,5.655641105574156e-21,2.96787805298485e-22,1.547932772169289e-23,0.0018750173447585894,99.99812498265524,0.0038976580714772595,0.0041141671113289775,-1.233095652231413e-19,-4.805929961223657e-24,-5.253965483065676e-26,-3.6560365418201404e-29,5.239901749091135e-14,3.199060661799867e-16,2.1558235663363845e-18,1.2760608798710316e-15,2.2140568125072314e-20,1.547932772169289e-23,ACBI1,9.26,36000.0,1500,10,10,10,0.2682695795279726,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999361555985428e-07,5.239832742477783e-16,5.1943810342216676e-14,5.1652752509060016e-14,5.609210322478955e-18,7.44252221591178e-16,2.780184829795637e-18,4.124628542006011e-16,2.9550966977265554e-17,2.051981837327144e-18,7.647269367836304e-20,4.462610055101023e-20,3.1972584277714062e-21,2.2202810313318657e-22,8.291921720158932e-24,1.9965117508176683e-19,1.433370160126944e-20,1.0253450574933544e-21,7.429736728466312e-23,0.006478718939064265,99.99352128106094,0.005305696240068009,0.005716162879586738,-4.2606795692450494e-19,-2.260486603709327e-23,-6.27124849878329e-25,-6.063658783939875e-28,5.239660515127593e-14,4.441903293878758e-16,2.9952693489034508e-18,1.2768880291893422e-15,7.64809856000832e-20,7.429736728466312e-23,ACBI1,9.26,36000.0,1500,10,10,10,0.372759372031494,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999360981865533e-07,5.239832633677683e-16,5.1762569434010725e-14,5.1651603266808316e-14,5.589606195932678e-18,7.442356495952685e-16,3.7560417551051664e-18,5.569236483711022e-16,5.399367299540256e-17,5.026666269741305e-18,2.5696509113273416e-19,6.025282483880725e-20,5.841549020630831e-21,5.438789540051281e-22,2.786268229379946e-23,3.6566614132377697e-19,3.5582768823369785e-20,3.446036607768116e-21,3.468944446628094e-22,0.02177911708810143,99.9782208829119,0.007168018616612912,0.007940999229589206,-1.4321727470687439e-18,-1.0266391068372395e-22,-7.08440312033346e-24,-9.517860830586313e-27,5.238858774264584e-14,6.162676188428745e-16,4.161083596304744e-18,1.27803626887077e-15,2.5699295381502797e-19,3.468944446628094e-22,ACBI1,9.26,36000.0,1500,10,10,10,0.517947467923121,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999360186061503e-07,5.239832581510623e-16,5.1498214158993894e-14,5.1650008717038153e-14,5.561017190915862e-18,7.442126712174914e-16,5.022768085852477e-18,7.439663286934229e-16,9.664104252982866e-17,1.1925406455453888e-17,8.322732957014545e-19,8.048333085495748e-20,1.0454902950588129e-20,1.2902649676473687e-21,9.024325365694446e-23,6.571968784460945e-19,8.592149793100115e-20,1.1164133477019023e-20,1.561148707996469e-21,0.07058939380600293,99.929410606194,0.00958543527834442,0.011027885008424786,-4.640362640986907e-18,-4.450047291410084e-22,-7.438056889234718e-23,-1.3885107907843423e-25,5.236301115764565e-14,8.534573697164337e-16,5.778611744414588e-18,1.2796278770459112e-15,8.323635389551115e-19,1.561148707996469e-21,ACBI1,9.26,36000.0,1500,10,10,10,0.7196856730011519,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.999935908712653e-07,5.239832865836662e-16,5.109501815734526e-14,5.164780228809626e-14,5.517424393915383e-18,7.441809296172096e-16,6.623856536169267e-18,9.791446053315392e-16,1.6819579035445455e-16,2.7126063261888373e-17,2.5681037350668387e-18,1.0591623595806215e-19,1.8194498731473633e-20,2.9347460923106173e-21,2.784590611434325e-22,1.151767262591043e-18,2.0000422851344001e-19,3.446091574992014e-20,6.6933437483476785e-21,0.2181025750978165,99.78189742490218,0.012640947588109288,0.015299202837351178,-1.432218044337969e-17,-1.8137663482240652e-21,-7.09408878553638e-22,-1.8400719831932958e-24,5.228571425064875e-14,1.177161886622792e-15,8.016782286772018e-18,1.2818257468214064e-15,2.5683821941279822e-18,6.6933437483476785e-21,ACBI1,9.26,36000.0,1500,10,10,10,1.0,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.999935758331032e-07,5.239834476391311e-16,5.044184743146788e-14,5.1644770981364954e-14,5.446827366466578e-18,7.441375086289623e-16,8.56920001914967e-18,1.2617847262099291e-15,2.818257907647705e-16,5.841753234776294e-17,7.439423984793727e-18,1.364757612122948e-19,3.048352478319026e-20,6.319725540161138e-21,8.066556669335383e-22,1.9518550115602258e-18,4.436374114896295e-19,9.987649556297776e-20,2.694106830888937e-20,0.633535633941051,99.36646436605895,0.01635343515104899,0.02116700382838052,-4.1474449869090325e-17,-6.822162900757497e-21,-5.975782558643772e-21,-2.15361537938538e-23,5.206802732781489e-14,1.6096415589744587e-15,1.1091510006071394e-17,1.2848333793078333e-15,7.44023064046066e-18,2.694106830888937e-20,ACBI1,9.26,36000.0,1500,10,10,10,1.3894954943731375,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999355566628542e-07,5.239840503471148e-16,4.9324571406427e-14,5.164067733704284e-14,5.326107904864835e-18,7.44079465867269e-16,1.0790031262763892e-17,1.5771606044761128e-15,4.486037931362606e-16,1.17256052292426e-16,1.986685445462488e-17,1.7056606470765123e-19,4.851767809000181e-20,1.2683920546685726e-20,2.1541620294712522e-21,3.162429587760152e-18,9.238859039117943e-19,2.6688898858892934e-19,9.996134690596677e-20,1.7017901954072556,98.29820980459274,0.020591662715198265,0.029090070782310566,-1.1051589339610919e-16,-2.3133414910007753e-20,-4.2984691197161235e-20,-2.1522391154063178e-22,5.15082619376066e-14,2.163121226184798e-15,1.5243197089930737e-17,1.2888667430345534e-15,1.986900861665435e-17,9.996134690596677e-20,ACBI1,9.26,36000.0,1500,10,10,10,1.9306977288832496,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999352969916148e-07,5.239859193338758e-16,4.738439564475362e-14,5.163534675349067e-14,5.116535056076968e-18,7.440055701594237e-16,1.307200360221328e-17,1.8856889830090853e-15,6.666811556667304e-16,2.1523283002287507e-16,4.7842145585761726e-17,2.0390459684066112e-19,7.209451867878081e-20,2.3279914244446305e-20,5.187536560032625e-21,4.825088385091068e-18,1.7729195083427373e-18,6.432355857072056e-19,3.3442926837461375e-19,4.149027791965253,95.85097220803475,0.024946571759949007,0.039403962499482637,-2.6440856760801626e-16,-6.874067805143733e-20,-2.539862746512805e-19,-1.766533791341483e-21,5.0225909437010207e-14,2.8157495808507764e-15,2.06476763497289e-17,1.2940601674654293e-15,4.784733312232176e-17,3.3442926837461375e-19,ACBI1,9.26,36000.0,1500,10,10,10,2.6826957952797246,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999349859238177e-07,5.239908027421435e-16,4.4170287920432985e-14,5.162885485099581e-14,4.7694292316632235e-18,7.439196490130189e-16,1.5004759108716538e-17,2.1173168846136976e-15,9.061807058324446e-16,3.5370003187489395e-16,1.0136391559668166e-16,2.2891832116845108e-19,9.798120310490354e-20,3.825204595050706e-20,1.0991004142863482e-20,6.80467182490925e-18,3.0675726096151383e-18,1.3642546891872052e-18,9.842417587912664e-19,9.005304331778717,90.99469566822128,0.028635036467016293,0.05195706105194541,-5.51713536610837e-16,-1.7334752152086466e-19,-1.1830043640182958e-18,-1.1426295538978388e-20,4.7681220530147957e-14,3.4789376804920844e-15,2.7225499991219396e-17,1.3002815235524115e-15,1.0137490660082453e-16,9.842417587912664e-19,ACBI1,9.26,36000.0,1500,10,10,10,3.72759372031494,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.999934652270531e-07,5.240012678982762e-16,3.9399668049920725e-14,5.162173243827469e-14,4.254302777654285e-18,7.438334018613317e-16,1.6058330182695352e-17,2.190355038914904e-15,1.1048219142875887e-15,5.104893930813558e-16,1.8471852337799466e-16,2.3678238653512894e-19,1.1944406178726755e-19,5.52010733619906e-20,2.0029592405414356e-20,8.707588484362825e-18,4.6878827171043915e-18,2.4894407504182632e-18,2.490917729250479e-18,17.119899161568426,82.88010083843157,0.03064566828758655,0.06571404554166281,-9.752119909302385e-16,-3.597997125247944e-19,-4.185938156876575e-18,-5.611998619909137e-20,4.342917283933815e-14,3.990816326775933e-15,3.4434159863831313e-17,1.306954589515183e-15,1.8473855297040008e-16,2.490917729250479e-18,ACBI1,9.26,36000.0,1500,10,10,10,5.17947467923121,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999343407886845e-07,5.240190588565752e-16,3.3341161061326595e-14,5.161488766071009e-14,3.600163192985422e-18,7.437627311342129e-16,1.5871604349418942e-17,2.0633729360551134e-15,1.196048666955735e-15,6.41242980385194e-16,2.86025617475786e-16,2.2302802453028326e-19,1.2929121363750024e-19,6.933018870898392e-20,3.1015578531847425e-20,1.0004491116565012e-17,6.256439190641301e-18,3.861742640013243e-18,5.355330858752066e-18,28.295317369175194,71.7046826308248,0.030289321277517062,0.07891146594540184,-1.4314450089857575e-15,-6.027888426656571e-19,-1.1008470925369212e-17,-2.0473511994979506e-19,3.7573253698552196e-14,4.187142865877237e-15,4.1349608155390564e-17,1.3131842263445726e-15,2.8605663305431784e-16,5.355330858752066e-18,ACBI1,9.26,36000.0,1500,10,10,10,7.196856730011517,2.49e-11,0.1,5.240000000000001e-15
