t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,6.0,1.999936263589272e-07,5.239833010618214e-16,5.2390186765993906e-14,5.1654912953848367e-14,5.657479559482035e-18,7.442833845635879e-16,7.891653803962013e-19,3.2868719227477375e-18,5.928490758327808e-20,1.066647034252306e-21,1.6522515324589538e-23,3.804708573510964e-22,6.862527496447915e-24,1.2349088470377999e-25,1.9366595212599767e-27,1.4234731638993184e-20,2.567618367271857e-22,4.631352386154846e-24,8.496340901354679e-26,8.5217514111946e-06,99.99999147824859,0.001506040802282827,0.001533705324785719,-5.500249756806046e-22,-8.292505835683276e-27,-1.7349977172955353e-31,-8.92135560084821e-34,5.239999553460227e-14,3.347627458692984e-18,8.036615901877168e-19,1.2747282142338915e-15,1.6524451984110798e-23,8.496340901354679e-26,ACBI1,9.26,36000.0,1500,360,60,60,0.1,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999362553992014e-07,5.239832989176631e-16,5.2389323583341656e-14,5.1654749132215905e-14,5.6573810633046706e-18,7.442810213825439e-16,9.488131986236883e-19,3.9517971897553454e-18,8.569755856963262e-20,1.8528749797504807e-21,3.4521183865161764e-23,4.573251789747448e-22,9.917468554602817e-24,2.1447033415131444e-25,4.046343904463783e-27,2.0577053908858108e-20,4.462575467358371e-22,9.677949499667807e-24,2.142269456883421e-25,1.7823639581138195e-05,99.99998217636042,0.001810712211113909,0.00185085191270177,-1.1504088507036722e-21,-2.0825927897834712e-26,-7.581803818090372e-31,-4.7022316039425154e-33,5.2399990660412866e-14,4.0398496056528016e-18,9.698464022557276e-19,1.2748920152269317e-15,3.452523020906623e-23,2.142269456883421e-25,ACBI1,9.26,36000.0,1500,360,60,60,0.12067926406393285,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999362455156308e-07,5.239832963316913e-16,5.238827767317337e-14,5.165455143648818e-14,5.657261794194937e-18,7.442781695589747e-16,1.1398988268134924e-18,4.7476544163406304e-18,1.2369046960008686e-19,3.2110555062895802e-21,7.190819259813134e-23,5.492626697570746e-22,1.4310011083710986e-23,3.7158435092937793e-25,8.428600729249368e-27,2.9700564154030695e-20,7.73860976865282e-22,2.0163024956924432e-23,5.385170226930011e-25,3.717419203042027e-05,99.99996282580797,0.002175379440483764,0.002233576247111389,-2.3993806011954056e-21,-5.219103748942214e-26,-3.293885679464019e-30,-2.4646396097123017e-32,5.239998052072338e-14,4.875191802333398e-18,1.1703939534863679e-18,1.2750896855910412e-15,7.191662119886059e-23,5.385170226930011e-25,ACBI1,9.26,36000.0,1500,360,60,60,0.14563484775012436,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999362335884367e-07,5.239832932143666e-16,5.238700675306883e-14,5.165431286326135e-14,5.657116993663967e-18,7.442747280699227e-16,1.3682347852487095e-18,5.698647621081038e-18,1.7820416460341483e-19,5.549135151189958e-21,1.4924368194330961e-22,6.590494796543845e-22,2.0609525381562306e-23,6.419504126332776e-25,1.7493353041335385e-26,4.2792323869893175e-20,1.3383537195741933e-21,4.1857122000707343e-23,1.3488065458050526e-24,7.727249192157615e-05,99.99992272750808,0.002611135086352499,0.0026954363907761895,-4.9875201731311634e-21,-1.3021884734664286e-25,-1.4210515119781405e-29,-1.283824383711017e-31,5.239995950921423e-14,5.883230482966389e-18,1.4124086687667234e-18,1.275328227265169e-15,1.4926117529635094e-22,1.3488065458050526e-24,ACBI1,9.26,36000.0,1500,360,60,60,0.1757510624854792,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999362191951262e-07,5.239832894597113e-16,5.23854551263519e-14,5.1654024961774685e-14,5.656940424476691e-18,7.442705750180214e-16,1.6405434400664607e-18,6.832765949523778e-18,2.5618840217527497e-19,9.557436802164389e-21,3.084130925122195e-22,7.898745713547445e-22,2.9616015760518704e-23,1.1052442029324355e-24,3.615013382523352e-26,6.152269565424491e-20,2.307186399858126e-21,8.65211240211259e-23,3.3637147678229525e-24,0.00015997935705058808,99.99984002064295,0.003130808091729887,0.003252792379693421,-1.0325859067959217e-20,-3.233067533957795e-25,-6.079785827194147e-29,-6.628491098171004e-31,5.239991617081691e-14,7.09964083357518e-18,1.7044632069593527e-18,1.27561608874115e-15,3.0844924264604474e-22,3.3637147678229525e-24,ACBI1,9.26,36000.0,1500,360,60,60,0.21209508879201905,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999362018271603e-07,5.239832849447212e-16,5.238354620832288e-14,5.165367753530177e-14,5.656723561246446e-18,7.44265563329583e-16,1.964527311052959e-18,8.182072511491031e-18,3.6734932068193262e-19,1.6395205135536348e-20,6.340576033715291e-22,9.453772926328277e-22,4.2445238897281744e-23,1.89515045615895e-24,7.432001945371006e-26,8.822562757102548e-20,3.962150991420672e-21,1.7793358662610248e-22,8.345410707696716e-24,0.0003296295044776798,99.99967037049552,0.003749097921856792,0.003925384291245684,-2.1276053812220507e-20,-7.97645660261553e-25,-2.5754216518545517e-28,-3.388557034070192e-30,5.2399827274139656e-14,8.567440886913877e-18,2.056901368612739e-18,1.2759634629961654e-15,6.341319233909828e-22,8.345410707696716e-24,ACBI1,9.26,36000.0,1500,360,60,60,0.2559547922699536,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.999936180867751e-07,5.239832795299629e-16,5.238116898987393e-14,5.1653258281519964e-14,5.6564541273017915e-18,7.442595155765229e-16,2.3489105231123123e-18,9.782869337176626e-18,5.25125448889733e-19,2.799136316701558e-20,1.2955706623561884e-21,1.1296587825072227e-21,6.063944475276494e-23,3.2338881290886354e-24,1.5185818356345837e-25,1.2613475519657762e-19,6.773333623174654e-21,3.637131965843734e-22,2.0578454127793584e-23,0.0006753391055696056,99.99932466089443,0.004482653670061665,0.004737028441951864,-4.359028940296148e-20,-1.9539769077962374e-24,-1.0781511487582907e-27,-1.7118963655714348e-29,5.2399646122308684e-14,1.0338475403869305e-17,2.482202903582777e-18,1.2763826458213438e-15,1.2957225205397518e-21,2.0578454127793584e-23,ACBI1,9.26,36000.0,1500,360,60,60,0.3088843596477481,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999361555766668e-07,5.239832730694279e-16,5.2378153132547064e-14,5.1652752360105565e-14,5.656113405570488e-18,7.442522177659491e-16,2.803432112973147e-18,1.1675654814849534e-17,7.479284064910926e-19,4.7520520142050795e-20,2.6280702477528514e-21,1.3472672344154663e-21,8.630740970984579e-23,5.48673890233728e-24,3.080449265981177e-25,1.7968471220846126e-19,1.1516787947714735e-20,7.381395312560921e-22,5.0375718228921993e-23,0.001374352553128233,99.99862564744687,0.005350061284299899,0.0057164544434710075,-8.87091665843571e-20,-4.7459639106523765e-24,-4.4507734462505516e-27,-8.528345954153611e-29,5.239927983926216e-14,1.2475171181158385e-17,2.995422128378808e-18,1.2768884657387538e-15,2.6283782926794494e-21,5.0375718228921993e-23,ACBI1,9.26,36000.0,1500,360,60,60,0.372759372031494,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999361250600613e-07,5.239832654324185e-16,5.237422303806718e-14,5.1652141874461634e-14,5.655671281524522e-18,7.442434119166714e-16,3.338765398897108e-18,1.3904760176693464e-17,1.0606636941027665e-18,8.013938477975352e-20,5.285485059822102e-21,1.6031437474454505e-21,1.222948738091013e-22,9.246186417229686e-24,6.195294196226323e-25,2.5488278855018735e-19,1.9457808836770683e-20,1.4853604262883261e-21,1.2226489155702184e-22,0.002774795772367611,99.99722520422763,0.006371689692551732,0.006898308438171585,-1.7910286992387822e-19,-1.1411914290416828e-23,-1.8072626453250367e-26,-4.179101491704406e-28,5.239854600701528e-14,1.50525840449729e-17,3.614713621601911e-18,1.2774987975565536e-15,5.286104589241725e-21,1.2226489155702184e-22,ACBI1,9.26,36000.0,1500,360,60,60,0.44984326689694454,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9999360882414336e-07,5.239832565593455e-16,5.236891385460897e-14,5.1651405254138015e-14,5.655077179649225e-18,7.442327872687488e-16,3.96633013173903e-18,1.6517515815750436e-17,1.4965023885861333e-18,1.3409423325821678e-19,1.0523188145212815e-20,1.902511701456448e-21,1.723811252566769e-22,1.5458036628526465e-23,1.2334581342161348e-24,3.5974647718659043e-19,3.262891176060912e-20,2.9593097262041692e-21,2.9376285729514333e-22,0.005550348106964975,99.99444965189304,0.007569332312479065,0.008324348460438414,-3.5825282688324804e-19,-2.71178824778775e-23,-7.197475595327111e-26,-2.008515987073748e-27,5.2397091617591954e-14,1.8160727210061475e-17,4.361958593269729e-18,1.2782351711853348e-15,1.052442160334703e-20,2.9376285729514333e-22,ACBI1,9.26,36000.0,1500,360,60,60,0.5428675439323859,2.49e-11,0.1,5.240000000000001e-15
