t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,6.0,1.9996010405111071e-07,5.238954690306072e-16,5.2352800309471035e-14,5.16550361824832e-13,5.6522614588268355e-18,7.441604002411992e-15,7.884716701756467e-18,3.283981824440031e-17,6.108744922336659e-19,1.1334047832861593e-20,1.8106032026172735e-22,3.8000334724533615e-21,7.068708695979888e-23,1.3117452359951362e-24,2.1215553882273864e-26,1.4667580729241155e-19,2.728539012254862e-21,5.0753208644475377e-23,9.56069680306006e-25,9.003132537088732e-05,99.99990996867463,0.015047169278161198,0.01533239075828141,-6.204614479523518e-21,-7.64172714331215e-25,-1.7121024894793078e-29,-8.991132945513021e-32,5.239995282358551e-14,3.3466079898307295e-17,8.034172757339459e-18,7.979189777712286e-15,1.8108153581560963e-22,9.56069680306006e-25,ACBI1,9.26,36000.0,1500,360,60,60,0.1,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.999600958662901e-07,5.238954476195199e-16,5.2344169843748757e-14,5.165487246539901e-13,5.651277014551069e-18,7.441580115939156e-15,9.47838399668936e-18,3.947735802195234e-17,8.828991861517613e-19,1.96851274968547e-20,3.78232487467809e-22,4.56692021951092e-21,1.0213826948992662e-22,2.2777543757328025e-24,4.4318994959435404e-26,2.119960730064801e-19,4.7415496806663325e-21,1.0603929391400992e-22,2.410225643481812e-24,0.00018827713577707073,99.99981172286422,0.01808851907765145,0.018502347459725312,-1.2975499871441284e-20,-2.142571462129235e-24,-8.462943098059775e-29,-5.379636260803729e-31,5.239990134278086e-14,4.0384991948650806e-17,9.695230068896064e-18,7.980826742022683e-15,3.7827680646276843e-22,2.410225643481812e-24,ACBI1,9.26,36000.0,1500,360,60,60,0.12067926406393285,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9996008598976468e-07,5.238954218373422e-16,5.233371074588266e-14,5.165467490949953e-13,5.650084791544836e-18,7.441551293134586e-15,1.1385227728640033e-17,4.7419208138589716e-17,1.2740890001618396e-18,3.4107699157202434e-20,7.877018899705428e-22,5.483986174175559e-21,1.4734816581384733e-22,3.945538573804078e-24,9.229813855757717e-26,3.059363161398089e-19,8.220890541194866e-21,2.2087759582364864e-22,6.057499197711049e-24,0.0003926136324281515,99.99960738636757,0.021727533833282506,0.022327503569496292,-2.7058147090472604e-20,-5.6325425939249255e-24,-3.879630072050514e-28,-2.979536721735472e-30,5.239979427045661e-14,4.8733827911975434e-17,1.1699611870416059e-17,7.982802047006063e-15,7.877941881091004e-22,6.057499197711049e-24,ACBI1,9.26,36000.0,1500,360,60,60,0.14563484775012436,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.999600740721797e-07,5.238953908566138e-16,5.232099783611348e-14,5.165443652616989e-13,5.648636980955479e-18,7.441516515596155e-15,1.3662840766277392e-17,5.690518779898686e-17,1.8352066236652197e-18,5.892825209717717e-20,1.6344459683962644e-21,6.578616860486108e-21,2.1216408131334613e-22,6.814595522363382e-24,1.915144730408159e-25,4.406938783857218e-19,1.4214477744166162e-20,4.584152099248123e-22,1.516822071534037e-23,0.000815933763249177,99.99918406623675,0.026074123599766016,0.02694317310274412,-5.623341283765574e-20,-1.436559884618155e-23,-1.7152633138264004e-27,-1.5905192575721941e-29,5.239957245070806e-14,5.880775490776945e-17,1.411822270583792e-17,7.985185563926613e-15,1.6346374828693052e-21,1.516822071534037e-23,ACBI1,9.26,36000.0,1500,360,60,60,0.1757510624854792,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9996005969226968e-07,5.238953537839181e-16,5.230546906673258e-14,5.165414888775842e-13,5.646870704612743e-18,7.441474556720963e-15,1.6377665209257634e-17,6.821192586308702e-17,2.6375974642268653e-18,1.01463499610988e-19,3.3765603977031917e-21,7.882300350629735e-21,3.047944823529681e-22,1.1729035666102576e-23,3.9564485840249693e-25,6.334176780478816e-19,2.4497701405622383e-20,9.472879629816713e-22,3.781561558999619e-23,0.001688805846740138,99.99831119415326,0.03125508627720922,0.03251252994711777,-1.1639287286644908e-19,-3.602264535020815e-23,-7.421509418061489e-27,-8.306841516289181e-29,5.2399115065736314e-14,7.096256260683609e-17,1.7036565692289713e-17,7.988061546121297e-15,3.3769560425615943e-21,3.781561558999619e-23,ACBI1,9.26,36000.0,1500,360,60,60,0.21209508879201905,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9996004234229726e-07,5.238953097908782e-16,5.228634802924165e-14,5.165380183573938e-13,5.644699630815609e-18,7.4414239415564e-15,1.9605561056710057e-17,8.165518599759991e-17,3.780789460783131e-18,1.7399050032060663e-19,6.93916291960897e-21,9.430836746485174e-21,4.366739873657739e-22,2.0103998837348052e-23,8.13088941924243e-25,9.080426955809873e-19,4.2056094398693774e-20,1.947413603696616e-21,9.378563019086361e-23,0.0034785811682525036,99.99652141883175,0.0374151928563169,0.03923225390443439,-2.3974804497642936e-19,-8.927885963184488e-23,-3.159495940465803e-26,-4.268180100021018e-28,5.239817722346784e-14,8.562679354944488e-17,2.055770104592362e-17,7.991531540451839e-15,6.939976008550893e-21,9.378563019086361e-23,ACBI1,9.26,36000.0,1500,360,60,60,0.2559547922699536,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9996002141085544e-07,5.23895258468334e-16,5.226250333506267e-14,5.165338313522235e-13,5.641998789386433e-18,7.441362902131144e-15,2.3431990776631375e-17,9.75905519837781e-17,5.402365200736077e-18,2.96916257691618e-19,1.4172171835721297e-20,1.1264339754919228e-20,6.235821737755578e-22,3.428927924744356e-23,1.6606088235483637e-24,1.2976794837598413e-18,7.186535099013567e-20,3.978879417977798e-21,2.3115227443841432e-22,0.007124028662232718,99.99287597133777,0.044717539650059875,0.047339209242507195,-4.909999808467841e-19,-2.190746250977996e-22,-1.3251979703323628e-25,-2.160544717013844e-27,5.239626700898099e-14,1.0331592948585828e-16,2.480574564307377e-17,7.995717828903756e-15,1.4173832444544846e-20,2.3115227443841432e-22,ACBI1,9.26,36000.0,1500,360,60,60,0.3088843596477481,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9995999616289628e-07,5.238952007081324e-16,5.223218987710429e-14,5.165287807319744e-13,5.638576661044505e-18,7.441289332265846e-15,2.795153594973462e-17,1.164112554228317e-16,7.690389309826889e-18,5.037782071805209e-19,2.873130969831174e-20,1.3426887044794946e-20,8.870440090943458e-22,5.814174364535659e-23,3.366559629466461e-24,1.847635200911825e-18,1.221288052661343e-19,8.070283217160411e-21,5.655222592193828e-22,0.014490612183919893,99.98550938781608,0.053342625858272166,0.057118198017917864,-9.987038326994867e-19,-5.322322601184656e-22,-5.472324509575809e-25,-1.0767119968421006e-26,5.239240691921563e-14,1.246485296888946e-16,2.992993576138896e-17,8.000767420835768e-15,2.873467625794121e-20,5.655222592193828e-22,ACBI1,9.26,36000.0,1500,360,60,60,0.372759372031494,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9995996571744647e-07,5.238951408050073e-16,5.219257248002041e-14,5.165226900801079e-13,5.634123821104297e-18,7.441200752896578e-15,3.32662979387951e-17,1.3854121527005394e-16,1.0898360951057024e-17,8.489401748451914e-19,5.773911915152936e-20,1.596559597852279e-20,1.2560015994406623e-21,9.790390306303116e-23,6.76551709342953e-24,2.619074468763512e-18,2.0619543626758594e-19,1.6227647490522507e-20,1.3715034917710971e-21,0.0292378766823731,99.97076212331763,0.0634853014099143,0.06891062403589408,-2.0149785511793212e-18,-1.2789673366684022e-21,-2.2206318593074985e-24,-5.272825578625641e-26,5.2384679352618436e-14,1.5036358178210582e-16,3.61091669948085e-17,8.006856510784497e-15,5.774588466862279e-20,1.3715034917710971e-21,ACBI1,9.26,36000.0,1500,360,60,60,0.44984326689694454,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9995992902469242e-07,5.238950913174358e-16,5.213885808197331e-14,5.165153490235806e-13,5.628119406515887e-18,7.4410943146822e-15,3.948245506026429e-17,1.6442014661897314e-16,1.5361963586377804e-17,1.4190616169738078e-18,1.1483799464268845e-19,1.8928766451997023e-20,1.768664444414262e-21,1.6350869379549913e-22,1.345601312007552e-23,3.6931725107259415e-18,3.4544432758779897e-19,3.22979517928854e-20,3.29188607986112e-21,0.05843559670066156,99.94156440329934,0.07534819667989368,0.08312340026040221,-4.026574936693084e-18,-3.035185272114636e-21,-8.83150829534478e-24,-2.530684221357846e-25,5.2369379747328855e-14,1.8133688421257078e-16,4.3556661736450766e-17,8.014195061538205e-15,1.1485145065580853e-19,3.29188607986112e-21,ACBI1,9.26,36000.0,1500,360,60,60,0.5428675439323859,2.49e-11,0.1,5.240000000000001e-15
