t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,6.0,1.9993232399730572e-07,5.367696207613813e-16,2.0833926479038305e-13,5.132500829331675e-13,1.9316354835231668e-15,7.57592889583928e-15,1.4416982238075193e-15,5.71572109333703e-15,3.0734028682015885e-15,1.6205378375665573e-15,8.092793722930947e-16,1.4989215346292505e-16,8.176523022609879e-17,4.5434415768436673e-17,3.9786568071494576e-17,7.911959103126313e-16,4.3379221353283196e-16,2.3773689902694546e-16,2.695649243158044e-16,57.06475038476542,42.93524961523458,0.27513324881822887,0.6057229333961321,-2.1042027220258695e-14,-1.4538658836327495e-16,-8.664233184157699e-17,-2.7567167335816637e-17,2.249807079838292e-13,1.1535819538927227e-14,3.1739881709957322e-15,1.3535200538648515e-14,8.490659403645893e-16,2.695649243158044e-16,ACBI1,0.1,36000.0,1500,360,60,0,0.1,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9993664850254197e-07,5.367611240824227e-16,1.5472254620188514e-13,5.135499829945781e-13,1.4203157424191776e-15,7.580258793882534e-15,1.166768246913399e-15,4.6006999604308395e-15,2.691005642117414e-15,1.5465216312613113e-15,8.466407245361705e-16,1.1329934820001908e-16,6.728873222261487e-17,4.099762407560678e-17,4.1619915275201814e-17,6.974541365649118e-16,4.165014627358585e-16,2.4869927144856794e-16,3.403350938725281e-16,67.75559279886284,32.24440720113716,0.22266569597583952,0.5476637808273407,-1.7791707762078567e-14,-1.3416067222841735e-16,-1.0361927731524841e-16,-3.980184397759134e-17,1.6896069373395872e-13,9.948073578119178e-15,2.869758211535265e-15,1.2670299491692843e-14,8.882606398113724e-16,3.403350938725281e-16,ACBI1,0.1,36000.0,1500,360,60,0,0.12067926406393285,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9994067097697833e-07,5.349114778364797e-16,1.1276007658985211e-13,5.139021972352512e-13,1.0213837240606319e-15,7.559268702154457e-15,9.155531951937648e-16,3.586380793069339e-15,2.262870224110774e-15,1.4058838960262571e-15,8.362180888558513e-16,8.258323973644857e-17,5.293821010607879e-17,3.510793403656688e-17,4.1077253815765585e-17,5.90832900267597e-16,3.8090137202179965e-16,2.4563011616356465e-16,4.0561647894713e-16,76.21697442437716,23.783025575622847,0.17472389221255055,0.484453065380507,-1.2700025961922816e-14,-1.0314365041759897e-16,-1.0054465179422686e-16,-4.661620709983083e-17,1.246230540162637e-13,8.30305963975708e-15,2.5385340625938562e-15,1.1865804604340282e-14,8.772953426716169e-16,4.0561647894713e-16,ACBI1,0.1,36000.0,1500,360,60,0,0.14563484775012436,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999438268648613e-07,5.320083741560549e-16,8.315624141622126e-14,5.142095933150762e-13,7.419350378395734e-16,7.522614631759057e-15,7.193931388198653e-16,2.7963517799346415e-15,1.8882464740794973e-15,1.2582463609201898e-15,8.061110941801174e-16,6.001497747049968e-17,4.118289401402516e-17,2.952362252586748e-17,3.955543686077663e-17,4.969116622157247e-16,3.4290302215673784e-16,2.367917366857218e-16,4.71792493286453e-16,82.23564863602844,17.764351363971556,0.13728876695035597,0.432784742970325,-7.648511977174348e-15,-6.630982148972765e-17,-7.956195743290866e-17,-4.452195359271299e-17,9.308520114721095e-14,6.919232639985616e-15,2.2677920531645026e-15,1.1234627027790358e-14,8.456665310408941e-16,4.71792493286453e-16,ACBI1,0.1,36000.0,1500,360,60,0,0.1757510624854792,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999459386394614e-07,5.291029040544785e-16,6.356093996107515e-14,5.144162677532135e-13,5.588042581856407e-16,7.484379033350309e-15,5.810884673331992e-16,2.239378448578562e-15,1.6063368686604664e-15,1.1394720540278567e-15,7.798346269541413e-16,4.471479535542164e-17,3.2594870814172766e-17,2.5097115925283258e-17,3.8225916727111546e-17,4.2618175387024704e-16,3.122863638499835e-16,2.29090117735912e-16,5.507065106459538e-16,86.23573432638567,13.764265673614329,0.11089474567427465,0.40063992622810984,-3.8961078338489404e-15,-3.601996529875597e-17,-5.200010593648443e-17,-3.512834175452343e-17,7.212475212973908e-14,5.9056546970430164e-15,2.0993532134352955e-15,1.0812272107847713e-14,8.180605436812529e-16,5.507065106459538e-16,ACBI1,0.1,36000.0,1500,360,60,0,0.21209508879201905,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9994712848745348e-07,5.268379675222849e-16,5.0770855297074205e-14,5.145136088374636e-13,4.4059012786561445e-16,7.453604304609485e-15,4.873478614840968e-16,1.8609093352812347e-15,1.4082864483390653e-15,1.0559772187427452e-15,7.660318946791671e-16,3.4554201589025156e-17,2.6568594659193588e-17,2.1841119976961862e-17,3.751933531942507e-17,3.7670219451130776e-16,2.9093805481476837e-16,2.2505732546612267e-16,6.527414216484172e-16,88.84428999399783,11.155710006002167,0.0930053170771177,0.38793642326807504,-1.6586658430610073e-15,-1.6538567147055673e-17,-2.817018180243573e-17,-2.2987483587090623e-17,5.845592043145135e-14,5.211688148586817e-15,2.032786857924713e-15,1.0574302509466703e-14,8.035512299985922e-16,6.527414216484172e-16,ACBI1,0.1,36000.0,1500,360,60,0,0.2559547922699536,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9994761668319268e-07,5.253359376324003e-16,4.219500538372992e-14,5.145175469469422e-13,3.6218957409383617e-16,7.432301576710482e-15,4.2289312167232347e-16,1.5995574493237912e-15,1.269012214217734e-15,9.992275054224795e-16,7.627969170983527e-16,2.7635899262051955e-17,2.2269542012049346e-17,1.9437802006440645e-17,3.734155337909142e-17,3.4216223820642017e-16,2.7664523423234366e-16,2.2412835361104926e-16,7.843225286236718e-16,90.58308677158558,9.416913228414419,0.08070479421227547,0.3912502817453834,-5.427707603360688e-16,-6.11169207405032e-18,-1.2113998480345633e-17,-1.1959285382459914e-17,4.934462531689155e-14,4.737278882721991e-15,2.0501514763458087e-15,1.047666336144216e-14,8.001384704774442e-16,7.843225286236718e-16,ACBI1,0.1,36000.0,1500,360,60,0,0.3088843596477481,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9994758825616486e-07,5.244363574949212e-16,3.618276990839172e-14,5.14446697406521e-13,3.07775414850449e-16,7.418483390872261e-15,3.766604485283209e-16,1.4112588795766033e-15,1.1669193689817239e-15,9.590152107150032e-16,7.653048812793642e-16,2.271899629852569e-17,1.9075029125765934e-17,1.7587213180691283e-17,3.7453162689859056e-17,3.1703177862310953e-16,2.666843600094552e-16,2.2488458607571684e-16,9.495580293713149e-16,91.78917991074474,8.21082008925527,0.07188176498632079,0.4074082447725033,-6.795236492348347e-17,-1.3010896380367375e-18,-3.053976780075277e-18,-3.676984052476924e-18,4.3024697267697616e-14,4.399332741847537e-15,2.1348192026079173e-15,1.0482348767120394e-14,8.027580439692233e-16,9.495580293713149e-16,ACBI1,0.1,36000.0,1500,360,60,0,0.372759372031494,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999471556431067e-07,5.239214562898318e-16,3.178973779610915e-14,5.143128725355625e-13,2.683571064452232e-16,7.409234043057671e-15,3.420241616516812e-16,1.2697108511117191e-15,1.0884247265613726e-15,9.284177781778932e-16,7.698312441964088e-16,1.9086658406358166e-17,1.6610168742345243e-17,1.6099702430159565e-17,3.7668821849129615e-17,2.978133729885779e-16,2.591965770578401e-16,2.262329518499347e-16,1.1526263578359382e-15,92.65613773369967,7.343862266300332,0.06527178657474832,0.43471248499694115,1.0181220972634452e-16,6.368377682735723e-19,1.4131218295210715e-18,1.9742715581954627e-18,3.8481838275413734e-14,4.145849951475386e-15,2.277893421383972e-15,1.0568871378604692e-14,8.075000660455384e-16,1.1526263578359382e-15,ACBI1,0.1,36000.0,1500,360,60,0,0.44984326689694454,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9994636934373664e-07,5.236166129853688e-16,2.848161603963796e-14,5.141201152944431e-13,2.3887921394251637e-16,7.40213195965195e-15,3.1523294361532686e-16,1.1599889812116386e-15,1.0259335843946998e-15,9.03709301654565e-16,7.744144170637694e-16,1.6328780638522545e-17,1.4660370159371216e-17,1.48712529306942e-17,3.7890316461198916e-17,2.8255787091682986e-16,2.5318476988023404e-16,2.2759894621837997e-16,1.3991782152737867e-15,93.29273950305353,6.707260496946469,0.06015895870521505,0.47285357746270185,1.4711148810230897e-16,1.3087310577136232e-18,3.4163462197282827e-18,5.866605983753779e-18,3.514604500399949e-14,3.947797004514459e-15,2.4777527459045576e-15,1.0726131252674177e-14,8.123047335249683e-16,1.3991782152737867e-15,ACBI1,0.1,36000.0,1500,360,60,0,0.5428675439323859,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9994523768273793e-07,5.234045321215636e-16,2.593991795489231e-14,5.13866505850009e-13,2.1635049816774982e-16,7.3954825900018e-15,2.9408367707775457e-16,1.073270052559075e-15,9.751573329915938e-16,8.830438425206857e-16,7.782787030922092e-16,1.4196522954148633e-17,1.3095776798494826e-17,1.3843737070340106e-17,3.807823534755267e-17,2.701772127897826e-16,2.481627334288031e-16,2.287563798298695e-16,1.6968315568629076e-15,93.76273965336196,6.237260346638031,0.05612283913697607,0.522521290074259,1.5025927197584407e-16,1.5056413449765798e-18,4.3278224281902e-18,9.008928145765006e-18,3.268324421638328e-14,3.788964203334099e-15,2.738011559989117e-15,1.0952463452450764e-14,8.163569384397618e-16,1.6968315568629076e-15,ACBI1,0.1,36000.0,1500,360,60,0,0.6551285568595507,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9994374143762984e-07,5.232068068621525e-16,2.3960370138907152e-14,5.135459206452949e-13,1.9886854035142896e-16,7.388084167866554e-15,2.771683165840718e-16,1.0038702201720826e-15,9.334247295413405e-16,8.654489454789241e-16,7.812174122582402e-16,1.2526771569780367e-17,1.1829571371588938e-17,1.2979930342711036e-17,3.8221498769633635e-17,2.6000400989384797e-16,2.438819583931839e-16,2.2964609868432916e-16,2.055294803287098e-15,94.10596317831957,5.894036821680423,0.052894716905357214,0.5851135852752921,1.4519004376711364e-16,1.5820529071267185e-18,4.924037173631038e-18,1.2407986181567802e-17,3.0884752945605415e-14,3.659519079504301e-15,3.0659951868425308e-15,1.125171247397638e-14,8.194389110278739e-16,2.055294803287098e-15,ACBI1,0.1,36000.0,1500,360,60,0,0.7906043210907697,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999418422512048e-07,5.229602667715183e-16,2.240346104819736e-14,5.13149127652902e-13,1.8514260341390284e-16,7.378908727193705e-15,2.635049937837115e-16,9.478024642811328e-16,8.988486965493457e-16,8.502971134517828e-16,7.832204138218303e-16,1.1205597352943016e-17,1.0798349037490218e-17,1.2251763620661636e-17,3.831883190298467e-17,2.515722982281194e-16,2.401869343662582e-16,2.302668110256911e-16,2.4864325825020767e-15,94.34860486611922,5.651395133880781,0.050287212554143416,0.6625884770812704,1.4631420635746498e-16,1.7007759413799299e-18,5.664952363023842e-18,1.727119892865921e-17,2.9613310501535294e-14,3.552743230018172e-15,3.471963619905857e-15,1.1631549759199063e-14,8.215392457248149e-16,2.4864325825020767e-15,ACBI1,0.1,36000.0,1500,360,60,0,0.9540954763499939,2.49e-11,1.0,5.24e-14
