t,initial_BPD_ec_conc,initial_BPD_ic_conc,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
6.0,0.001,0.0,11.214581411774702,88.7854185882253,0.9452000138369122,1.2251709383090619,11.039591776624425,-8.153199329135588e-15,-8.796197246100818e-17,-6.54573004519232e-19,-2.794376813044731e-19,4.652355934023005e-13,1.2488584651909125e-14,4.95284807250542e-15,6.419895716739484e-15,1.8930515564158676e-14,3.897122219140233e-17,1.5706993594607716e-17,ACBI1,0.1,36000.0,360,180,360,0,0.1,2.49e-11
6.0,0.001,0.0,18.83983503376963,81.16016496623037,0.996680435449919,1.3546153148517397,20.28747670351092,-1.300296480037452e-14,-1.6471944754263847e-16,-1.903985707554948e-18,-9.816291518751014e-19,4.2527926442304716e-13,1.3618551671738394e-14,5.222605481757576e-15,7.0981842498231166e-15,1.9273908254617756e-14,6.354177321685373e-17,3.090756590244261e-17,ACBI1,0.1,36000.0,360,180,360,0,0.12067926406393285,2.49e-11
6.0,0.001,0.0,29.954027530698042,70.04597246930196,0.9882253915960697,1.41891813678546,56.02452778278085,-1.8721350986756885e-14,-2.789030835946704e-16,-4.921747584386985e-18,-3.065829596581493e-18,3.670408957391422e-13,1.3987569846147834e-14,5.178301051963405e-15,7.43513103675581e-15,1.913535909992686e-14,9.560350392456825e-17,5.613094382324887e-17,ACBI1,0.1,36000.0,360,180,360,0,0.14563484775012436,2.49e-11
6.0,0.001,0.0,44.41682039267312,55.58317960732688,0.8957177926739442,1.369849330899785,0.6632539049285069,-2.3082945266948468e-14,-4.055908033880568e-16,-1.0726232254395619e-17,-8.077051762115349e-18,2.9125586114239285e-13,1.3141732917892249e-14,4.693561233611468e-15,7.178010493914873e-15,1.825068136111301e-14,1.2877044209086258e-16,9.127167455352342e-17,ACBI1,0.1,36000.0,360,180,360,0,0.1757510624854792,2.49e-11
6.0,0.001,0.0,60.42937454005077,39.57062545994923,0.7196966879948948,1.182340745955217,62.40588202488164,-2.2358865257591233e-14,-4.617462865737609e-16,-1.7903404630305793e-17,-1.63010549323604e-17,2.0735007741013393e-13,1.0936198855017799e-14,3.771210645093249e-15,6.195465508805337e-15,1.65154393673304e-14,1.5006627087937963e-16,1.2840872160461497e-16,ACBI1,0.1,36000.0,360,180,360,0,0.21209508879201905,2.49e-11
6.0,0.001,0.0,74.58335484634324,25.41664515365676,0.5106290379298452,0.9084958804153335,68.61892051053773,-1.494538101798681e-14,-3.560037024147044e-16,-1.968304020408443e-17,-2.165653630289714e-17,1.3318322060516142e-13,8.013544823680419e-15,2.6756961587523884e-15,4.760518413376347e-15,1.4296591276247762e-14,1.5007516377075362e-16,1.5498197637919406e-16,ACBI1,0.1,36000.0,360,180,360,0,0.2559547922699536,2.49e-11
6.0,0.001,0.0,84.13475347572077,15.865246524279227,0.34457049896705644,0.669157924782958,81.96393809278763,-5.778666213319049e-15,-1.5663945375289553e-16,-1.2003808056109766e-17,-1.595017483110859e-17,8.313389178722315e-14,5.558795893508152e-15,1.8055494145873757e-15,3.5063875258627e-15,1.2395341311751914e-14,1.3851465842943602e-16,1.7257950580713494e-16,ACBI1,0.1,36000.0,360,180,360,0,0.3088843596477481,2.49e-11
6.0,0.001,0.0,89.37509139698794,10.62490860301206,0.24736403141094096,0.5288868623389774,90.24927208645423,-8.326899849264266e-16,-2.879410236607811e-17,-3.0427165249679704e-18,-4.89638580152804e-18,5.567452107978319e-14,4.081419610048826e-15,1.2961875245933305e-15,2.7713671586562417e-15,1.1267390017618335e-14,1.3240343854707832e-16,1.9903395078326404e-16,ACBI1,0.1,36000.0,360,180,360,0,0.372759372031494,2.49e-11
6.0,0.001,0.0,92.27206293734484,7.727937062655159,0.19245891434025775,0.4572254090373945,92.33654826705357,1.8206540456696965e-16,3.673088816260327e-18,4.369359403516066e-19,8.295123952946347e-19,4.0494390208313033e-14,3.2311194857585635e-15,1.0084847111429505e-15,2.3958611433559473e-15,1.0702078122246085e-14,1.338013765961161e-16,2.4271466875012247e-16,ACBI1,0.1,36000.0,360,180,360,0,0.44984326689694454,2.49e-11
6.0,0.001,0.0,94.1307839472339,5.8692160527661095,0.1554304411526658,0.4138644111075197,94.39552315248324,7.541246598887277e-17,2.5053751678800134e-18,4.2612266701782516e-19,9.933137759673656e-19,3.075469211649441e-14,2.6395591555648374e-15,8.144555116399687e-16,2.168649514203403e-15,1.0380078028092724e-14,1.3680310645100487e-16,2.9948518160679315e-16,ACBI1,0.1,36000.0,360,180,360,0,0.5428675439323859,2.49e-11
