t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,6.0,1.9996010405111042e-07,5.238954690304488e-16,5.235280052104897e-14,5.165503618248016e-13,5.652261481668108e-18,7.441604002408152e-15,7.884716733617544e-18,3.283981851345953e-17,6.108746312323488e-19,1.1334184449380471e-20,1.8119692847154802e-22,3.800033502529579e-21,7.068710198654733e-23,1.3117599881633169e-24,2.1231560806548234e-26,1.4667580790564178e-19,2.728539044211998e-21,5.0753229794378656e-23,9.567910253666619e-25,8.962614334961927e-05,99.99991037385665,0.015047169338964779,0.015332390821733237,-6.17667948196076e-21,-7.595279013212737e-25,-1.7037210315093959e-29,-8.950759416539679e-32,5.239995303590089e-14,3.3466080579665786e-17,8.034172790588216e-18,7.979189777764454e-15,1.8121816003235457e-22,9.567910253666619e-25,ACBI1,9.26,36000.0,1500,360,60,0,0.1,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9996009586628931e-07,5.2389544761907345e-16,5.234417037702956e-14,5.165487246538987e-13,5.651277072121301e-18,7.441580115928585e-15,9.478384093241222e-18,3.947735876781166e-17,8.828995393703243e-19,1.9685472027246823e-20,3.7857691397306367e-22,4.5669203031379096e-21,1.0213830769613217e-22,2.277791579573918e-24,4.4359352773867274e-26,2.1199607522821125e-19,4.741549792642398e-21,1.060393587209976e-22,2.412420445952683e-24,0.0001872557087807536,99.99981274429122,0.018088519261910727,0.01850234765275046,-1.2905076972916303e-20,-2.1297477392539624e-24,-8.419734614666875e-29,-5.35191857420908e-31,5.23999018780086e-14,4.038499373688497e-17,9.695230170041242e-18,7.980826742170583e-15,3.7862127332583755e-22,2.412420445952683e-24,ACBI1,9.26,36000.0,1500,360,60,0,0.12067926406393285,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9996008598976246e-07,5.2389542183607635e-16,5.233371208584229e-14,5.165467490947166e-13,5.65008493619677e-18,7.441551293105253e-15,1.138522802010353e-17,4.7419210216288135e-17,1.2740898980089764e-18,3.4108565534948106e-20,7.885676483770411e-22,5.483986407807814e-21,1.4734826300423141e-22,3.9456321317313e-24,9.239958288602392e-26,3.059363241596763e-19,8.220890944758272e-21,2.208777947833165e-22,6.064156958668986e-24,0.00039004661101671445,99.99960995338898,0.021727534389510552,0.022327504154884936,-2.6881160402469765e-20,-5.593970451103239e-24,-3.857241174826903e-28,-2.962369143959227e-30,5.2399795615575827e-14,4.8733832620182964e-17,1.1699612177159708e-17,7.982802047427387e-15,7.886600479599272e-22,6.064156958668986e-24,ACBI1,9.26,36000.0,1500,360,60,0,0.14563484775012436,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9996007407217364e-07,5.23895390853001e-16,5.232100119049169e-14,5.165443652608527e-13,5.648637343059247e-18,7.441516515514211e-15,1.3662841642070154e-17,5.690519360921721e-17,1.8352089081912692e-18,5.893042348763518e-20,1.6366142733170518e-21,6.5786175156109225e-21,2.12164328869707e-22,6.814830017341151e-24,1.917685418695384e-25,4.406939071988366e-19,1.4214479238755152e-20,4.584158235331858e-22,1.51883433310341e-23,0.0008095060858295255,99.99919049391417,0.02607412527112625,0.02694317487151643,-5.579024372727133e-20,-1.4250084366108226e-23,-1.7036890252961485e-27,-1.5798018147819618e-29,5.239957581881103e-14,5.880776734361246e-17,1.411822363267461e-17,7.985185565131389e-15,1.6368060418589212e-21,1.51883433310341e-23,ACBI1,9.26,36000.0,1500,360,60,0,0.1757510624854792,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9996005969225224e-07,5.238953537735847e-16,5.230547742666158e-14,5.165414888750279e-13,5.646871607035044e-18,7.44147455649124e-15,1.6377667826369486e-17,6.821194215379394e-17,2.637603288871713e-18,1.0146892092792203e-19,3.3819675120131035e-21,7.882302192023927e-21,3.0479511442899613e-22,1.1729621181478839e-23,3.962784312412743e-25,6.334177809534079e-19,2.449770707511552e-20,9.472898723589648e-22,3.787617229215206e-23,0.0016727818637889413,99.99832721813621,0.03125509127169749,0.03251253526802034,-1.1528805759466057e-19,-3.5677212626142733e-23,-7.362048609274705e-27,-8.240283860055227e-29,5.239912346230338e-14,7.096259555431167e-17,1.7036568480442657e-17,7.988061549575507e-15,3.3823637904443447e-21,3.787617229215206e-23,ACBI1,9.26,36000.0,1500,360,60,0,0.21209508879201905,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9996004234224903e-07,5.238953097612958e-16,5.2286368754071225e-14,5.165380183496978e-13,5.644701867896606e-18,7.441423940910458e-15,1.9605568826069804e-17,8.165523172259535e-17,3.780804362016847e-18,1.7400397752623609e-19,6.952577607721154e-21,9.430841926273303e-21,4.366756074972692e-22,2.010545462206519e-23,8.146607935223415e-25,9.080430604311583e-19,4.205611631440857e-20,1.947419637987672e-21,9.396693520851215e-23,0.003438842736841252,99.99656115726316,0.03741520768333932,0.03923226982707742,-2.370081764775268e-19,-8.825356764699827e-23,-3.129229875609751e-26,-4.2273006721333195e-28,5.23981980464059e-14,8.562688107739535e-17,2.0557709389388568e-17,7.991531550366689e-15,6.953392268514676e-21,9.396693520851215e-23,ACBI1,9.26,36000.0,1500,360,60,0,0.2559547922699536,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9996002141071293e-07,5.238952583836382e-16,5.226255439008305e-14,5.165338313292333e-13,5.642004300120376e-18,7.441362900312312e-15,2.3432013661416575e-17,9.759068023120187e-17,5.402403518854813e-18,2.9694960428257007e-19,1.4205251496359573e-20,1.12643543100936e-20,6.23586350201149e-22,3.429288217099657e-23,1.6644848966040043e-24,1.2976807658849311e-18,7.186543678003639e-20,3.978898959849263e-21,2.316918134616457e-22,0.007026092859007349,99.99297390714099,0.04471758332331407,0.04733925659323445,-4.84247692592351e-19,-2.160546888477708e-22,-1.3099744908201153e-25,-2.135723033973293e-27,5.239631832734188e-14,1.0331616250386297e-16,2.4805770454854853e-17,7.995717857348951e-15,1.4206915981256177e-20,2.316918134616457e-22,ACBI1,9.26,36000.0,1500,360,60,0,0.3088843596477481,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9995999616248835e-07,5.238952004661761e-16,5.2232314710022356e-14,5.165287806638522e-13,5.638590134423687e-18,7.441289327147095e-15,2.795160273324372e-17,1.1641161411462547e-16,7.69048854442762e-18,5.038603128041146e-19,2.8812303399218646e-20,1.3426927815398025e-20,8.870548584551413e-22,5.815061829617399e-23,3.376049976096851e-24,1.8476396584347345e-18,1.2212914307990722e-19,8.070348731966074e-21,5.671164696035665e-22,0.014251030646306617,99.9857489693537,0.053342753307717025,0.057118337786183075,-9.821867606217765e-19,-5.234196361998647e-22,-5.3968593001852605e-25,-1.0618631696562535e-26,5.239253245994134e-14,1.2464915078459854e-16,2.993000899995993e-17,8.000767502256997e-15,2.8815679449194745e-20,5.671164696035665e-22,ACBI1,9.26,36000.0,1500,360,60,0,0.372759372031494,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9995996571628534e-07,5.238951401166377e-16,5.219287500231127e-14,5.165226898801882e-13,5.634156470616076e-18,7.44120073852719e-15,3.3266490693798365e-17,1.3854221331167873e-16,1.0898620262990594e-17,8.49141378216668e-19,5.793579629202023e-20,1.5965709549863546e-20,1.2560300549374783e-21,9.792566491514036e-23,6.788562511462838e-24,2.6190897686764385e-18,2.0619676548376246e-19,1.6227876852792028e-20,1.3761752554717812e-21,0.028656913616472934,99.97134308638353,0.06348566926297397,0.06891103297722678,-1.9749328175688115e-18,-1.2535339562130974e-21,-2.1838708981717298e-24,-5.185536792978687e-26,5.238498377726497e-14,1.5036523720301025e-16,3.610938128006683e-17,8.006856742848342e-15,5.79425848545317e-20,1.3761752554717812e-21,ACBI1,9.26,36000.0,1500,360,60,0,0.44984326689694454,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,6.0,1.9995992902140667e-07,5.238950893715427e-16,5.2139583540276015e-14,5.165153484432702e-13,5.628197695089817e-18,7.441094274538009e-15,3.948300420059372e-17,1.644229019898327e-16,1.5362648248055648e-17,1.4195527102909542e-18,1.153110968381992e-19,1.8929080232438668e-20,1.7687398902950016e-21,1.6356186415543267e-22,1.3511448297224945e-23,3.693224230809299e-18,3.4544952072658527e-19,3.22987930545112e-20,3.30544779423997e-21,0.057041394842499926,99.9429586051575,0.07534924465762159,0.08312458433774493,-3.930507407430279e-18,-2.96274870640523e-21,-8.656126953687444e-24,-2.4804282249058955e-25,5.237011030910253e-14,1.8134128893845268e-16,4.355728219297835e-17,8.014195718691055e-15,1.1532460828649641e-19,3.30544779423997e-21,ACBI1,9.26,36000.0,1500,360,60,0,0.5428675439323859,2.49e-11,0.1,5.240000000000001e-15
