t,initial_BPD_ec_conc,initial_BPD_ic_conc,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,2.777940032672177e-05,99.99997222059967,0.1314553400037935,0.1323835947282724,3.285598749735996e-05,-4.230642371211462e-21,3.573780343637559e-18,1.7500009112600706e-24,1.4927538174730617e-26,5.239998544359423e-14,1.3861931857666623e-16,6.888259816198779e-17,6.936900363761475e-17,6.485320245366344e-14,1.5795230103417684e-23,1.2507935225468587e-25,ACBI1,9.26,36000.0,360,180,360,0,0.1,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,5.8634788260292225e-05,99.99994136521174,0.15835428244078573,0.1597044189392925,3.765332148297773e-05,-8.928176370848771e-21,4.302725748393123e-18,3.692208495151298e-24,3.801522643838181e-26,5.2399969275370953e-14,1.6722658168276382e-16,8.297764399897172e-17,8.368511552418927e-17,6.486292898903133e-14,3.3335110242927783e-23,3.185583872088141e-25,ACBI1,9.26,36000.0,360,180,360,0,0.12067926406393285,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.00012363909659995898,99.9998763609034,0.1906866066258869,0.19264984870659477,0.0005593806978620997,-1.8822236035987214e-20,5.177833679812297e-18,7.781492084111713e-24,9.670408859248817e-26,5.239993521311338e-14,2.017230049655931e-16,9.991978187196475e-17,1.0094852072225567e-16,6.48746581708382e-14,7.028034910835879e-23,8.104896541947322e-25,ACBI1,9.26,36000.0,360,180,360,0,0.14563484775012436,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.0002603968170973303,99.9997396031829,0.22951765424540413,0.23237151079076088,0.0007033680670898157,-3.9631422697123856e-20,6.227251631226111e-18,1.6378377093895282e-23,2.4567184287686348e-25,5.239986355206784e-14,2.4331416867353063e-16,1.2026725082459178e-16,1.217626716543587e-16,6.488880014936934e-14,1.479894882083532e-22,2.059536855890014e-24,ACBI1,9.26,36000.0,360,180,360,0,0.1757510624854792,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.0005476314089918333,99.99945236859101,0.2761069434332738,0.28025384800091985,0.0007578584793943577,-8.332152013936846e-20,7.483997157364917e-18,3.441853304135409e-23,6.231233010458079e-25,5.239971304114169e-14,2.9344918939537013e-16,1.4468003835903547e-16,1.4685301635248201e-16,6.4905848061359e-14,3.1115946059669404e-22,5.225709936364471e-24,ACBI1,9.26,36000.0,360,180,360,0,0.21209508879201905,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.0011497029338727316,99.99885029706613,0.33193664380774507,0.33795967337580024,0.0025123270407156895,-1.7485988273240132e-19,8.986513161349834e-18,7.219122813757467e-23,1.5774667698432136e-24,5.239939755566265e-14,3.5386818924896157e-16,1.7393480135525842e-16,1.7709086884891934e-16,6.492639432679911e-14,6.530675453296254e-22,1.3235553921202535e-23,ACBI1,9.26,36000.0,360,180,360,0,0.2559547922699536,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.002408647754563731,99.99759135224544,0.39874065796524394,0.4074837050553568,0.014900629546243938,-3.6616549812660395e-19,1.0779094918606037e-17,1.5106813506601794e-22,3.984211551000872e-24,5.2398737868576615e-14,4.266578917046144e-16,2.0894010477378785e-16,2.1352146144900695e-16,6.495114986987241e-14,1.36771844649034e-21,3.3450315413736996e-23,ACBI1,9.26,36000.0,360,180,360,0,0.3088843596477481,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.005033448399345275,99.99496655160065,0.4785318695544434,0.4912146804816393,0.003928106695927358,-7.647578092926956e-19,1.2911990741673695e-17,3.152415950485318e-22,1.0034811331011364e-23,5.239736247303875e-14,5.143157373875053e-16,2.5075069964652834e-16,2.57396492572379e-16,6.498096658387075e-14,2.856973626458166e-21,8.431921359067612e-23,ACBI1,9.26,36000.0,360,180,360,0,0.372759372031494,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.010486698626408497,99.98951330137359,0.5736230689191765,0.5920057131423836,0.06577530023124112,-1.5921827781322673e-18,1.5440768938238946e-17,6.555857405503864e-22,2.5188216280242705e-23,5.239450496991976e-14,6.198216994749318e-16,3.0057848811364846e-16,3.10210993686609e-16,6.501686317486657e-14,5.949127186186571e-21,2.1187862356243425e-22,ACBI1,9.26,36000.0,360,180,360,0,0.44984326689694454,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.02176818309513351,99.97823181690487,0.686633281205724,0.713250127686758,0.06547997342927214,-3.302135132168555e-18,1.842409107566003e-17,1.357659836946458e-21,6.296109793157105e-23,5.238859347205816e-14,7.467139763582973e-16,3.5979583935179936e-16,3.737430669078612e-16,6.506005400923256e-14,1.2341077571147817e-20,5.303916422707595e-22,ACBI1,9.26,36000.0,360,180,360,0,0.5428675439323859,2.49e-11,0.1,5.240000000000001e-15
