t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,6.0,1.999594932974451e-07,5.238938676576251e-16,5.238608777886661e-13,5.164791145710764e-13,5.656095597354223e-17,7.44055495311183e-15,8.032033240257379e-17,2.230239471367141e-18,2.8161464405497785e-22,3.5559131319187644e-26,3.8488619473783825e-30,2.5839437192326534e-22,3.262772452039138e-26,4.1198673070709124e-30,4.509851219038294e-34,1.0142131444565478e-20,1.2806574270059279e-24,1.617098395405921e-28,2.0323421114201292e-32,-5.826450433232822e-13,100.00000000000058,0.015328307710414844,0.015330243476114027,3.196834232923764e-28,2.251320671079383e-24,1.1976976447298214e-37,6.442834027334071e-40,5.24000000000003e-13,2.230779548577944e-18,8.033047581483751e-17,8.101340510984838e-15,3.8493129325002864e-30,2.0323421114201292e-32,ACBI1,9.26,36000.0,10,360,60,0,0.1,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995941147387653e-07,5.238936531004947e-16,5.238438129793102e-13,5.164627478269769e-13,5.655908665824277e-17,7.440316154208362e-15,9.692124781280681e-17,2.6911932266231084e-18,4.100810764967598e-22,6.248634615972635e-26,8.161857366514273e-30,3.117995606941886e-22,4.751167558860536e-26,7.23963034573754e-30,9.563540927058177e-34,1.4768753643224033e-20,2.2504465127308114e-24,3.4292032452782852e-28,5.200986555806063e-32,-5.542233338928781e-13,100.00000000000055,0.01849642133832191,0.01849924023229762,1.5309983469564636e-27,2.8143527872409653e-24,2.6297479962178166e-37,1.7068487918739148e-39,5.240000000000029e-13,2.6919152172737226e-18,9.693601881723951e-17,8.117705224631419e-15,8.162813720606979e-30,5.200986555806063e-32,ACBI1,9.26,36000.0,10,360,60,0,0.12067926406393285,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995931274374788e-07,5.238933942031387e-16,5.238232222031183e-13,5.164429993512955e-13,5.65568311024825e-17,7.440028014309016e-15,1.1695112501570958e-16,3.2473578367813825e-18,5.971366400183208e-22,1.0980089848083792e-25,1.7307342254217364e-29,3.7623538443647844e-22,6.918360854711e-26,1.2721436685027765e-29,2.027962442317522e-33,2.1505422465137476e-20,3.954499755916153e-24,7.271679738029343e-28,1.3309424486090445e-31,-3.552713678800501e-13,100.00000000000036,0.022318916987730836,0.022323021830801863,-3.0234102520069524e-27,3.5381358232248645e-24,5.814447851210982e-37,4.557336496840314e-39,5.240000000000018e-13,3.2483313878203754e-18,1.1697263439340176e-16,8.137451250312618e-15,1.7309370216659682e-29,1.3309424486090445e-31,ACBI1,9.26,36000.0,10,360,60,0,0.14563484775012436,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995919361726754e-07,5.238930818090209e-16,5.23798377642897e-13,5.164191710991608e-13,5.65541095805183e-17,7.439680348683074e-15,1.411172311363741e-16,3.9183716053168836e-18,8.69490894024174e-22,1.9293485861465283e-25,3.6698922930894403e-29,4.539768953356443e-22,1.0073796376154334e-25,2.235320329850402e-29,4.300140144937613e-33,3.1314066322628304e-20,6.948625207065826e-24,1.541905807107097e-27,3.4057618495848346e-31,5.400124791776761e-13,99.99999999999946,0.026930769300834753,0.02693674659405805,1.6726272804481174e-27,4.4889088515206785e-24,1.296325469962537e-36,1.2254299018581952e-38,5.239999999999972e-13,3.919695366838123e-18,1.4114855215286417e-16,8.161276546303132e-15,3.670322307103934e-29,3.4057618495848346e-31,ACBI1,9.26,36000.0,10,360,60,0,0.1757510624854792,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999590498858816e-07,5.23892704873462e-16,5.237684015787555e-13,5.163904212548762e-13,5.655082594636078e-17,7.439260874952139e-15,1.702722631153432e-16,4.727910838040164e-18,1.2660214532007268e-21,3.3899731295776255e-25,7.781332971122959e-29,5.477668751074877e-22,1.4667886926768075e-25,3.927569461487516e-29,9.117651919551847e-33,4.5594840423207853e-20,1.2209207973539145e-23,3.2693297286099654e-27,8.714588788838943e-31,3.410605131648481e-12,99.99999999999659,0.03249470670140138,0.03250341033745125,-2.6238540172523917e-27,5.7514901966577706e-24,2.918882190730063e-36,3.332480566833106e-38,5.239999999999821e-13,4.729725112161753e-18,1.7031787016824457e-16,8.190022823853802e-15,7.782244736314914e-29,8.714588788838943e-31,ACBI1,9.26,36000.0,10,360,60,0,0.21209508879201905,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995887647494863e-07,5.238922500754869e-16,5.237322356645213e-13,5.163557347650648e-13,5.654686426842175e-17,7.438754783170058e-15,2.054440447597687e-16,5.704514379616594e-18,1.8433111197033977e-21,5.956053380535e-25,1.6497868152406675e-28,6.609113135024682e-22,2.1356159236029033e-25,6.900561849386865e-29,1.9331096825192827e-32,6.638554531118657e-20,2.1451294094227978e-23,6.93158880819059e-27,2.2297312603034783e-30,6.73594513500575e-12,99.99999999999326,0.03920687877094822,0.03921955186322669,-3.0658134220353506e-27,7.458358003615336e-24,6.650177053714403e-36,9.159442798057648e-38,5.239999999999646e-13,5.7070194114507334e-18,2.0551045176330783e-16,8.224705010402218e-15,1.6499801262089194e-28,2.2297312603034783e-30,ACBI1,9.26,36000.0,10,360,60,0,0.2559547922699536,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995866726657075e-07,5.238917013500256e-16,5.236886039757113e-13,5.163138878981788e-13,5.654208478191494e-17,7.438144218745185e-15,2.478711937536115e-16,6.8825738911280094e-18,2.683699979389057e-21,1.0463883152948227e-24,3.4975929082136063e-28,7.973940656744303e-22,3.109253129175111e-25,1.212318253622794e-28,4.0982412074686124e-32,9.6651622274541e-20,3.768705810467738e-23,1.469516652614796e-26,5.7046049079201116e-30,1.645616976020392e-11,99.99999999998354,0.04730366293007853,0.04732211509115363,-8.487691429784103e-27,9.806613902728277e-24,1.5363995281313537e-35,2.5541747368941306e-37,5.239999999999138e-13,6.886056342957734e-18,2.4796788307764503e-16,8.266546685659884e-15,3.4980027323343533e-28,5.7046049079201116e-30,ACBI1,9.26,36000.0,10,360,60,0,0.3088843596477481,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999584148866431e-07,5.23891039324268e-16,5.236359685979027e-13,5.162634056494192e-13,5.653631902414863e-17,7.437407660973255e-15,2.9904591563217503e-16,8.303521983318515e-18,3.9069911789367155e-21,1.8382025758985684e-24,7.414324752831112e-28,9.620143983697578e-22,4.526491028837342e-25,2.1296811610954222e-28,8.687590948383743e-32,1.407077374793521e-19,6.620611193977844e-23,3.115137388223459e-26,1.459349520661391e-29,3.5356606531422585e-11,99.99999999996464,0.057069831227514314,0.05709669648987258,-2.7309151461413144e-26,1.3104835036570086e-23,3.6084588601685914e-35,7.238932984653657e-37,5.239999999998147e-13,8.308393280701987e-18,2.991866896069323e-16,8.317022671395865e-15,7.415193511925951e-28,1.459349520661391e-29,ACBI1,9.26,36000.0,10,360,60,0,0.372759372031494,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995811044912363e-07,5.238902406383925e-16,5.235724762948834e-13,5.162025105904305e-13,5.652936399267454e-17,7.436519176737497e-15,3.6076528603543487e-16,1.0017255987879451e-17,5.68746198054333e-21,3.2288886717813515e-24,1.5715449091543841e-27,1.1605517866625633e-21,6.589223827111468e-25,3.7408579784431634e-28,1.8414246681631325e-31,2.0483043910233674e-19,1.1629585867001905e-22,6.602871075685757e-26,3.732893996853449e-29,7.560174708487466e-11,99.9999999999244,0.06884833702966314,0.06888744901459197,-5.220414113949317e-26,1.7861123558749995e-23,8.640272631458783e-35,2.0919207669828818e-36,5.239999999996039e-13,1.0024107891403526e-17,3.609702328364619e-16,8.377910175416111e-15,1.5717290516212005e-27,3.732893996853449e-29,ACBI1,9.26,36000.0,10,360,60,0,0.44984326689694454,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995774324927853e-07,5.238892771259253e-16,5.234958945313032e-13,5.161290615088147e-13,5.652097513714166e-17,7.435447525205119e-15,4.3519261348902016e-16,1.2083841553757154e-17,8.278573529709761e-21,5.671051238287995e-24,3.330620161231498e-27,1.3999630579222683e-21,9.591070120498121e-25,6.570191329602327e-28,3.9025775751051402e-31,2.9814809103215645e-19,2.0425963407995436e-22,1.3993670244083642e-25,9.54717324152262e-29,1.6325429896824062e-10,99.99999999983675,0.08305202547500386,0.08310896297322874,-1.1229478856738076e-25,2.4897813320419354e-23,2.1161251599390224e-34,6.183283956317548e-36,5.239999999991445e-13,1.2093526724491066e-17,4.354909659797186e-16,8.451350144370724e-15,3.3310104189890084e-27,9.54717324152262e-29,ACBI1,9.26,36000.0,10,360,60,0,0.5428675439323859,2.49e-11,1.0,5.24e-14
