t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,6.0,1.999594932974451e-07,5.238938676576272e-16,5.23858648488813e-13,5.164791145710762e-13,5.656071526778392e-17,7.440554953111863e-15,8.031999059778278e-17,4.459238850814262e-18,5.820466796115882e-22,7.596562962899735e-26,3.306630742172651e-30,4.990676123945527e-22,6.514130696525127e-26,8.501922183728632e-30,3.961295594086985e-34,1.0483848461281522e-20,1.3684149818709541e-24,1.7861274438262507e-28,2.2302911871258701e-32,-3.268496584496461e-13,100.00000000000033,0.015328242480492898,0.015330243476114062,-1.0084693779008532e-27,2.2521284646463293e-24,1.1179231805062124e-37,7.630238294064348e-40,5.240000000000017e-13,4.460320106225014e-18,8.033047581483768e-17,8.101340510984872e-15,3.30702687173206e-30,2.2302911871258701e-32,ACBI1,9.26,36000.0,10,180,360,0,0.1,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995941147387653e-07,5.238936531004959e-16,5.238411228497435e-13,5.164627478269769e-13,5.655879619513245e-17,7.440316154208373e-15,9.692075008660535e-17,5.380885230835401e-18,8.475619980888332e-22,1.3348844184920313e-25,7.011972441242316e-30,6.022153169328723e-22,9.485703480013983e-26,1.4939750332630314e-29,8.400238094471224e-34,1.526632560132962e-20,2.404652222628889e-24,3.787625720154654e-28,5.707532664074545e-32,1.4637180356658064e-12,99.99999999999854,0.0184963263524056,0.018499240232297275,2.0773939117907726e-28,2.8119294065401263e-24,2.454597795395946e-37,2.023250774730744e-39,5.239999999999923e-13,5.382335236517852e-18,9.693601881723773e-17,8.117705224631428e-15,7.012812465051763e-30,5.707532664074545e-32,ACBI1,9.26,36000.0,10,180,360,0,0.12067926406393285,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995931274374788e-07,5.238933942031429e-16,5.238199760265959e-13,5.164429993512966e-13,5.655648060115423e-17,7.440028014309093e-15,1.1695040025954848e-16,6.492897183004184e-18,1.2341685071648309e-21,2.3456079153264437e-25,1.4868904375234077e-29,7.266677562750421e-22,1.3812485173422773e-25,2.625153621684925e-29,1.7812717273824497e-33,2.2229907590644517e-20,4.225456173013948e-24,8.031671924073498e-28,1.4605601390331997e-31,3.353761712787673e-12,99.99999999999665,0.022318778675486352,0.022323021830801267,-2.0796524598740473e-27,3.5381358232248645e-24,5.4271549637711e-37,5.3996401881643895e-39,5.239999999999824e-13,6.494858391994388e-18,1.1697263439339863e-16,8.137451250312697e-15,1.4870685646961459e-29,1.4605601390331997e-31,ACBI1,9.26,36000.0,10,180,360,0,0.14563484775012436,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995919361726754e-07,5.238930818090222e-16,5.237944605479328e-13,5.164191710991602e-13,5.655368663801127e-17,7.439680348683077e-15,1.4111617582619746e-16,7.834538731232816e-18,1.7970682121949494e-21,4.1214435392343795e-25,3.1528169143268994e-29,8.768189894989647e-22,2.0112269399386076e-25,4.612625663036164e-29,3.777023876029384e-33,3.236890024901648e-20,7.424703049121477e-24,1.7030441500257865e-27,3.7374158112405385e-31,8.483880264975596e-12,99.99999999999152,0.02693056790576287,0.02693674659405591,-5.424138116598343e-27,4.4913322322215175e-24,1.2099484461074364e-36,1.4535837126257046e-38,5.239999999999556e-13,7.837213231779216e-18,1.4114855215285296e-16,8.161276546303122e-15,3.1531946167145025e-29,3.7374158112405385e-31,ACBI1,9.26,36000.0,10,180,360,0,0.1757510624854792,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999590498858816e-07,5.238927048734622e-16,5.237636749916811e-13,5.163904212548768e-13,5.655031560057335e-17,7.439260874952145e-15,1.7027072654514772e-16,9.453146858513371e-18,2.61661074766808e-21,7.24138755375979e-25,6.684910981905393e-29,1.0579664482534876e-21,2.9284284118152467e-25,8.104385792312072e-29,8.008410600480761e-33,4.7130573816980435e-20,1.3045642231053223e-23,3.6109625189973785e-27,9.563137302121746e-31,1.8545165403338615e-11,99.99999999998145,0.032494413462814446,0.032503410337446345,-1.4147281481526693e-26,5.753105783791663e-24,2.7243889591637123e-36,3.948926334793622e-38,5.239999999999029e-13,9.456822452838791e-18,1.7031787016821886e-16,8.190022823853773e-15,6.685711822965441e-29,9.563137302121746e-31,ACBI1,9.26,36000.0,10,180,360,0,0.21209508879201905,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995887647494863e-07,5.238922500754859e-16,5.23726532431873e-13,5.163557347650656e-13,5.654624847149012e-17,7.438754783170054e-15,2.054418075563866e-16,1.1405779748548253e-17,3.8097363880945356e-21,1.2722377777348768e-24,1.4173100509273938e-28,1.2764953415959933e-21,4.263724946529818e-25,1.4238556074417807e-28,1.6979122375671013e-32,6.862127844552266e-20,2.29207476740224e-23,7.65583309626687e-27,2.4468176837260742e-30,4.064304448547773e-11,99.99999999995936,0.0392064518237379,0.039219551863213374,-2.7045973519048996e-26,7.458358003615336e-24,6.206897158267172e-36,1.085725153327851e-37,5.23999999999787e-13,1.1410867679172351e-17,2.0551045176323806e-16,8.224705010402125e-15,1.4174798421511505e-28,2.4468176837260742e-30,ACBI1,9.26,36000.0,10,180,360,0,0.2559547922699536,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995866726657075e-07,5.238917013500226e-16,5.236817224888796e-13,5.163138878981791e-13,5.654134176587927e-17,7.438144218745152e-15,2.478679366217088e-16,1.376119624613864e-17,5.546616061810738e-21,2.235030666522174e-24,3.0046975290012897e-28,1.5401001013667606e-21,6.207559167694893e-25,2.5013839644872534e-28,3.5995708899794205e-32,9.990617113156408e-20,4.0268390885241347e-23,1.623037808311924e-26,6.259928108276311e-30,8.746781077206833e-11,99.99999999991253,0.04730304134002076,0.047322115091119825,-6.298322175933843e-26,9.804190522027438e-24,1.433960762984146e-35,3.0268979533673903e-37,5.239999999995417e-13,1.3768285818639044e-17,2.479678830774679e-16,8.26654668565963e-15,3.005057486090288e-28,6.259928108276311e-30,ACBI1,9.26,36000.0,10,180,360,0,0.3088843596477481,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999584148866431e-07,5.238910393242801e-16,5.236276657184833e-13,5.162634056494183e-13,5.653542253715101e-17,7.437407660973414e-15,2.990411738973521e-16,1.6602230669893566e-17,8.074841136715092e-21,3.926096116136415e-24,6.369369192733835e-28,1.8580500327278418e-21,9.037013892872047e-25,4.393967620392388e-28,7.630375507556909e-32,1.454449345233149e-19,7.07401876660607e-23,3.4405244318063257e-26,1.6013884194765084e-29,1.872564325822168e-10,99.99999999981274,0.05706892631628857,0.05709669648978708,-1.293068303179735e-25,1.3105642830137032e-23,3.3677499891325826e-35,8.581567938483489e-37,5.239999999990187e-13,1.6612168391936924e-17,2.991866896064843e-16,8.317022671395504e-15,6.370132230284591e-28,1.6013884194765084e-29,ACBI1,9.26,36000.0,10,180,360,0,0.372759372031494,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995811044912365e-07,5.238902406384072e-16,5.235624588399972e-13,5.16202510590429e-13,5.652828237969776e-17,7.436519176737667e-15,3.607583835506758e-16,2.0028638407970407e-17,1.1754575198983894e-20,6.895929593842658e-24,1.3500304181451283e-27,2.2415075929536777e-21,1.3155147762288444e-24,7.717694742108445e-28,1.6173069738107888e-31,2.1172495272518722e-19,1.2425894166489446e-22,7.29242875817648e-26,4.096144675792875e-29,3.9763392578606727e-10,99.99999999960237,0.06884701976157936,0.06888744901437174,-2.753173821387669e-25,1.7856276797348317e-23,8.063725942747808e-35,2.4795583962657627e-36,5.239999999979164e-13,2.0042642704328675e-17,3.6097023283530792e-16,8.377910175414961e-15,1.3501921488425094e-27,4.096144675792875e-29,ACBI1,9.26,36000.0,10,180,360,0,0.44984326689694454,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995774324927853e-07,5.238892771259356e-16,5.234838090313293e-13,5.161290615088188e-13,5.651967023427082e-17,7.43544752520532e-15,4.351825665680851e-16,2.4160500482420088e-17,1.710961227297505e-20,1.2110714450102087e-23,2.8610940940209328e-27,2.7039091405280497e-21,1.9148128820323157e-24,1.3553865109025746e-27,3.427522727029601e-31,3.0818101106115927e-19,2.1824296469927466e-22,1.5454725168787443e-25,1.0475990700966055e-28,8.446647825621767e-10,99.99999999915534,0.08305010812368037,0.0831089629726647,-5.851130106378039e-25,2.4893774352584623e-23,1.9748249992516735e-34,7.328472593407699e-36,5.23999999995574e-13,2.4180328033577744e-17,4.35490965976763e-16,8.451350144367596e-15,2.861436846293636e-27,1.0475990700966055e-28,ACBI1,9.26,36000.0,10,180,360,0,0.5428675439323859,2.49e-11,1.0,5.24e-14
