t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,6.0,1.999512330452485e-07,5.238721211423378e-16,6.7944796151037526e-15,5.155095532113394e-13,3.027519167656436e-16,7.4686016941939e-15,1.577640693140449e-16,4.306622824845676e-16,3.708150534581068e-16,3.0783015529511196e-16,2.2109200151958724e-16,8.314767989264977e-17,8.0981277982165e-17,9.670418331881968e-17,1.754869824467388e-16,1.4283702208977763e-16,1.3145526093742396e-16,1.2951037333432389e-16,4.602783687892207e-16,98.11339766360078,1.8866023363992241,0.030107646815657422,0.19500860581389146,-2.0789606141672793e-20,-2.296971609902416e-22,-5.29796849288822e-22,-5.97203103018845e-22,9.885796242731935e-15,1.7667196163977469e-15,1.0218450944647911e-15,9.753390950207046e-15,3.9657898396632604e-16,4.602783687892207e-16,ACBI1,0.01,36000.0,1500,360,60,60.0,0.1,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995150955408015e-07,5.238728817224954e-16,6.387846568099887e-15,5.155165360659124e-13,2.7986192554085973e-16,7.470420473458168e-15,1.4929673655769882e-16,4.0294896930187093e-16,3.5060076762877486e-16,2.9429617777681584e-16,2.1398964982778103e-16,7.545880127129203e-17,7.454642422566518e-17,9.103493778307834e-17,1.6985027952278445e-16,1.364732058744429e-16,1.2688054594616197e-16,1.2648854014640526e-16,4.739044321063514e-16,98.21498512183018,1.7850148781698223,0.028491743617881458,0.19332890470058403,-9.483576015217103e-21,-9.514747989570986e-23,-2.148278839224073e-22,-2.5532846980210993e-22,9.353477961609869e-15,1.6727260073380626e-15,1.0130434606310603e-15,9.698089184155401e-15,3.838399293505655e-16,4.739044321063514e-16,ACBI1,0.01,36000.0,1500,360,60,60.0,0.1063764854316313,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.99951760302819e-07,5.238735733040832e-16,6.0176119678291605e-15,5.155223814454662e-13,2.5932602554304775e-16,7.47221015933448e-15,1.415029864779183e-16,3.772727986512279e-16,3.3153081962053733e-16,2.812348761712924e-16,2.06901558797481e-16,6.855031561611971e-17,6.865570470227809e-17,8.569035201476454e-17,1.6422491033333208e-16,1.3051178263418053e-16,1.224942262344729e-16,1.2346983110413012e-16,4.874295687455032e-16,98.30793745716117,1.6920625428388254,0.027004386732427155,0.19187183114431391,-3.045026485456667e-21,-2.4214924833762113e-23,-4.816831387845087e-23,-5.909583601862579e-23,8.866407724475445e-15,1.584061335907033e-15,1.0054083951962049e-15,9.64793943604431e-15,3.7112646913081306e-16,4.874295687455032e-16,ACBI1,0.01,36000.0,1500,360,60,60.0,0.1131595665278607,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999519879678076e-07,5.23874200369854e-16,5.679833000267858e-15,5.155272061276893e-13,2.4086344733702987e-16,7.473969503428999e-15,1.3431874703126345e-16,3.5345143640170036e-16,3.135289625024711e-16,2.686347195651552e-16,1.9984492940613162e-16,6.233640388672392e-17,6.32610122341672e-17,8.065298817967422e-17,1.586245142296516e-16,1.2492321185761898e-16,1.1828966243524915e-16,1.2046196237045665e-16,5.008307851899108e-16,98.39315729334064,1.6068427066593627,0.025633348670088443,0.19061533757337767,6.921687946521121e-22,1.327432022433501e-23,3.9451803194820354e-23,5.492693332647345e-23,8.41985578289506e-15,1.5003349664056752e-15,9.98824368884499e-16,9.602406438550598e-15,3.584694436357832e-16,5.008307851899108e-16,ACBI1,0.01,36000.0,1500,360,60,60.0,0.12037516980200687,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999521949155265e-07,5.238747683912393e-16,5.371061177191347e-15,5.155311168600353e-13,2.242308792276252e-16,7.475697227303945e-15,1.2768699180798899e-16,3.3132194155134237e-16,2.965253449057025e-16,2.5648451919121134e-16,1.9283605087477335e-16,5.674135818343179e-17,5.831859496857143e-17,7.590614527941399e-17,1.5306200888346543e-16,1.1968049576277906e-16,1.1426043595898584e-16,1.1747221989396665e-16,5.14085769238869e-16,98.47143627234361,1.5285637276563881,0.02436774652824217,0.18953929630965452,2.866881583415567e-21,3.2663183366572225e-23,8.399402168139241e-23,1.212637677703336e-22,8.009673932919474e-15,1.421195963837912e-15,9.931859126625896e-16,9.561016894900282e-15,3.458980597582388e-16,5.14085769238869e-16,ACBI1,0.01,36000.0,1500,360,60,60.0,0.1280508749677333,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.99952383242292e-07,5.238752830195592e-16,5.088274617825404e-15,5.155342112286015e-13,2.0921706427207442e-16,7.477392042310625e-15,1.215569066391472e-16,3.1073853368766072e-16,2.8045594597904276e-16,2.4477341890084693e-16,1.8589027312342632e-16,5.1698322386975924e-17,5.378866509532667e-17,7.14338670425846e-17,1.4754956826566012e-16,1.1475895466702273e-16,1.1040035353421546e-16,1.145074524309868e-16,5.2717306181557115e-16,98.54347003708665,1.4565299629133486,0.023197882946402137,0.18862532997842432,4.1071538601114745e-21,4.202086599447009e-23,1.0462253713769556e-22,1.5918658340371467e-22,7.632217005665946e-15,1.3463285944815243e-15,9.883967290869434e-16,9.52335154147975e-15,3.334398413890864e-16,5.2717306181557115e-16,ACBI1,0.01,36000.0,1500,360,60,60.0,0.13621602035512725,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995255480842716e-07,5.23875749655276e-16,4.8288201058909926e-15,5.155365784300334e-13,1.9563821954357106e-16,7.47905267205267e-15,1.158831560588098e-16,2.9157061685035693e-16,2.652620450332488e-16,2.3349087206904634e-16,1.7902197937961667e-16,4.7148194841157037e-17,4.963503950776013e-17,6.722094024327375e-17,1.420986007566881e-16,1.1013601775978093e-16,1.0670344561108315e-16,1.1157406406250872e-16,5.400722144237945e-16,98.60987108549014,1.390128914509864,0.02211510611809347,0.18785665990762923,4.775190867191765e-21,4.5739947576690927e-23,1.1184746488856876e-22,1.7978394358742702e-22,7.284275512031688e-15,1.2754482886811478e-15,9.84368897915977e-16,9.489038314516374e-15,3.211205801363048e-16,5.400722144237945e-16,ACBI1,0.01,36000.0,1500,360,60,60.0,0.14490181504861988,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995271126771122e-07,5.238761732606024e-16,4.5903634568485055e-15,5.15538299960869e-13,1.8333414782470566e-16,7.480677875398837e-15,1.1062523790162461e-16,2.7370103160326843e-16,2.5088972712036737e-16,2.2262660919088055e-16,1.7224456065023305e-16,4.303867231585224e-17,4.582481083805625e-17,6.32528855043437e-17,1.3671972874281804e-16,1.0579102922724532e-16,1.031639601653579e-16,1.0867800695803917e-16,5.527639294808349e-16,98.67117981023432,1.3288201897656742,0.021111686622447445,0.1872179701780729,5.0881295980443974e-21,4.6285435426320394e-23,1.1159328917174112e-22,1.8964650350555357e-22,6.963017794372133e-15,1.2082980259658197e-15,9.81022163733102e-16,9.457746457618319e-15,3.089642893930511e-16,5.527639294808349e-16,ACBI1,0.01,36000.0,1500,360,60,60.0,0.15414145817536445,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995285409283747e-07,5.238765583012061e-16,4.37084695918476e-15,5.15539450236252e-13,1.7216493299574514e-16,7.482266468315257e-15,1.0574691569635175e-16,2.5702451022633786e-16,2.372894252043429e-16,2.1217060001106715e-16,1.6557039373648896e-16,3.9323417023405146e-17,4.232804711781559e-17,5.951594236741005e-17,1.3142277102855207e-16,1.0170506952321817e-16,9.97763533066521e-17,1.0582477516050707e-16,5.652301817453428e-16,98.72787398963206,1.2721260103679382,0.020180709102357204,0.18669528538779998,5.179944105116808e-21,4.507384605009679e-23,1.0727043711849127e-22,1.9280130341593896e-22,6.6659402943279966e-15,1.14464510671542e-15,9.78283295432072e-16,9.429181432581463e-15,2.9699316476504103e-16,5.652301817453428e-16,ACBI1,0.01,36000.0,1500,360,60,60.0,0.16397026580002066,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995298459741502e-07,5.238769087549963e-16,4.168452842788541e-15,5.155400971476933e-13,1.620081278755533e-16,7.483817343579001e-15,1.0121571966829172e-16,2.414463124913021e-16,2.244154988621733e-16,2.0211301339287855e-16,1.5901082421976035e-16,3.596133069176208e-17,3.911751817746893e-17,5.599705010457918e-17,1.2621672919737007e-16,9.786079138088158e-17,9.653527787533929e-17,1.0301940006624695e-16,5.774543197370162e-16,98.78037695486084,1.2196230451391536,0.019315977035933532,0.18627586044423203,5.135098214624771e-21,4.2932991149297314e-23,1.008695313811066e-22,1.9176972578739955e-22,6.390824756529165e-15,1.0842782771372944e-15,9.760855087277757e-16,9.403080517108507e-15,2.8522755341713043e-16,5.774543197370162e-16,ACBI1,0.01,36000.0,1500,360,60,60.0,0.1744258059109661,2.49e-11,1.0,5.24e-14
