t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,6.0,1.999523751479842e-07,5.238754510837411e-16,1.5104917967321677e-15,5.156402785614661e-13,1.2110005104770794e-16,7.484937401110996e-15,5.83573969649809e-17,4.4989347943102183e-17,4.4216552942203005e-17,4.0926230726100495e-17,3.107282416766536e-17,5.308035464599367e-17,7.425981014500823e-17,1.2800889257247503e-16,2.649244050799604e-16,6.324424118768465e-17,7.534142242106033e-17,1.0581801093812671e-16,5.72022965911255e-16,99.39163085812491,0.6083691418750938,0.011136907817744447,0.1669435185921961,2.860124508754412e-21,1.4324502348463155e-23,5.069226211736147e-23,9.830373131016086e-23,3.1878543034254916e-15,6.814784182225084e-16,8.747840374231076e-16,9.52497040310899e-15,2.9599722924762577e-16,5.72022965911255e-16,ACBI1,0.001,36000.0,1500,360,60,60.0,0.1,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995251881159424e-07,5.238758183196591e-16,1.4860316250756144e-15,5.156350905296302e-13,1.1499323194330772e-16,7.486726228735176e-15,5.671481915951278e-17,4.2430788356973165e-17,4.187719771165807e-17,3.8973810178135164e-17,2.982326428622095e-17,4.8785892508750526e-17,6.885272506513622e-17,1.2054756682943707e-16,2.5427297594491953e-16,6.138782355416551e-17,7.308551817849256e-17,1.0296598616314777e-16,5.840290945788384e-16,99.40366940466903,0.5963305953309752,0.010823438770899385,0.16759222168590782,2.6794478389892856e-21,4.216960098498408e-24,4.5516539012888715e-23,9.391483739964772e-23,3.12477231953431e-15,6.455642208812307e-16,8.78183241634157e-16,9.496237680980544e-15,2.840962402311405e-16,5.840290945788384e-16,ACBI1,0.001,36000.0,1500,360,60,60.0,0.1063764854316313,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995265149869853e-07,5.238761577620542e-16,1.4632152549543198e-15,5.156297545628572e-13,1.0945577373623438e-16,7.488473462734844e-15,5.520341648569351e-17,4.0024246331799755e-17,3.965733208146264e-17,3.709836398564264e-17,2.859966389894681e-17,4.4886627096797147e-17,6.387751843801559e-17,1.1351607421490587e-16,2.4384267196079143e-16,5.966353266648743e-17,7.095100129440532e-17,1.0017297754331934e-16,5.957810464168808e-16,99.41489589673556,0.5851041032644471,0.010535003146124716,0.16827709435244018,2.5132921973344965e-21,1.1852944334420549e-23,4.0888024855325395e-23,8.976038663927903e-23,3.0659455011057026e-15,6.115024980083619e-16,8.817719744067864e-16,9.46970026035043e-15,2.7244233585973825e-16,5.957810464168808e-16,ACBI1,0.001,36000.0,1500,360,60,60.0,0.1131595665278607,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.99952774185848e-07,5.238764716578389e-16,1.4419051740497104e-15,5.156243119251826e-13,1.0442476831783348e-16,7.490177586830413e-15,5.381070830574956e-17,3.7758949691576655e-17,3.755038227054278e-17,3.5297788091893054e-17,2.7403515820149675e-17,4.134126880619961e-17,5.929618756770895e-17,1.0688983492732157e-16,2.336462241333082e-16,5.806068854239885e-17,6.893148941230878e-17,9.744242211471949e-17,6.072651796115157e-16,99.42537698823226,0.574623011767736,0.01026921914231862,0.16899055114249856,2.367935293070557e-21,1.0847228721797902e-23,3.686780173620845e-23,8.611169038246563e-23,3.0110245816629367e-15,5.791841513087005e-16,8.855104879866923e-16,9.445162830227318e-15,2.6104973995345787e-16,6.072651796115157e-16,ACBI1,0.001,36000.0,1500,360,60,60.0,0.12037516980200687,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995288774669473e-07,5.238767622960342e-16,1.421979045969129e-15,5.15618799744278e-13,9.98453663604443e-17,7.491837275437945e-15,5.252561733056305e-17,3.5625167023099767e-17,3.5550285269313234e-17,3.3570031524469327e-17,2.6236138442136164e-17,3.8113341370432844e-17,5.5074369831029115e-17,1.0064568729122401e-16,2.2369487810651487e-16,5.656960531036495e-17,6.702095087427427e-17,9.477735610215563e-17,6.184694506657423e-16,99.43517227262006,0.5648277273799414,0.010023972773008216,0.1697257595960115,2.2379893310027424e-21,9.964083161184875e-24,3.332331794927927e-23,8.281074294533537e-23,2.9596972914708927e-15,5.485098988582193e-16,8.893629802831003e-16,9.422450660976723e-15,2.49931016548651e-16,6.184694506657423e-16,ACBI1,0.001,36000.0,1500,360,60,60.0,0.1280508749677333,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999529929645859e-07,5.238770316045684e-16,1.4033276788596322e-15,5.156132513046983e-13,9.566962104142205e-17,7.493451393604927e-15,5.1338292069503584e-17,3.3614080076866364e-17,3.365143072447822e-17,3.1913085093086933e-17,2.509867548876206e-17,3.5170568777458334e-17,5.118097071897144e-17,9.476180359582008e-17,2.1399839176727165e-16,5.5181488261545624e-17,6.521368210941811e-17,9.218041459105681e-17,6.293834246618908e-16,99.44433518934405,0.5556648106559512,0.009797383982729693,0.17047658429263646,2.1241407698542553e-21,1.6119646846158573e-24,3.022619520954867e-23,7.991961190391106e-23,2.911683607837184e-15,5.19389006242715e-16,8.93297301693415e-16,9.401407082803853e-15,2.390970672560337e-16,6.293834246618908e-16,ACBI1,0.001,36000.0,1500,360,60,60.0,0.13621602035512725,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995309054339744e-07,5.238772815422329e-16,1.385853297467249e-15,5.156076963092978e-13,9.185551217772267e-17,7.495019005089904e-15,5.0239953377370976e-17,3.171767286022353e-17,3.1848609769966336e-17,3.032497207539015e-17,2.39920975125783e-17,3.2484345953074327e-17,4.7587831664145254e-17,8.921761086111223e-17,2.0456504776757067e-16,5.3888342097252773e-17,6.350428665886067e-17,8.965383517445044e-17,6.399982683026201e-16,99.45291380081687,0.5470861991831275,0.009587777362093697,0.17123753542186163,2.0166618815170667e-21,8.496196032298583e-24,2.740511422764707e-23,7.709253636799069e-23,2.8667316837195877e-15,4.917381884640607e-16,8.972846856105549e-16,9.381891320666317e-15,2.2855714528014894e-16,6.399982683026201e-16,ACBI1,0.001,36000.0,1500,360,60,60.0,0.14490181504861988,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999531811169674e-07,5.238775135441263e-16,1.3694680526831065e-15,5.156021611377797e-13,8.836612076894318e-17,7.496539364461857e-15,4.9222761633346437e-17,2.99286352746526e-17,3.013697010609613e-17,2.8803740745453476e-17,2.291720498273496e-17,3.0029281090774464e-17,4.42694332083763e-17,8.399371621387094e-17,1.9540167958343648e-16,5.2682889097300806e-17,6.18876556858677e-17,8.719946516602677e-17,6.503067261772688e-16,99.46095146327914,0.5390485367208503,0.009393656800256955,0.17200372094652874,1.922151927006786e-21,7.883989482749144e-24,2.49286053225633e-23,7.460913912948253e-23,2.8246143324172556e-15,4.654806612053953e-16,9.012994977598105e-16,9.363776606631195e-15,2.1831888456617144e-16,6.503067261772688e-16,ACBI1,0.001,36000.0,1500,360,60,60.0,0.15414145817536445,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999532652571957e-07,5.238777291203139e-16,1.3540927582674613e-15,5.155966690740529e-13,8.516892922396971e-17,7.49801192286717e-15,4.827970172268973e-17,2.824027944456073e-17,2.851197671959382e-17,2.7347458642191044e-17,2.1874632852930702e-17,2.7782799434193337e-17,4.1202629727903185e-17,7.907183686703327e-17,1.865137102601826e-16,5.155849621881568e-17,6.03589500089278e-17,8.481877221348556e-17,6.603030829176636e-16,99.46848740180886,0.5315125981911455,0.009213683534864452,0.17277080211480583,1.8367011894036975e-21,7.338337550051391e-24,2.2717888505567e-23,7.233997126928342e-23,2.785126014521602e-15,4.405453239485887e-16,9.053190030815824e-16,9.346948560582348e-15,2.083883431131133e-16,6.603030829176636e-16,ACBI1,0.001,36000.0,1500,360,60,60.0,0.16397026580002066,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995334348114724e-07,5.238779295846319e-16,1.3396557970173147e-15,5.15591240534137e-13,8.223522678537323e-17,7.499436319441464e-15,4.74044832637131e-17,2.6646467092934178e-17,2.6969377630038964e-17,2.595420838982141e-17,2.0864856410490697e-17,2.572479971796867e-17,3.8366412169497535e-17,7.443473432213649e-17,1.7790520206131291e-16,5.05091100750907e-17,5.891358346942736e-17,8.251285778388294e-17,6.699831118272562e-16,99.47555720839384,0.5244427916061563,0.00904665711139563,0.1735349516067501,1.7592547716606503e-21,6.850468100939267e-24,2.0739587071758272e-23,7.026204222517162e-23,2.748080228016259e-15,4.1686605779420087e-16,9.093231464193704e-16,9.331303770501757e-15,1.987700584718036e-16,6.699831118272562e-16,ACBI1,0.001,36000.0,1500,360,60,60.0,0.1744258059109661,2.49e-11,1.0,5.24e-14
