t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
1.0,0.0005,0.0,90.57918657079594,0.0006445472319483122,0.0006446261382510556,98.99999999999994,3.6231674628318373e-13,1.4307340197224412e-19,2.578188927793249e-18,2.5785045530042224e-18,4.496930686810468e-15,ACBI1,9.26,36000.0,10,0.1
1.0,0.0005,0.0,90.57918657079588,0.0007777944843165638,0.0007779093933622933,99.0,3.6231674628318353e-13,1.7265518458628528e-19,3.1111779372662552e-18,3.1116375734491732e-18,4.49682273162665e-15,ACBI1,9.26,36000.0,10,0.12067926406393285
1.0,0.0005,0.0,90.57918657079584,0.0009385778645391245,0.0009387452015584081,98.99999999999983,3.623167462831834e-13,2.0835209648943945e-19,3.754311458156499e-18,3.7549808062336324e-18,4.496692437685861e-15,ACBI1,9.26,36000.0,10,0.14563484775012436
1.0,0.0005,0.0,90.5791865707958,0.0011325832339561892,0.0011328269163494728,99.00000000000007,3.6231674628318323e-13,2.514277125615866e-19,4.530332935824757e-18,4.5313076653978915e-18,4.496535178931239e-15,ACBI1,9.26,36000.0,10,0.1757510624854792
1.0,0.0005,0.0,90.57918657079588,0.0013666684117098187,0.0013670232654674512,99.00000000000003,3.6231674628318353e-13,3.0340645398224756e-19,5.466673646839275e-18,5.468093061869805e-18,4.496345369685244e-15,ACBI1,9.26,36000.0,10,0.21209508879201905
1.0,0.0005,0.0,90.57918657079553,0.0016491037763451978,0.0016496205095606303,99.00000000000021,3.6231674628318217e-13,3.6612732287855343e-19,6.5964151053807916e-18,6.598482038242521e-18,4.4961162648526424e-15,ACBI1,9.26,36000.0,10,0.2559547922699536
1.0,0.0005,0.0,90.5791865707952,0.001989861823246157,0.0019906142657958393,99.00000000000027,3.623167462831808e-13,4.418086544491319e-19,7.959447292984627e-18,7.962457063183357e-18,4.495839718194538e-15,ACBI1,9.26,36000.0,10,0.3088843596477481
1.0,0.0005,0.0,90.57918657079477,0.0024009654371579753,0.0024020610780671296,99.00000000000016,3.6231674628317914e-13,5.331261216107313e-19,9.603861748631901e-18,9.608244312268518e-18,4.4955058897281005e-15,ACBI1,9.26,36000.0,10,0.372759372031494
1.0,0.0005,0.0,90.57918657079374,0.0028969064909423084,0.0028985018136862216,99.00000000000206,3.6231674628317495e-13,6.433066695152952e-19,1.1587625963769234e-17,1.1594007254744886e-17,4.49510289133509e-15,ACBI1,9.26,36000.0,10,0.44984326689694454
1.0,0.0005,0.0,90.5791865707911,0.003495148540748789,0.003497471337857908,99.00000000000159,3.623167462831644e-13,7.762415818713263e-19,1.3980594162995156e-17,1.3989885351431635e-17,4.4946163572290996e-15,ACBI1,9.26,36000.0,10,0.5428675439323859
1.0,0.0005,0.0,90.57918657078582,0.0042167298829481415,0.004220111720566534,99.00000000000085,3.623167462831433e-13,9.36622500625792e-19,1.6866919531792567e-17,1.6880446882266135e-17,4.494028922920513e-15,ACBI1,9.26,36000.0,10,0.6551285568595507
1.0,0.0005,0.0,90.57918657077444,0.005086986088701356,0.005091909527803182,99.00000000000388,3.6231674628309775e-13,1.1301049486071658e-18,2.0347944354805426e-17,2.0367638111212728e-17,4.4933195925780545e-15,ACBI1,9.26,36000.0,10,0.7906043210907697
1.0,0.0005,0.0,90.57918657075057,0.006136414338327887,0.0061435816024630364,99.0000000000246,3.6231674628300223e-13,1.363504754393658e-18,2.454565735331155e-17,2.4574326409852147e-17,4.4924629700239395e-15,ACBI1,9.26,36000.0,10,0.9540954763499939
1.0,0.0005,0.0,90.57918657069915,0.007401705406978067,0.007412138205771437,99.00000000002235,3.6231674628279665e-13,1.6450337615037055e-18,2.960682162791227e-17,2.964855282308575e-17,4.491428322765146e-15,ACBI1,9.26,36000.0,10,1.151395399326447
1.0,0.0005,0.0,90.57918657059007,0.008926972917928547,0.008942157507373137,99.00000000005814,3.623167462823603e-13,1.984582327460039e-18,3.570789167171419e-17,3.576863002949255e-17,4.490178441142685e-15,ACBI1,9.26,36000.0,10,1.3894954943731375
1.0,0.0005,0.0,90.57918657035836,0.010765213304685408,0.01078731118750013,99.0000000002378,3.6231674628143344e-13,2.3940573816948314e-18,4.3060853218741633e-17,4.314924475000053e-17,4.488668245462237e-15,ACBI1,9.26,36000.0,10,1.6768329368110073
1.0,0.0005,0.0,90.57918656986446,0.01298003349555229,0.013012187293789392,99.00000000019331,3.623167462794579e-13,2.887786199468045e-18,5.1920133982209165e-17,5.204874917515757e-17,4.4868430823481395e-15,ACBI1,9.26,36000.0,10,2.0235896477251565
1.0,0.0005,0.0,90.57918656881316,0.015647686132094378,0.015694463321241584,98.99999999935865,3.6231674627525266e-13,3.482997522160537e-18,6.259074452837751e-17,6.277785328496635e-17,4.484636636900525e-15,ACBI1,9.26,36000.0,10,2.442053094548651
1.0,0.0005,0.0,90.57918656657267,0.01885945331731067,0.018927489430356055,99.00000000259467,3.623167462662907e-13,4.200393132277276e-18,7.543781326924267e-17,7.570995772142423e-17,4.481968368781304e-15,ACBI1,9.26,36000.0,10,2.9470517025518097
1.0,0.0005,0.0,90.57918656179767,0.022724418150985803,0.02282334818895722,99.00000000129084,3.6231674624719067e-13,5.064824329239366e-18,9.089767260394322e-17,9.129339275582889e-17,4.4787403572482755e-15,ACBI1,9.26,36000.0,10,3.5564803062231287
1.0,0.0005,0.0,90.57918655161849,0.027372656648526134,0.027516462196222093,99.00000000942609,3.6231674620647394e-13,6.106088702222704e-18,1.0949062659410454e-16,1.1006584878488837e-16,4.474833411524205e-15,ACBI1,9.26,36000.0,10,4.291934260128776
1.0,0.0005,0.0,90.57918652992075,0.03295886805619452,0.033167822745477624,99.00000001789617,3.6231674611968303e-13,7.359862752118752e-18,1.3183547222477808e-16,1.3267129098191049e-16,4.470102268038462e-15,ACBI1,9.26,36000.0,10,5.17947467923121
1.0,0.0005,0.0,90.57918648368658,0.039666434649715795,0.03996990863030921,99.0000000203726,3.6231674593474637e-13,8.868784623598211e-18,1.5866573859886318e-16,1.5987963452123685e-16,4.4643696549032135e-15,ACBI1,9.26,36000.0,10,6.25055192527397
