t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
6.0,0.0005,0.0,55.01537984514009,0.031712262251949355,0.03951057246766616,99.01549301516954,2.2006151938056037e-13,3.1040559364214053e-16,1.2684904900779743e-16,1.580422898706646e-16,6.015075642318725e-15,ACBI1,0.1,36000.0,360,0.1
6.0,0.0005,0.0,54.906318212971975,0.03407986881377768,0.04327846214890308,99.03281647923777,2.1962527285188787e-13,3.38544458676203e-16,1.3631947525511075e-16,1.7311384859561232e-16,6.013585962064194e-15,ACBI1,0.1,36000.0,360,0.10974987654930562
6.0,0.0005,0.0,54.763348353166705,0.036548597173163944,0.04737654502142056,99.02174474917221,2.1905339341266685e-13,3.6867634755793426e-16,1.4619438869265577e-16,1.8950618008568224e-16,6.011512804390839e-15,ACBI1,0.1,36000.0,360,0.12045035402587821
6.0,0.0005,0.0,54.57745074615355,0.03910560150078634,0.051822103519481494,99.03378200650097,2.183098029846142e-13,4.0075669660880207e-16,1.5642240600314535e-16,2.07288414077926e-16,6.0086924751762715e-15,ACBI1,0.1,36000.0,360,0.1321941148466029
6.0,0.0005,0.0,54.337836650489365,0.041733112002015876,0.056628900498441964,99.04515172485364,2.1735134660195747e-13,4.3467325384501665e-16,1.669324480080635e-16,2.2651560199376787e-16,6.004928931838785e-15,ACBI1,0.1,36000.0,360,0.14508287784959398
6.0,0.0005,0.0,54.031852402023084,0.04440761597563973,0.06180541533460657,99.02594628159203,2.1612740960809235e-13,4.702286753218236e-16,1.7763046390255895e-16,2.472216613384263e-16,5.999992111879899e-15,ACBI1,0.1,36000.0,360,0.1592282793341092
6.0,0.0005,0.0,53.644987385222464,0.04709908959505036,0.06735271431905798,99.04190597265419,2.1457994954088985e-13,5.07122414851795e-16,1.8839635838020144e-16,2.6941085727623193e-16,5.993618158388489e-15,ACBI1,0.1,36000.0,360,0.17475284000076838
6.0,0.0005,0.0,53.16103076180562,0.049770379690222806,0.07326199112039687,98.91472441849332,2.126441230472225e-13,5.449334721818605e-16,1.9908151876089126e-16,2.930479644815875e-16,5.985512334206745e-15,ACBI1,0.1,36000.0,360,0.19179102616724888
6.0,0.0005,0.0,52.56242388295826,0.052376866211327366,0.07951187459536338,99.05792527843371,2.10249695531833e-13,5.831062456566029e-16,2.095074648453095e-16,3.180474983814535e-16,5.975355432731537e-15,ACBI1,0.1,36000.0,360,0.2104904144512021
6.0,0.0005,0.0,51.83085028793061,0.05486656210559347,0.08606568082569996,99.14927247197987,2.0732340115172244e-13,6.209423943522841e-16,2.1946624842237387e-16,3.442627233027999e-16,5.9628143861629825e-15,ACBI1,0.1,36000.0,360,0.23101297000831597
6.0,0.0005,0.0,50.94809052337512,0.057180819205374274,0.09286887825942326,99.06578845552649,2.0379236209350051e-13,6.576020911487321e-16,2.287232768214971e-16,3.7147551303769306e-16,5.947557497334106e-15,ACBI1,0.1,36000.0,360,0.2535364493970112
6.0,0.0005,0.0,49.89714267989375,0.059255795818059766,0.09984712683890472,99.12724738817614,1.99588570719575e-13,6.921181288656451e-16,2.370231832722391e-16,3.9938850735561887e-16,5.929274250649463e-15,ACBI1,0.1,36000.0,360,0.2782559402207124
6.0,0.0005,0.0,48.663571350891154,0.06102479382824464,0.10690532418177248,99.0272478193264,1.9465428540356462e-13,7.23425794051543e-16,2.4409917531297856e-16,4.2762129672708996e-16,5.907698996005112e-15,ACBI1,0.1,36000.0,360,0.30538555088334157
6.0,0.0005,0.0,47.2370004831361,0.062421483892941845,0.1139281183529076,99.07387607655549,1.889480019325444e-13,7.504100604499111e-16,2.496859355717674e-16,4.557124734116305e-16,5.882637002267568e-15,ACBI1,0.1,36000.0,360,0.33516026509388425
6.0,0.0005,0.0,45.612615903096085,0.06338390835479596,0.12078229995183137,98.71672055838732,1.8245046361238433e-13,7.719694241997466e-16,2.5353563341918385e-16,4.831291998073255e-16,5.85399055984032e-15,ACBI1,0.1,36000.0,360,0.36783797718286343
6.0,0.0005,0.0,43.79250141827249,0.06385899608748975,0.1273213444866848,99.10147421497075,1.7517000567308994e-13,7.870927775564131e-16,2.55435984349959e-16,5.092853779467392e-16,5.8217821455739035e-15,ACBI1,0.1,36000.0,360,0.40370172585965547
6.0,0.0005,0.0,41.786610675583546,0.06380716783467229,0.1333921332945079,99.16909740383615,1.671464427023342e-13,7.949425459801134e-16,2.5522867133868917e-16,5.335685331780315e-16,5.786171345230414e-15,ACBI1,0.1,36000.0,360,0.4430621457583881
6.0,0.0005,0.0,39.61318684522063,0.06320649101719852,0.1388435562657877,99.60122973540658,1.5845274738088253e-13,7.949345903029733e-16,2.5282596406879407e-16,5.553742250631508e-16,5.747462433756296e-15,ACBI1,0.1,36000.0,360,0.4862601580065355
6.0,0.0005,0.0,37.29849019797019,0.06205579809688837,0.1435363400879266,99.03786771764307,1.4919396079188075e-13,7.868039051505399e-16,2.482231923875535e-16,5.741453603517064e-16,5.7061003329188975e-15,ACBI1,0.1,36000.0,360,0.533669923120631
