t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
6.0,0.0005,0.0,55.333378755330095,0.0004254688815983836,0.00042734983119960366,99.00000000137965,2.2133351502132038e-13,6.153724822888076e-18,1.7018755263935344e-18,1.7093993247984147e-18,4.872528526660908e-15,ACBI1,9.26,36000.0,360,100,360,360,0.1
6.0,0.0005,0.0,55.33337869177202,0.0005129859876266761,0.000515722831432933,99.0000000062429,2.2133351476708805e-13,7.426271082398283e-18,2.051943950506704e-18,2.0628913257317316e-18,4.872539963201912e-15,ACBI1,9.26,36000.0,360,100,360,360,0.12067926406393285
6.0,0.0005,0.0,55.33337855760044,0.0006183893500549467,0.0006223708084428849,99.00000000827876,2.2133351423040177e-13,8.961970131518087e-18,2.4735574002197867e-18,2.4894832337715398e-18,4.872553764794184e-15,ACBI1,9.26,36000.0,360,100,360,360,0.14563484775012436
6.0,0.0005,0.0,55.333378274641234,0.0007452821516353923,0.0007510729333246635,99.0000000173431,2.2133351309856492e-13,1.081523875150773e-17,2.9811286065415692e-18,3.004291733298654e-18,4.8725704205321065e-15,ACBI1,9.26,36000.0,360,100,360,360,0.1757510624854792
6.0,0.0005,0.0,55.3333776785896,0.0008979698373278303,0.0009063898988372203,99.00000004362296,2.213335107143584e-13,1.3051744924861768e-17,3.591879349311322e-18,3.625559595348881e-18,4.87259052065171e-15,ACBI1,9.26,36000.0,360,100,360,360,0.21209508879201905
6.0,0.0005,0.0,55.333376424773704,0.0010815863481561255,0.0010938255376858788,99.00000007275688,2.2133350569909484e-13,1.5750732361748392e-17,4.326345392624502e-18,4.375302150743515e-18,4.87261477743742e-15,ACBI1,9.26,36000.0,360,100,360,360,0.2559547922699536
6.0,0.0005,0.0,55.333373791773596,0.0013022382098206203,0.0013200218611365809,99.00000017189194,2.213334951670944e-13,1.900782330480685e-17,5.2089528392824816e-18,5.280087444546323e-18,4.87264405043864e-15,ACBI1,9.26,36000.0,360,100,360,360,0.3088843596477481
6.0,0.0005,0.0,55.33336827370228,0.0015671667046954242,0.0015929944231178957,99.00000037377883,2.2133347309480912e-13,2.2938395863972825e-17,6.268666818781697e-18,6.371977692471582e-18,4.8726793768728144e-15,ACBI1,9.26,36000.0,360,100,360,360,0.372759372031494
6.0,0.0005,0.0,55.33335673742986,0.0018849270343776687,0.0019224163321472335,99.00000077240617,2.2133342694971944e-13,2.768164918641235e-17,7.539708137510675e-18,7.689665328588934e-18,4.8727220082537275e-15,ACBI1,9.26,36000.0,360,100,360,360,0.44984326689694454
6.0,0.0005,0.0,55.333332689711426,0.0022655813026788607,0.002319960926946442,99.00000043381684,2.2133333075884572e-13,3.340548735189456e-17,9.062325210715442e-18,9.279843707785768e-18,4.872773454469466e-15,ACBI1,9.26,36000.0,360,100,360,360,0.5428675439323859
6.0,0.0005,0.0,55.3332827368747,0.0027208990262746974,0.0027997151340704235,99.00000264743495,2.2133313094749882e-13,4.0312368057323125e-17,1.0883596105098789e-17,1.1198860536281696e-17,4.8728355367212445e-15,ACBI1,9.26,36000.0,360,100,360,360,0.6551285568595507
6.0,0.0005,0.0,55.33317940736501,0.003264554345186426,0.0033786778418321024,99.00000642499425,2.2133271762946002e-13,4.864626838115655e-17,1.3058217380745706e-17,1.351471136732841e-17,4.872910450909176e-15,ACBI1,9.26,36000.0,360,100,360,360,0.7906043210907697
6.0,0.0005,0.0,55.33296673506507,0.003912302699241496,0.004077360177880577,99.0000158174632,2.213318669402603e-13,5.870090360790922e-17,1.5649210796965982e-17,1.630944071152231e-17,4.873000843160899e-15,ACBI1,9.26,36000.0,360,100,360,360,0.9540954763499939
6.0,0.0005,0.0,55.332531624390555,0.004682110879717687,0.00492050708637652,99.00002696191851,2.2133012649756226e-13,7.082926919849575e-17,1.872844351887075e-17,1.968202834550608e-17,4.87310989916964e-15,ACBI1,9.26,36000.0,360,100,360,360,1.151395399326447
6.0,0.0005,0.0,55.331647737907105,0.005594202278778663,0.005937961296922217,99.00007159775743,2.2132659095162845e-13,8.545440865643659e-17,2.237680911511465e-17,2.375184518768887e-17,4.873241448736319e-15,ACBI1,9.26,36000.0,360,100,360,360,1.3894954943731375
6.0,0.0005,0.0,55.3298673187839,0.006670962671119313,0.007165689794848684,99.00009330921384,2.213194692751356e-13,1.0308094549843916e-16,2.6683850684477252e-17,2.8662759179394736e-17,4.873400086279191e-15,ACBI1,9.26,36000.0,360,100,360,360,1.6768329368110073
6.0,0.0005,0.0,55.326316712995784,0.0079366289776482,0.008646985000915357,99.00014692976573,2.2130526685198316e-13,1.2430618648651678e-16,3.17465159105928e-17,3.458794000366143e-17,4.873591307120952e-15,ACBI1,9.26,36000.0,360,100,360,360,2.0235896477251565
6.0,0.0005,0.0,55.319319007785175,0.009416650559544966,0.010433828924630979,99.00059924771416,2.212772760311407e-13,1.4982822279212573e-16,3.766660223817986e-17,4.1735315698523914e-17,4.873821658573425e-15,ACBI1,9.26,36000.0,360,100,360,360,2.442053094548651
6.0,0.0005,0.0,55.30571765977279,0.011136563268625296,0.012588350003869302,99.0011525733753,2.2122287063909117e-13,1.80445989755222e-16,4.454625307450119e-17,5.0353400015477203e-17,4.874098905968941e-15,ACBI1,9.26,36000.0,360,100,360,360,2.9470517025518097
6.0,0.0005,0.0,55.27970699024628,0.013120140734914892,0.015184173853635349,99.00169949611204,2.2111882796098512e-13,2.1704210638635462e-16,5.2480562939659566e-17,6.07366954145414e-17,4.8744322212681596e-15,ACBI1,9.26,36000.0,360,100,360,360,3.5564803062231287
6.0,0.0005,0.0,55.23089881787803,0.01538647366157412,0.018307209318767604,99.00762955947816,2.209235952715121e-13,2.605329100310608e-16,6.154589464629648e-17,7.322883727507042e-17,4.874832424943788e-15,ACBI1,9.26,36000.0,360,100,360,360,4.291934260128776
6.0,0.0005,0.0,55.141304946948274,0.017945474170658574,0.022054927353812346,99.00384315054485,2.2056521978779313e-13,3.117613487583952e-16,7.17818966826343e-17,8.82197094152494e-17,4.8753123661231426e-15,ACBI1,9.26,36000.0,360,100,360,360,5.17947467923121
6.0,0.0005,0.0,54.98097566758155,0.020791146611796023,0.02653237624246219,99.01504187445924,2.1992390267032621e-13,3.712989878823289e-16,8.31645864471841e-17,1.0612950496984876e-16,4.8758876301046314e-15,ACBI1,9.26,36000.0,360,100,360,360,6.25055192527397
6.0,0.0005,0.0,54.70235385590807,0.023891947732973373,0.031841997148242825,99.02754285324966,2.1880941542363228e-13,4.3911920058932265e-16,9.556779093189349e-17,1.273679885929713e-16,4.8765779185391144e-15,ACBI1,9.26,36000.0,360,100,360,360,7.543120063354615
6.0,0.0005,0.0,54.234183418248975,0.027177997946576243,0.03806301342009701,99.09274125262802,2.169367336729959e-13,5.141179507112679e-16,1.0871199178630499e-16,1.5225205368038806e-16,4.877409586625085e-15,ACBI1,9.26,36000.0,360,100,360,360,9.102981779915218
6.0,0.0005,0.0,53.4771921727042,0.03052632453664063,0.045215708760839086,99.09030981127445,2.1390876869081682e-13,5.93513430475147e-16,1.221052981465625e-16,1.8086283504335636e-16,4.8784196992390594e-15,ACBI1,9.26,36000.0,360,100,360,360,10.985411419875584
6.0,0.0005,0.0,52.305555837826475,0.03374820725454893,0.053208333074633365,99.10793702688937,2.0922222335130594e-13,6.722730738622202e-16,1.3499282901819573e-16,2.1283333229853347e-16,4.879661064409857e-15,ACBI1,9.26,36000.0,360,100,360,360,13.257113655901081
6.0,0.0005,0.0,50.579377876881395,0.03658676577987707,0.061772564366933284,99.12921525614057,2.0231751150752558e-13,7.428871160990758e-16,1.4634706311950828e-16,2.4709025746773316e-16,4.8812053698081415e-15,ACBI1,9.26,36000.0,360,100,360,360,15.998587196060573
6.0,0.0005,0.0,48.172157537846594,0.03873594016112293,0.07040880342556868,99.16008017686758,1.926886301513864e-13,7.959405030953474e-16,1.5494376064449174e-16,2.816352137022747e-16,4.883137870440447e-15,ACBI1,9.26,36000.0,360,100,360,360,19.306977288832496
6.0,0.0005,0.0,45.01144406698464,0.03988942088180637,0.07837995448353116,99.09723766034304,1.8004577626793854e-13,8.218352839978283e-16,1.595576835272255e-16,3.1351981793412465e-16,4.885534560645241e-15,ACBI1,9.26,36000.0,360,100,360,360,23.29951810515372
6.0,0.0005,0.0,41.12103785560215,0.039815763819987415,0.08479608078733082,97.5362620103502,1.644841514224086e-13,8.135051892534391e-16,1.5926305527994967e-16,3.391843231493233e-16,4.888417088057489e-15,ACBI1,9.26,36000.0,360,100,360,360,28.11768697974228
