t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
6.0,0.0005,0.0,55.333378808294285,0.0004254741396013534,0.0004273498316086176,99.00000000008757,2.2133351523317717e-13,3.418764245764483e-18,1.7018965584054134e-18,1.7093993264344706e-18,4.872528526671877e-15,ACBI1,9.26,36000.0,360,180,10,360,0.1
6.0,0.0005,0.0,55.33337880359925,0.0005129936386504552,0.0005157228324750965,99.00000000030182,2.2133351521439703e-13,4.125741022865471e-18,2.051974554601821e-18,2.0628913299003862e-18,4.872539963225048e-15,ACBI1,9.26,36000.0,360,180,10,360,0.12067926406393285
6.0,0.0005,0.0,55.33337879348811,0.0006184004816249897,0.0006223708110958091,99.00000000060805,2.2133351517395244e-13,4.978916029904598e-18,2.4736019264999592e-18,2.489483244383237e-18,4.8725537648428826e-15,ACBI1,9.26,36000.0,360,180,10,360,0.14563484775012436
6.0,0.0005,0.0,55.33337877166159,0.0007452983446909805,0.0007510729400703438,99.00000000128092,2.2133351508664637e-13,6.008522221096575e-18,2.9811933787639222e-18,3.0042917602813756e-18,4.8725704206345125e-15,ACBI1,9.26,36000.0,360,180,10,360,0.1757510624854792
6.0,0.0005,0.0,55.333378724409165,0.0008979933900357578,0.0009063899159665359,99.00000000417897,2.2133351489763668e-13,7.251044545790707e-18,3.591973560143032e-18,3.625559663866144e-18,4.872590520866701e-15,ACBI1,9.26,36000.0,360,180,10,360,0.21209508879201905
6.0,0.0005,0.0,55.33337862178859,0.0010816206020578239,0.0010938255811116387,99.00000000541641,2.2133351448715434e-13,8.750512754344355e-18,4.326482408231296e-18,4.375302324446555e-18,4.872614777887692e-15,ACBI1,9.26,36000.0,360,180,10,360,0.2559547922699536
6.0,0.0005,0.0,55.33337839816323,0.0013022880269549192,0.001320021971013481,99.00000000062221,2.2133351359265292e-13,1.0560061418479192e-17,5.209152107819677e-18,5.280087884053924e-18,4.872644051379575e-15,ACBI1,9.26,36000.0,360,180,10,360,0.3088843596477481
6.0,0.0005,0.0,55.33337790908617,0.0015672391705911662,0.0015929947004790395,99.00000002111938,2.2133351163634467e-13,1.2743812237490542e-17,6.268956682364665e-18,6.3719788019161584e-18,4.8726793788328734e-15,ACBI1,9.26,36000.0,360,180,10,360,0.372759372031494
6.0,0.0005,0.0,55.33337683548333,0.0018850325067412187,0.001922417030317135,99.00000000235494,2.2133350734193332e-13,1.5379144839799033e-17,7.540130026964875e-18,7.68966812126854e-18,4.872722012321835e-15,ACBI1,9.26,36000.0,360,180,10,360,0.44984326689694454
6.0,0.0005,0.0,55.33337447009059,0.002265735007699103,0.0023199626784440224,99.00000014166655,2.2133349788036236e-13,1.8559435402743515e-17,9.062940030796412e-18,9.27985071377609e-18,4.872773462875261e-15,ACBI1,9.26,36000.0,360,180,10,360,0.5428675439323859
6.0,0.0005,0.0,55.33336924063258,0.002721123564442425,0.0027997195103151413,99.00000068338746,2.2133347696253034e-13,2.2397357485703803e-17,1.08844942577697e-17,1.1198878041260567e-17,4.872835553997337e-15,ACBI1,9.26,36000.0,360,180,10,360,0.6551285568595507
6.0,0.0005,0.0,55.333357644801175,0.0032648837970752917,0.003378688723470461,99.00000094749495,2.213334305792047e-13,2.7028855941051472e-17,1.3059535188301166e-17,1.3514754893881844e-17,4.872910486188633e-15,ACBI1,9.26,36000.0,360,180,10,360,0.7906043210907697
6.0,0.0005,0.0,55.33333187485976,0.003912789720310899,0.004077387079742879,99.00000070447472,2.2133332749943904e-13,3.2617920746624496e-17,1.56511588812436e-17,1.6309548318971518e-17,4.873000914650114e-15,ACBI1,9.26,36000.0,360,180,10,360,0.9540954763499939
6.0,0.0005,0.0,55.3332745393896,0.004682839682584248,0.004920573138830389,99.00000343070303,2.2133309815755838e-13,3.936229815877512e-17,1.8731358730336995e-17,1.9682292555321558e-17,4.873110042694538e-15,ACBI1,9.26,36000.0,360,180,10,360,1.151395399326447
6.0,0.0005,0.0,55.333147011387766,0.0055953136601403905,0.0059381221597965455,99.00000843236917,2.2133258804555107e-13,4.750027006774175e-17,2.2381254640561564e-17,2.375248863918618e-17,4.873241733687024e-15,ACBI1,9.26,36000.0,360,180,10,360,1.3894954943731375
6.0,0.0005,0.0,55.332863960802335,0.006672704172053229,0.0071660777959331725,99.00001678109238,2.2133145584320933e-13,5.731858295422527e-17,2.6690816688212914e-17,2.866431118373269e-17,4.873400644485187e-15,ACBI1,9.26,36000.0,360,180,10,360,1.6768329368110073
6.0,0.0005,0.0,55.33223846203139,0.00793945760834767,0.00864791027065125,99.00005214681858,2.2132895384812557e-13,6.91614605640379e-17,3.175783043339068e-17,3.4591641082604997e-17,4.873592383166116e-15,ACBI1,9.26,36000.0,360,180,10,360,2.0235896477251565
6.0,0.0005,0.0,55.33086586861129,0.0094214440182658,0.010436006125074372,99.00012758503917,2.2132346347444518e-13,8.344027877461311e-17,3.76857760730632e-17,4.174402450029749e-17,4.873823693102601e-15,ACBI1,9.26,36000.0,360,180,10,360,2.442053094548651
6.0,0.0005,0.0,55.327884032143125,0.01114504914281068,0.012593393581271196,99.00000127111502,2.213115361285725e-13,1.0064270673123322e-16,4.4580196571242727e-17,5.037357432508479e-17,4.874102664133118e-15,ACBI1,9.26,36000.0,360,180,10,360,2.9470517025518097
