t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,degradation_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
6.0,0.0005,0.0,55.33337876420135,0.0004254741392636953,0.00042734983126861524,99.00000000010127,-2.173335154023747e-14,2.2133351505680541e-13,3.4187635405034715e-18,1.7018965570547813e-18,1.709399325074461e-18,4.872528526662736e-15,ACBI1,9.26,36000.0,360,180,360,100,0.1
6.0,0.0005,0.0,55.33337871053592,0.000512993637791197,0.0005157228316093511,99.00000000762249,-2.1733351557252257e-14,2.213335148421437e-13,4.125739533145375e-18,2.051974551164788e-18,2.0628913264374043e-18,4.872539963205797e-15,ACBI1,9.26,36000.0,360,180,360,100,0.12067926406393285
6.0,0.0005,0.0,55.33337859726753,0.0006184004794410261,0.000622370808893759,99.00000000660502,-2.1733351593165428e-14,2.2133351438907015e-13,4.97891288581994e-18,2.4736019177641043e-18,2.489483235575036e-18,4.872553764802343e-15,ACBI1,9.26,36000.0,360,180,360,100,0.14563484775012436
6.0,0.0005,0.0,55.333378358438566,0.0007452983391479996,0.0007510729344765723,99.00000002303308,-2.1733351668893626e-14,2.213335134337543e-13,6.0085155921586115e-18,2.981193356591999e-18,3.004291737906289e-18,4.8725704205493084e-15,ACBI1,9.26,36000.0,360,180,360,100,0.1757510624854792
6.0,0.0005,0.0,55.33337785546733,0.0008979933759917965,0.0009063899017789714,99.00000003109945,-2.1733351828382046e-14,2.2133351142186934e-13,7.251030586472422e-18,3.5919735039671866e-18,3.625559607115886e-18,4.87259052068794e-15,ACBI1,9.26,36000.0,360,180,360,100,0.21209508879201905
6.0,0.0005,0.0,55.333376797751164,0.0010816205665494473,0.0010938255451947558,99.00000006436457,-2.1733352163796464e-14,2.2133350719100466e-13,8.75048340168777e-18,4.3264822661977894e-18,4.3753021807790235e-18,4.872614777513519e-15,ACBI1,9.26,36000.0,360,180,360,100,0.2559547922699536
6.0,0.0005,0.0,55.3333745773167,0.0013022879374009568,0.0013200218802913296,99.00000014176987,-2.173335286797045e-14,2.2133349830926679e-13,1.0559999806578191e-17,5.209151749603828e-18,5.280087521165319e-18,4.8726440505982306e-15,ACBI1,9.26,36000.0,360,180,360,100,0.3088843596477481
6.0,0.0005,0.0,55.33336992577138,0.0015672389454101342,0.0015929944719433684,99.00000017423783,-2.173335434325253e-14,2.213334797030855e-13,1.2743683186485564e-17,6.268955781640537e-18,6.371977887773474e-18,4.8726793772066556e-15,ACBI1,9.26,36000.0,360,180,360,100,0.372759372031494
6.0,0.0005,0.0,55.333360205814856,0.0018850319425714765,0.0019224164564855904,99.00000103116943,-2.1733357426338858e-14,2.213334408232594e-13,1.5378875219114365e-17,7.540127770285907e-18,7.689665825942361e-18,4.87272200895032e-15,ACBI1,9.26,36000.0,360,180,360,100,0.44984326689694454
6.0,0.0005,0.0,55.33333995595736,0.002265733600335501,0.00231996124321042,99.000001276991,-2.1733363850191473e-14,2.2133335982382947e-13,1.855887381206319e-17,9.062934401342005e-18,9.27984497284168e-18,4.872773455917978e-15,ACBI1,9.26,36000.0,360,180,360,100,0.5428675439323859
6.0,0.0005,0.0,55.333297920929205,0.002721120071837577,0.0027997159373213975,99.00000233658618,-2.173337718686997e-14,2.2133319168371682e-13,2.2396192020285803e-17,1.088448028735031e-17,1.119886374928559e-17,4.872835539721204e-15,ACBI1,9.26,36000.0,360,180,360,100,0.6551285568595507
6.0,0.0005,0.0,55.33321103980975,0.003264875183214311,0.0033786798781502286,99.00000336067352,-2.1733404756883708e-14,2.21332844159239e-13,2.7026447807095983e-17,1.3059500732857245e-17,1.3514719512600914e-17,4.8729104570921795e-15,ACBI1,9.26,36000.0,360,180,360,100,0.7906043210907697
6.0,0.0005,0.0,55.333032390620204,0.003912768632594952,0.004077365328083218,99.00000385945076,-2.173346145941532e-14,2.2133212956248084e-13,3.261297085631382e-17,1.5651074530379806e-17,1.6309461312332872e-17,4.8730008558296915e-15,ACBI1,9.26,36000.0,360,180,360,100,0.9540954763499939
6.0,0.0005,0.0,55.33266729170306,0.004682788510914686,0.004920520073791637,99.00002707896914,-2.1733577368720263e-14,2.2133066916681225e-13,3.935218678211529e-17,1.8731154043658744e-17,1.9682080295166552e-17,4.87310992494621e-15,ACBI1,9.26,36000.0,360,180,360,100,1.151395399326447
6.0,0.0005,0.0,55.331926574588074,0.0055951907813334275,0.005937993926073441,99.00004801191498,-2.1733812594254118e-14,2.213277062983523e-13,4.7479767161308784e-17,2.238076312533371e-17,2.3751975704293765e-17,4.8732415007415435e-15,ACBI1,9.26,36000.0,360,180,360,100,1.3894954943731375
6.0,0.0005,0.0,55.330436727590225,0.006672412744263514,0.007165771387536324,99.00009534223211,-2.1734285871693362e-14,2.2132174691036092e-13,5.727737169246638e-17,2.6689650977054053e-17,2.8663085550145296e-17,4.873400190144895e-15,ACBI1,9.26,36000.0,360,180,360,100,1.6768329368110073
6.0,0.0005,0.0,55.327470527298885,0.007938776498314447,0.00864718783003547,99.00003062660454,-2.173522847806437e-14,2.2130988210919554e-13,6.90794782733763e-17,3.175510599325778e-17,3.4588751320141883e-17,4.873591512059819e-15,ACBI1,9.26,36000.0,360,180,360,100,2.0235896477251565
6.0,0.0005,0.0,55.321635426585026,0.00941987937552981,0.010434329403991107,99.00048006165136,-2.1737083443917586e-14,2.2128654170634012e-13,8.327916668920537e-17,3.767951750211924e-17,4.173731761596443e-17,4.873822057100455e-15,ACBI1,9.26,36000.0,360,180,360,100,2.442053094548651
6.0,0.0005,0.0,55.31031680294053,0.011141526685016783,0.012589573523690122,99.00207281817669,-2.174068270795217e-14,2.212412672117621e-13,1.0033058781564606e-16,4.4566106740067136e-17,5.0358294094760497e-17,4.8740996675634305e-15,ACBI1,9.26,36000.0,360,180,360,100,2.9470517025518097
6.0,0.0005,0.0,55.28871821010411,0.013128000647223546,0.01518713065548747,99.00143511978666,-2.174755177140001e-14,2.2115487284041641e-13,1.2074393096512389e-16,5.251200258889418e-17,6.074852262194988e-17,4.8744336466609395e-15,ACBI1,9.26,36000.0,360,180,360,100,3.5564803062231287
6.0,0.0005,0.0,55.24827858232997,0.015399369875222096,0.018314253632880247,99.00443084692724,-2.1760408916968044e-14,2.2099311432931988e-13,1.4506569034504433e-16,6.159747950088839e-17,7.3257014531521e-17,4.874835027079288e-15,ACBI1,9.26,36000.0,360,180,360,100,4.291934260128776
6.0,0.0005,0.0,55.174203857283445,0.01796742500170433,0.022071418765105988,99.00541199619703,-2.178393193203864e-14,2.206968154291338e-13,1.73832795481593e-16,7.186970000681731e-17,8.828567506042395e-17,4.875316977869932e-15,ACBI1,9.26,36000.0,360,180,360,100,5.17947467923121
6.0,0.0005,0.0,55.041889207312714,0.020829706558857138,0.026570171166284195,99.01371392278054,-2.182583056491172e-14,2.2016755682925086e-13,2.0748425358972688e-16,8.331882623542855e-17,1.0628068466513679e-16,4.875895523771457e-15,ACBI1,9.26,36000.0,360,180,360,100,6.25055192527397
6.0,0.0005,0.0,54.81223651217447,0.023961073341984503,0.031926419358586686,99.00594148104125,-2.18981328404252e-14,2.1924894604869789e-13,2.4621055090824446e-16,9.584429336793801e-17,1.2770567743434675e-16,4.876590901654942e-15,ACBI1,9.26,36000.0,360,180,360,100,7.543120063354615
