t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,degradation_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
6.0,0.0005,0.0,55.33337872482744,0.00033463992894385014,0.0003361140693568241,99.00000000119749,-2.1733351517088345e-14,2.2133351489930978e-13,2.6878290301211886e-18,1.3385597157754005e-18,1.3444562774272964e-18,3.830096429159855e-15,ACBI1,9.26,36000.0,360,180,360,360,0.1,2.5e-12
6.0,0.0005,0.0,55.33337869670842,0.0004034652753442188,0.00040561014493366705,99.00000000338807,-2.173335153609952e-14,2.2133351478683368e-13,3.2435711040426742e-18,1.6138611013768752e-18,1.6224405797346684e-18,3.830009927432571e-15,ACBI1,9.26,36000.0,360,180,360,360,0.12067926406393285,2.5e-12
6.0,0.0005,0.0,55.33337863733772,0.00048635282320294457,0.0004894730057928632,99.00000000606947,-2.173335157624391e-14,2.2133351454935086e-13,3.914199129959181e-18,1.9454112928117783e-18,1.9578920231714527e-18,3.829905530741211e-15,ACBI1,9.26,36000.0,360,180,360,360,0.14563484775012436,2.5e-12
6.0,0.0005,0.0,55.33337851209339,0.0005861336011986615,0.0005906715466419896,99.00000000389267,-2.1733351660934726e-14,2.2133351404837354e-13,4.723453195216711e-18,2.344534404794646e-18,2.3626861865679584e-18,3.829779535332619e-15,ACBI1,9.26,36000.0,360,180,360,360,0.1757510624854792,2.5e-12
6.0,0.0005,0.0,55.33337824818383,0.0007061895793839162,0.0007127876708909391,99.00000004478888,-2.17333518394093e-14,2.213335129927353e-13,5.699974238655765e-18,2.8247583175356653e-18,2.8511506835637566e-18,3.829627470087148e-15,ACBI1,9.26,36000.0,360,180,360,360,0.21209508879201905,2.5e-12
6.0,0.0005,0.0,55.33337769282915,0.0008505523143684944,0.0008601426276138677,99.00000018926686,-2.1733352215024858e-14,2.2133351077131663e-13,6.878313178927543e-18,3.402209257473978e-18,3.440570510455471e-18,3.829443937173795e-15,ACBI1,9.26,36000.0,360,180,360,360,0.2559547922699536,2.5e-12
6.0,0.0005,0.0,55.333376526056234,0.001024015354454703,0.0010379492768835539,99.00000002451719,-2.173335300429045e-14,2.2133350610422492e-13,8.300146217681542e-18,4.0960614178188125e-18,4.151797107534216e-18,3.829222419457128e-15,ACBI1,9.26,36000.0,360,180,360,360,0.3088843596477481,2.5e-12
6.0,0.0005,0.0,55.33337407947273,0.0012322604649746096,0.001252495553174653,99.000000157891,-2.173335465957259e-14,2.2133349631789093e-13,1.0015737243232848e-17,4.929041859898439e-18,5.009982212698612e-18,3.828955047652423e-15,ACBI1,9.26,36000.0,360,180,360,360,0.372759372031494,2.5e-12
6.0,0.0005,0.0,55.33336896121966,0.0014819966493894898,0.0015113654412127922,99.00000052743482,-2.173335812315116e-14,2.2133347584487868e-13,1.208569534677918e-17,5.92798659755796e-18,6.045461764851169e-18,3.828632318724003e-15,ACBI1,9.26,36000.0,360,180,360,360,0.44984326689694454,2.5e-12
6.0,0.0005,0.0,55.33335828376117,0.001781109251190504,0.0018237050144369875,99.00000175643561,-2.1733365350534675e-14,2.2133343313504467e-13,1.4583082775290646e-17,7.124437004762017e-18,7.294820057747951e-18,3.828242755197792e-15,ACBI1,9.26,36000.0,360,180,360,360,0.5428675439323859,2.5e-12
6.0,0.0005,0.0,55.333336083631664,0.0021388139025125567,0.002200542535039234,99.0000051559367,-2.1733380382002596e-14,2.2133334433452666e-13,1.7595935060741883e-17,8.555255610050227e-18,8.802170140156936e-18,3.827772492854012e-15,ACBI1,9.26,36000.0,360,180,360,360,0.6551285568595507,2.5e-12
6.0,0.0005,0.0,55.33329011143153,0.0025658064679294204,0.00265517328595771,99.00000254784365,-2.173341152073798e-14,2.2133316044572612e-13,2.1230258138417447e-17,1.026322587171768e-17,1.062069314383084e-17,3.8272047816294785e-15,ACBI1,9.26,36000.0,360,180,360,360,0.7906043210907697,2.5e-12
6.0,0.0005,0.0,55.33319536927917,0.0030743951079847493,0.003203621674485906,99.00001462751509,-2.1733475721682408e-14,2.2133278147711668e-13,2.5613561990966403e-17,1.2297580431938997e-17,1.2814486697943626e-17,3.826519381500229e-15,ACBI1,9.26,36000.0,360,180,360,360,0.9540954763499939,2.5e-12
6.0,0.0005,0.0,55.33300123954066,0.0036785938295454635,0.0038651951045283726,99.00011561782634,-2.1733607341626757e-14,2.2133200495816262e-13,3.089896691994125e-17,1.4714375318181855e-17,1.546078041811349e-17,3.825691831791202e-15,ACBI1,9.26,36000.0,360,180,360,360,1.151395399326447,2.5e-12
6.0,0.0005,0.0,55.33260618137287,0.004394148081344978,0.00466314585147169,99.00006549200943,-2.173387536238483e-14,2.213304247254915e-13,3.726985844892081e-17,1.7576592325379914e-17,1.865258340588676e-17,3.824692569318277e-15,ACBI1,9.26,36000.0,360,180,360,360,1.3894954943731375,2.5e-12
6.0,0.0005,0.0,55.33180876447358,0.005238451807575753,0.005625457934762528,99.00001530159221,-2.1734416770706284e-14,2.2132723505789431e-13,4.4944936556369726e-17,2.095380723030301e-17,2.2501831739050114e-17,3.8234858694764654e-15,ACBI1,9.26,36000.0,360,180,360,360,1.6768329368110073,2.5e-12
