t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
1.0,0.0001,0.0,1.0,1.9999386613252267e-08,1.0983395363668644e-18,5.238435233518506e-13,5.238785497651882e-13,1.286389550803689e-19,8.821256451638738e-17,2.4314468736217993e-17,6.705134250506142e-17,1.7867064717984583e-17,4.6622755911594025e-18,1.1168067175190533e-18,9.98361852030448e-23,2.6769882586973277e-23,7.154500901888326e-24,2.478182847139784e-24,6.527653820393473e-18,1.752458797698643e-18,4.704707989113684e-19,1.7261814158892053e-19,0.006185632276498154,99.9938143677235,0.004640165789354579,0.006343066850154656,-6.376728042921386e-17,2.4059979890620337e-17,1.1106651732855975e-18,1.713260823847268e-19,5.239675872868711e-13,9.0697625770476e-17,3.3237670294810403e-17,1.2267734954139654e-16,1.1168091957019004e-18,1.7261814158892053e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,1.0,5.24e-14
1.0,0.00012648552168552957,0.0,1.0,2.5296328492056347e-08,1.3893366590708417e-18,5.238020758729471e-13,5.23846383214575e-13,1.6270805741995417e-19,1.1157700877024225e-16,3.0752094261158736e-17,8.480410305552622e-17,2.260042331625774e-17,5.898133325422144e-18,1.4130243297636733e-18,1.3178205573298365e-22,3.5331018796514316e-23,9.43443164624497e-24,3.227378618274781e-24,8.256991950133196e-18,2.217006537489463e-18,5.9525726176743735e-19,2.1842664352628736e-19,0.007825530255672675,99.99217446974433,0.005868720278847087,0.008022858140090672,-8.06810755745634e-17,3.042767962533486e-17,1.405660588850424e-18,2.1687812609622244e-19,5.239589942214603e-13,1.1471586380185456e-16,4.2039776654075126e-17,1.55169009915693e-16,1.4130275571422915e-18,2.1842664352628736e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,1.0,5.24e-14
1.0,0.00015998587196060574,0.0,1.0,3.199619306106791e-08,1.7574635992204423e-18,5.237496485201299e-13,5.238056972918373e-13,2.0579958067040862e-19,1.4113017998291076e-16,3.889344563009859e-17,1.0725509291235059e-16,2.858813964672443e-17,7.461932052946634e-18,1.787952080805304e-18,1.7549035913161787e-22,4.7042648791668544e-23,1.2549512641394455e-23,4.230814924231056e-24,1.0444626934259298e-17,2.804832028194525e-18,7.53201979000888e-19,2.7642160806410606e-19,0.009900724447248876,99.99009927555275,0.007422413288186754,0.01014742904191172,-1.0208939908683025e-16,3.847907097013794e-17,1.779285214251547e-18,2.746002259471799e-19,5.239481202038964e-13,1.4509335600616245e-16,5.3172528179617405e-17,1.9626621065575453e-16,1.787956311620228e-18,2.7642160806410606e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,1.0,5.24e-14
1.0,0.00020235896477251576,0.0,1.0,4.047055171376925e-08,2.2231832356588388e-18,5.236833318410578e-13,5.237542356608154e-13,2.6030258383833083e-19,1.7851151423810398e-16,4.918897583587666e-17,1.3564645354349465e-16,3.616285779007502e-17,9.440899080329054e-18,2.2625900459952635e-18,2.360567487932168e-22,6.326955112632578e-23,1.686003125634264e-23,5.589434695012734e-24,1.3212104334030686e-17,3.5487298901670135e-18,9.531518619158007e-19,3.4986302452275396e-19,0.012527081903883186,99.98747291809612,0.009387209128984096,0.0128345085775788,-1.291915472081844e-16,4.8658392008774913e-17,2.2526635051807412e-18,3.4777901095509015e-19,5.239343580908237e-13,1.8351312223565984e-16,6.725282494651292e-17,2.4824814677987997e-16,2.2625956354299586e-18,3.4986302452275396e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,1.0,5.24e-14
1.0,0.0002559547922699536,0.0,1.0,5.118938846572263e-08,2.812398955390673e-18,5.23599444974627e-13,5.236891444213753e-13,3.2923853374930737e-19,2.2579485279231224e-16,6.220797003875861e-17,1.7154798849173738e-16,4.57455759854473e-17,1.1945586457367926e-17,2.8635923368489552e-18,3.2111433055992227e-22,8.605678519941342e-23,2.2905490629088566e-23,7.451204753500765e-24,1.6713259315428315e-17,4.490266851810414e-18,1.2063358737633838e-18,4.428937521480774e-19,0.01585150385655254,99.98414849614345,0.01187175000739668,0.016232962945020763,-1.6350979926240843e-16,6.152652127650146e-17,2.8526945519548328e-18,4.406097059283843e-19,5.239169381197916e-13,2.3210318079921277e-16,8.50607258319088e-17,3.1399765364117215e-16,2.8635997880537087e-18,4.428937521480774e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,1.0,5.24e-14
1.0,0.00032374575428176434,0.0,1.0,6.474716505098087e-08,3.557908109284044e-18,5.234933308443475e-13,5.236068138645666e-13,4.1642859216256366e-19,2.85603612056957e-16,7.866973519634834e-17,2.1694315077660384e-16,5.78691977805468e-17,1.511618183925044e-17,3.624819933041582e-18,4.422181904156997e-22,1.1850179996589004e-22,3.150270323348407e-23,1.0035873783743975e-23,2.1142826978448347e-17,5.6821568275890695e-18,1.5270193106515436e-18,5.607850626298907e-19,0.020060353262735475,99.97993964673726,0.015013308243577928,0.020531015911386872,-2.0697817302526446e-16,7.779125901810937e-17,3.613689625023473e-18,5.584597726657038e-19,5.238948837489032e-13,2.935539525880101e-16,1.0758252337566721e-16,3.9716107439263817e-16,3.624829968915366e-18,5.607850626298907e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,1.0,5.24e-14
1.0,0.00040949150623804275,0.0,1.0,8.189578949529222e-08,4.501247954160078e-18,5.233590968106385e-13,5.235026783297019e-13,5.267050828186577e-19,3.61256526596209e-16,9.948288009037579e-17,2.74337326793605e-16,7.320840998201236e-17,1.9130570633725542e-17,4.589338093282839e-18,6.170239333416326e-22,1.6534093678120114e-22,4.390060756444732e-23,1.3673804632035985e-23,2.674736781246002e-17,7.191296066041688e-18,1.9333454458136714e-18,7.102542868888418e-19,0.025390239529613723,99.97460976047039,0.01898528245999538,0.025966630477400766,-2.6205662051174884e-16,9.834526099091557e-17,4.579508587288127e-18,7.082163060273582e-19,5.238669551448648e-13,3.71266485441908e-16,1.3606514370158e-16,5.023504632740501e-16,4.589351767087471e-18,7.102542868888418e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,1.0,5.24e-14
1.0,0.0005179474679231213,0.0,1.0,1.0358631658795414e-07,5.695042579231055e-18,5.231892861583957e-13,5.233709630748182e-13,6.661787622046638e-19,4.569521047074879e-16,1.2579472618490695e-16,3.468940350195058e-16,9.261761567362382e-17,2.421466107787349e-17,5.811996186098534e-18,8.727267854032926e-22,2.338773199604084e-22,6.202565551657181e-23,1.8867258433657876e-23,3.38391419078528e-17,9.102651778280787e-18,2.4484226523271555e-18,8.99877952920617e-19,0.032141860097695485,99.9678581399023,0.024006627134524228,0.032840614594711506,-3.3187856851027606e-16,1.2431343036399148e-16,5.806366697489142e-18,8.98747860469501e-19,5.23831576653088e-13,4.69539495454121e-16,1.720848204762883e-16,6.353993340222314e-16,5.812015053356968e-18,8.99877952920617e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,1.0,5.24e-14
1.0,0.0006551285568595509,0.0,1.0,1.310216929412632e-07,7.205990807107249e-18,5.229744618161147e-13,5.232043641401777e-13,8.425765485525049e-19,5.78002117616287e-16,1.590533686011574e-16,4.3860597320501675e-16,1.171791389309998e-16,3.0655648001832314e-17,7.3627764587942e-18,1.251505019739093e-21,3.354536193456463e-22,8.88722680127867e-23,2.6387661209577645e-23,4.2813745318513607e-17,1.15242600128991e-17,3.1017356544809134e-18,1.140632617915729e-18,0.04069782944972644,99.95930217055027,0.030353696297930804,0.0415331569093448,-4.204425081555108e-16,1.5711191795264597e-16,7.36655270896303e-18,1.141524742819883e-18,5.237867433736835e-13,5.938052388152113e-16,2.1763374220496675e-16,8.036861293954818e-16,7.362802846455408e-18,1.140632617915729e-18,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,1.0,5.24e-14
1.0,0.0008286427728546842,0.0,1.0,1.6572347185424215e-07,9.118676575948664e-18,5.227026786045577e-13,5.229936434793243e-13,1.0656681668526288e-18,7.311272183329212e-16,2.0108547505948456e-16,5.54509407419466e-16,1.4826455299098694e-16,3.881911569066359e-17,9.331167251377406e-18,1.819154176646213e-21,4.877963826048652e-22,1.2912639011181166e-22,3.7430811989903055e-23,5.417255617464653e-17,1.4593674068209345e-17,3.9309886675261576e-18,1.4466083728248965e-18,0.05154574581536053,99.94845425418464,0.03837509066020697,0.05252467601959761,-5.328623101241738e-16,1.985212361299964e-16,9.353401613496478e-18,1.4514619912693085e-18,5.237299002919275e-13,7.509267168602553e-16,2.752293023426915e-16,1.0165433389261757e-15,9.331204682189395e-18,1.4466083728248965e-18,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,1.0,5.24e-14
