t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
3.0,0.0001,0.0,3.0,1.9998695424825068e-08,2.777199692303143e-17,5.2342107042360487e-14,5.2167182410867395e-14,3.252762089998967e-19,2.2436598256266437e-16,6.180512285117984e-18,1.709758830959092e-17,4.559867478011751e-18,1.190681043621386e-18,2.852767997328294e-19,1.2742401644649463e-22,3.4026403734893756e-23,8.928433963493325e-24,2.334232297325796e-24,1.6608329517199428e-18,4.462964372007937e-19,1.1992398211043396e-19,4.4040913508063324e-20,0.04958490174965391,99.95041509825035,0.011794870773125922,0.016129020171101557,-1.451849918622192e-17,1.3780073815683109e-18,6.394235053037367e-20,9.870571413859817e-21,5.2374017511483184e-14,2.3133586344043323e-17,8.451606569657217e-18,2.6091503497743943e-16,2.8527913396512673e-19,4.4040913508063324e-20,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,0.1,5.240000000000001e-15
3.0,0.00012648552168552957,0.0,3.0,2.529545466925221e-08,3.5155550663784655e-17,5.232678722855852e-14,5.2105633881299906e-14,4.1163477337220702e-19,2.8368202397805534e-16,7.8121788980948e-18,2.1611308476781455e-17,5.76548938438311e-18,1.5059663567779966e-18,3.609326340602462e-19,1.9673900994114841e-22,5.2540417088490754e-23,1.3778580747953325e-23,3.548842193405008e-24,2.0999706477525083e-18,5.644808280282272e-19,1.51728233021409e-19,5.573611518214408e-20,0.06273488260910653,99.9372651173909,0.01490873835514275,0.02038949374442574,-1.8368863125436343e-17,1.739635411741188e-18,8.087606275009811e-20,1.2491481402011782e-20,5.236712692151283e-14,2.924396345885278e-17,1.068409472207909e-17,3.299335707441413e-16,3.609361829024396e-19,5.573611518214408e-20,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,0.1,5.240000000000001e-15
3.0,0.00015998587196060574,0.0,3.0,3.199508849108838e-08,4.451151108562326e-17,5.2307417998722693e-14,5.202785270931703e-14,5.209905114667474e-19,3.5864300329005746e-16,9.872837251528736e-18,2.7311714491544125e-17,7.289170247043353e-18,1.904709880291526e-18,4.566846431335711e-19,3.057621671485966e-22,8.167269151544475e-23,2.1410905792787697e-23,5.445187059030736e-24,2.654968261656841e-18,7.139540730640646e-19,1.9198066636359908e-19,7.054714035463631e-20,0.07937791950362794,99.92062208049637,0.018841292464749495,0.025771540826274572,-2.3242002317224604e-17,2.1950384014230954e-18,1.0229291466958011e-19,1.5810396753685797e-20,5.23584059701801e-14,3.6962693552964094e-17,1.3504287392967877e-17,4.171802065710668e-16,4.566900883206301e-19,7.054714035463631e-20,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,0.1,5.240000000000001e-15
3.0,0.00020235896477251576,0.0,3.0,4.046915569682935e-08,5.637241980905479e-17,5.2282931769638014e-14,5.192958104179047e-14,6.595093334263404e-19,4.533532696425006e-16,1.2474210482188203e-17,3.4507830341325034e-17,9.214388981587295e-18,2.408984745878167e-18,5.778894459880465e-19,4.778324646115203e-22,1.2767873315147628e-22,3.346746448008528e-23,8.422149506833978e-24,3.356240562243025e-18,9.02994252592762e-19,2.429332216490377e-19,8.931004838964304e-20,0.10044521287385066,99.89955478712615,0.023805745195015653,0.03256810795240968,-2.941054293365157e-17,2.7678531055420907e-18,1.2937837456466109e-19,2.0014351839927056e-20,5.23473667084541e-14,4.670974091559029e-17,1.706568856706267e-17,5.274515347528561e-16,5.778978681375534e-19,8.931004838964304e-20,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,0.1,5.240000000000001e-15
3.0,0.0002559547922699536,0.0,3.0,5.1187624475533006e-08,7.141798925662171e-17,5.2251981216143194e-14,5.18054583495833e-14,8.350354196678808e-19,5.729804873342927e-16,1.5756474148561544e-17,4.358736262451384e-17,1.1646270855047198e-17,3.0466883079508623e-18,7.313418365669599e-19,7.5017701374034e-22,2.0055169172756478e-22,5.257516610129285e-23,1.3117619809688097e-23,4.242092414933888e-18,1.14206535303633e-18,3.074425016484814e-19,1.1308866427827867e-19,0.12711813990287624,99.87288186009712,0.030069607153743405,0.04114725779095137,-3.7220306720299265e-17,3.4872590075184005e-18,1.6362991104430228e-19,2.5341070516368172e-20,5.23333900946909e-14,5.901268004557023e-17,2.156116308245852e-17,6.667956915145323e-16,7.313549541867696e-19,1.1308866427827867e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,0.1,5.240000000000001e-15
3.0,0.00032374575428176434,0.0,3.0,6.474493669442499e-08,9.05177981171859e-17,5.221286704704733e-14,5.164874457762049e-14,1.057563046158706e-18,7.240228421542416e-16,1.989510964481585e-17,5.5035643099634176e-17,1.4717035318286273e-17,3.853068234639778e-18,9.256663553371751e-19,1.1822274034772362e-21,3.1627606812152274e-22,8.294358642576503e-23,2.0554244366246133e-23,5.360706597979915e-18,1.4443910108081202e-18,3.891344338846667e-19,1.432385378975932e-19,0.16089655471742503,99.83910344528257,0.037967766497740175,0.0519705729492102,-4.7110235107677446e-17,4.389018293556834e-18,2.0693759407001534e-19,3.209293275577115e-20,5.231569020532807e-14,7.45330150091998e-17,2.7232580225386147e-17,8.428323855442749e-16,9.256869095815413e-19,1.432385378975932e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,0.1,5.240000000000001e-15
3.0,0.00040949150623804275,0.0,3.0,8.189297549420937e-08,1.147875674139767e-16,5.2163447833077865e-14,5.145097927067371e-14,1.3398499803138748e-18,9.146381907382235e-16,2.5109163860514833e-17,6.945845165360471e-17,1.859270820077169e-17,4.8726395226164755e-18,1.1718179353435197e-18,1.86893537598402e-21,5.004520168577577e-22,1.3133040851599582e-22,3.2375724456024795e-23,6.772594244368694e-18,1.8266758123299547e-18,4.926148174022385e-19,1.8148985348776908e-19,0.20368631287760763,99.79631368712239,0.04791825164220388,0.06561553165668603,-5.963785586927758e-17,5.5165371088129206e-18,2.6168395645860127e-19,4.065481007737572e-20,5.229326837205214e-14,9.409815040586223e-17,3.4382538588103484e-17,1.0651506798141432e-15,1.1718503110679757e-18,1.8148985348776908e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,0.1,5.240000000000001e-15
3.0,0.0005179474679231213,0.0,3.0,1.0358276458075668e-07,1.4566402028836658e-16,5.2101027903971727e-14,5.120156548292917e-14,1.6982201109230373e-18,1.1550460814211627e-15,3.167104280507516e-17,8.760906736129161e-17,2.3481318653947552e-17,6.161584568291921e-18,1.4837226635618666e-18,2.962103071356668e-21,7.94132800549968e-22,2.0860459777450212e-22,5.1231336662400265e-23,8.553589400491836e-18,2.3100092838673045e-18,6.237388238674677e-19,2.300553364543184e-19,0.25791170028378474,99.74208829971622,0.06044092138373122,0.08280235811022153,-7.551186059906403e-17,6.921804168375924e-18,3.308660799354573e-19,5.151673549802869e-20,5.22648542690513e-14,1.187397093188993e-16,4.338843564975609e-17,1.3458007735420148e-15,1.483773894898529e-18,2.300553364543184e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,0.1,5.240000000000001e-15
3.0,0.0006551285568595509,0.0,3.0,1.3101721188400166e-07,1.850055394886317e-16,5.2022218802829026e-14,5.08872679611356e-14,2.153621891741198e-18,1.458013000049322e-15,3.991785474719298e-17,1.104195818687305e-16,2.964278359672552e-17,7.790742487818448e-18,1.879098105389675e-18,4.704567665748627e-21,1.2632437142047764e-21,3.32285113131099e-22,8.140437371846653e-23,1.0798463450015302e-17,2.9209933141452e-18,7.899560686738803e-19,2.917712348301759e-19,0.3266602078336831,99.67333979216632,0.07617911211296371,0.10442564659323957,-9.563377569523106e-17,8.665938280373297e-18,4.1824147275463365e-19,6.530242693627177e-20,5.222883005109515e-14,1.4973858755953092e-16,5.4719038814857536e-17,1.6998975817454192e-15,1.8791795097633936e-18,2.917712348301759e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,0.1,5.240000000000001e-15
3.0,0.0008286427728546842,0.0,3.0,1.6571782280057035e-07,2.3522920442384604e-16,5.192276949672167e-14,5.049161832749425e-14,2.7330370453198638e-18,1.839428202179081e-15,5.026409017341152e-17,1.3903587315852702e-16,3.740060742294855e-17,9.849301927037917e-18,2.380502235247305e-18,7.485011543219086e-21,2.0138111863583652e-21,5.306787041563837e-22,1.2984447788209156e-22,1.3625208866596463e-17,3.693137288524306e-18,1.0007519217259252e-18,3.7028207644229664e-19,0.4138693736959027,99.5861306263041,0.0959238362088006,0.1315905922265277,-1.2115116960180759e-16,1.0818870994561763e-17,5.284953231197988e-19,8.280445434913342e-20,5.2183132448183355e-14,1.8867644408967235e-16,6.895347032670051e-17,2.1463540733208594e-15,2.380632079725187e-18,3.7028207644229664e-19,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,0.1,5.240000000000001e-15
