t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.0001,0.0,6.0,1.9997801259128893e-08,3.603238529320732e-17,5.214862814935127e-13,5.200049278077951e-14,4.2045346442067374e-18,2.9045261317127275e-16,7.028444611805191e-17,2.907214318785186e-16,1.0215207838502409e-16,3.5109492754907377e-17,1.1273241534941004e-17,2.6620283908175487e-21,9.366891823966204e-22,3.232843754405568e-22,1.1304523693757474e-22,2.498795280452132e-17,8.883705648063398e-18,3.158168147205315e-18,1.7403333315548734e-18,0.374274634769705,99.6257253652303,0.01341306223626945,0.02081194771935054,-4.802813661914381e-16,6.132025359802213e-18,9.891268086564941e-19,1.5280153340686006e-19,5.220388009138068e-13,4.3926027960057666e-16,1.0905460604939684e-16,4.397481742052692e-16,1.1273354580177941e-17,1.7403333315548734e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00013257113655901095,0.0,6.0,2.6511315141355094e-08,4.784786088631608e-17,5.206699134425245e-13,5.1870995161463906e-14,5.574517247372644e-18,3.84736622194647e-16,9.295379210266162e-17,3.8448592190949177e-16,1.35166120604836e-16,4.647935915848278e-17,1.4931611174818184e-17,4.536343363495555e-21,1.5964979564503021e-21,5.507642024460027e-22,1.8915783818795803e-22,3.306432062961132e-17,1.176092661962615e-17,4.1830573743288276e-18,2.3061196152816295e-18,0.4960255607396391,99.50397443926036,0.01773927330203466,0.027532102355249912,-6.359906261317722e-16,8.062292917887585e-18,1.3044408017784616e-18,2.016889809920562e-19,5.214008260617242e-13,5.810698856109894e-16,1.4426821634150954e-16,5.824340894332058e-16,1.4931800332656372e-17,2.3061196152816295e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00017575106248547912,0.0,6.0,3.5146356595279214e-08,6.35718899372307e-17,5.195894618914482e-13,5.1699794393812916e-14,7.391081666830746e-18,5.094862752778939e-16,1.2283835494727302e-16,5.080908452529925e-16,1.7873765064012439e-16,6.150246711314891e-17,1.9771199147390957e-17,7.781015267962885e-21,2.7395323982379423e-21,9.450043944648341e-22,3.199434435362604e-22,4.372388769748668e-17,1.556286559683246e-17,5.538869169484412e-18,3.0553534985627566e-18,0.6573117840317195,99.34268821596828,0.023442434150242945,0.03639681887588537,-8.418597706174892e-16,1.057093350321248e-17,1.7172263448580482e-18,2.6582247233214854e-19,5.205556862516738e-13,7.68113947649161e-16,1.9071933090963935e-16,7.711803632870989e-16,1.9771519090834494e-17,3.0553534985627566e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00023299518105153718,0.0,6.0,4.659393283940227e-08,8.452310987309893e-17,5.181603078860769e-13,5.1473669165305294e-14,9.79992014966209e-18,6.744379076439667e-16,1.6216135764189903e-16,6.707286561108358e-16,2.3615713360637505e-16,8.133042745369516e-17,2.6168683507153563e-17,1.3413726953940195e-20,4.7258837355119615e-21,1.6306501912463306e-21,5.459963080940246e-22,5.777212146378034e-17,2.0581202432515925e-17,7.331135260888254e-18,4.0471102517960304e-18,0.8709148949975685,99.12908510500243,0.030946823977461648,0.048071169284519,-1.1137943652285138e-15,1.3808761363650547e-17,2.2552230032649598e-18,3.4964289969349694e-19,5.194364059502128e-13,1.0144052169352485e-15,2.5189292705087955e-16,1.020674180974796e-15,2.6169229503461658e-17,4.0471102517960304e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00030888435964774815,0.0,6.0,6.177012120079017e-08,1.124842075824314e-16,5.162713544778503e-13,5.1175367920650044e-14,1.2994303769839314e-17,8.923549953757128e-16,2.1377507300082594e-16,8.841910228454395e-16,3.1167442252525404e-16,1.074604560949041e-16,3.4617045963749875e-17,2.3210561357479362e-20,8.18564658206002e-21,2.8263600760017123e-21,9.385809640459708e-22,7.62496093460642e-17,2.7195288647055024e-17,9.69797463844649e-18,5.359138342211969e-18,1.1537015316463624,98.84629846835364,0.04079676965664618,0.06341165724706176,-1.4725394700995432e-15,1.794801477658886e-17,2.952111913924757e-18,4.586246872752858e-19,5.179546039741731e-13,1.3379781085783271e-15,3.322770839746036e-16,1.3501457518515666e-15,3.461798454471392e-17,5.359138342211969e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00040949150623804275,0.0,6.0,8.188937793208023e-08,1.498792380796979e-16,5.137772566410289e-13,5.078250776296104e-14,1.7230602050052528e-17,1.17990146653899e-15,2.8129508841067863e-16,1.1634221857321823e-15,4.1072614374142604e-16,1.4182500231017913e-16,4.5758254687314873e-17,4.0268220908157e-20,1.42212535629768e-20,4.91599662735763e-21,1.623060360789256e-21,1.0048800125379893e-16,3.589499011998766e-17,1.2819253537728115e-17,7.093437177964304e-18,1.5278872846218263,98.47211271537817,0.053682268780663865,0.08350968902674764,-1.9449797277176936e-15,2.3169389695608604e-17,3.84704042442768e-18,5.992806513997047e-19,5.159938706285816e-13,1.7617926150025615e-15,4.375907705001576e-16,1.784663105700357e-15,4.5759877747675664e-17,7.093437177964304e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0005428675439323859,0.0,6.0,1.0856172525945868e-07,2.000284315275259e-16,5.104888098597547e-13,5.026627793419985e-14,2.284877566416596e-17,1.5587095975636783e-15,3.6922676735621464e-16,1.5270386677712215e-15,5.401729122713173e-16,1.8689247393922615e-16,6.042219627145855e-17,6.997639720141885e-20,2.4760244390005776e-20,8.573714165875056e-21,2.8203696535562254e-21,1.321685763753698e-16,4.730645120534883e-17,1.6927499199288708e-17,9.383174100650461e-18,2.0226520067491975,97.9773479932508,0.07046312354126234,0.10973520386199855,-2.5656313469295143e-15,2.963117183783394e-17,4.982095802653533e-18,7.78894789149497e-19,5.134013034846342e-13,2.3146323809786347e-15,5.750124682368724e-16,2.3567054037176534e-15,6.042501664111211e-17,9.383174100650461e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0007196856730011522,0.0,6.0,1.4392159463345684e-07,2.6752036207000877e-16,5.061614720822418e-13,4.9590011029939535e-14,3.0299262422350564e-17,2.0566321443470548e-15,4.83045147667063e-16,1.9976541877207044e-15,7.085016791964323e-16,2.457681828570296e-16,7.967000523614244e-17,1.2168853913971888e-19,4.31678422286208e-20,1.4983378550127296e-20,4.920487625177677e-21,1.7337263390165653e-16,6.221809850854163e-17,2.232005108106789e-17,1.2400894555693089e-17,2.676162789000742,97.32383721099926,0.09218418848608073,0.14377038658664548,-3.3781862419884636e-15,3.7406273909058844e-17,6.3955718302029155e-18,1.0046637612877761e-18,5.099769069856361e-13,3.0317788152578525e-15,7.533568257140222e-16,3.10799335480098e-15,7.967492572376761e-17,1.2400894555693089e-17,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0009540954763499944,0.0,6.0,1.907986379710483e-07,3.587645922643755e-16,5.004824804022027e-13,4.8707804297879816e-14,4.017779390860312e-17,2.709102466443898e-15,6.291536219774094e-16,2.6016998036430386e-15,9.258996111738629e-16,3.2226944482960014e-16,1.0483576767451995e-16,2.1156379878039081e-19,7.530345659492175e-20,2.6222001748124445e-20,8.612487084330995e-21,2.2660100237568636e-16,8.160039113485323e-17,2.9370766363521935e-17,1.636745382579508e-17,3.5380195112874446,96.46198048871256,0.12006748511019265,0.18761321291550878,-4.4367405857799376e-15,4.636486056718324e-17,8.10706174051985e-18,1.2816322698411485e-18,5.054607777608538e-13,3.9550263290652296e-15,9.83093235677266e-16,4.091459790038351e-15,1.0484438016160428e-16,1.636745382579508e-17,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0012648552168552957,0.0,6.0,2.529441781326749e-07,4.828244697474015e-16,4.930581018203356e-13,4.7563605773255396e-14,5.326929641300227e-17,3.560384971768862e-15,8.145878745890654e-16,3.3681855321779693e-15,1.2040195532966478e-15,4.2091971845812136e-16,1.3755177692817888e-16,3.6732412008347605e-19,1.313215900819134e-19,4.5924577531278196e-20,1.5113800462359523e-20,2.9471888454500045e-16,1.0660550162179118e-16,3.853713496323688e-17,2.1559859257850988e-17,4.672019725825464,95.32798027417454,0.15545570125745523,0.2435132165986536,-5.805875107386182e-15,5.597086147322441e-17,1.0087384279672288e-17,1.6082795476931446e-18,4.995186166366746e-13,5.131236264949076e-15,1.2760092549769449e-15,5.37304767699437e-15,1.3756689072864124e-16,2.1559859257850988e-17,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
