t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.0001,0.0,6.0,1.9996505622549914e-08,6.210136279105748e-18,5.200890060326633e-13,5.23308058494562e-13,7.219394617251376e-19,5.033471152784927e-16,1.2147285009350105e-16,5.022921796462464e-16,1.76691678192465e-16,6.079751124583136e-17,1.9545194979379925e-17,1.2478269731287352e-21,4.412388555806609e-22,1.5415938279499852e-22,6.562264197109481e-23,4.323578879087963e-17,1.5388409623858627e-17,5.476528267683938e-18,3.020813382359917e-18,0.5653338100772345,99.43466618992277,0.023181841620897148,0.03599129583173343,-8.764807196407314e-16,1.8813346537522438e-17,3.053498840687819e-18,4.7284243758341885e-19,5.210376508351953e-13,7.593284729117762e-16,1.8859439015828319e-16,6.988754900254602e-16,1.9545260602021897e-17,3.020813382359917e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00012648552168552957,0.0,6.0,2.529268458353494e-08,7.860831242816626e-18,5.190526411146142e-13,5.231248248974856e-13,9.120153862570685e-19,6.369176497753821e-16,1.5340117819848244e-16,6.343081066378672e-16,2.23288898424408e-16,7.688485949281924e-17,2.473486773794627e-17,1.809662094921972e-21,6.399327038727272e-22,2.232997884901565e-22,9.217166428100079e-23,5.463934301457269e-17,1.9460982292455566e-17,6.930666875083515e-18,3.825282358646898e-18,0.7154522747902377,99.28454772520976,0.029275034007343978,0.04546897953038952,-1.1092006025865286e-15,2.3695010578063152e-17,3.862294503671552e-18,5.988318583411935e-19,5.202510300800992e-13,9.592194973592924e-16,2.3825745273924107e-16,8.839507142099485e-16,2.4734959909610553e-17,3.825282358646898e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00015998587196060574,0.0,6.0,3.199158424877942e-08,9.952282250082258e-18,5.177414934169124e-13,5.228930794219273e-13,1.15175030423237e-18,8.060196495220868e-16,1.9363892422761098e-16,8.006765233254955e-16,2.821061394335706e-16,9.722338947098848e-17,3.130671047240149e-17,2.658345876370642e-21,9.402903851222161e-22,3.2779001891096924e-22,1.3129382480226136e-22,6.903429068715542e-17,2.4610188306801292e-17,8.7720884272269e-18,4.84543690498035e-18,0.905560512176919,99.09443948782308,0.0369539931732082,0.057423841327056295,-1.4038967975928351e-15,2.980873224486051e-17,4.885240851368458e-18,7.586303068202376e-19,5.192548629161929e-13,1.2113168204225611e-15,3.00900928553775e-16,1.1180286683502814e-15,3.130684176622629e-17,4.84543690498035e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00020235896477251576,0.0,6.0,4.04647225610953e-08,1.2603379196232586e-17,5.160826225346247e-13,5.225999846079314e-13,1.4538828525875204e-18,1.0201573642062048e-15,2.442983494876726e-16,1.0101268654519892e-15,3.5630579967053385e-16,1.229327291998157e-16,3.9631231056518406e-17,3.9519042260493134e-21,1.398602166271204e-21,4.87268297971065e-22,1.8968575026120365e-22,8.719527445892752e-17,3.111983846997883e-17,1.110460947247168e-17,6.139955974008453e-18,1.146386049965713,98.85361395003429,0.04662182242131156,0.07249199005020213,-1.777178954354018e-15,3.744410803855112e-17,6.178916158490873e-18,9.614431245585893e-19,5.179929370981796e-13,1.5290026528392979e-15,3.798580278630591e-16,1.4140786815785248e-15,3.9631420742268666e-17,6.139955974008453e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0002559547922699536,0.0,6.0,5.1182015956784915e-08,1.596581006867005e-17,5.139836871433825e-13,5.222293096953969e-13,1.8342735251860647e-18,1.2914092398006954e-15,3.079976763802125e-16,1.2734777265899444e-15,4.498420971853631e-16,1.5542469992073253e-16,5.017956046900129e-17,5.938651882630903e-21,2.1036220015278802e-21,7.327929895610249e-22,2.778802957282189e-22,1.1009120520816612e-16,3.934796757047894e-17,1.406024148719243e-17,7.783974152482995e-18,1.4515771719812278,98.54842282801877,0.058778182515307725,0.09146585206078874,-2.2501638628395095e-15,4.694520579772827e-17,7.814692448325787e-18,1.2190503853962416e-18,5.163937356188183e-13,1.9289331371122104e-15,4.79281064798533e-16,1.7884994411402537e-15,5.017983834929702e-17,7.783974152482995e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00032374575428176434,0.0,6.0,6.473784073717703e-08,2.0233551425273423e-17,5.113277731232474e-13,5.21760536023778e-13,2.3125764491842258e-18,1.635144707452204e-15,3.879626363030082e-16,1.604054954604888e-15,5.676420244563468e-16,1.9647752453313544e-16,6.355142366535282e-17,9.009335730075698e-21,3.1956260735627516e-21,1.1136509735178092e-21,4.1254346139791534e-22,1.3892985312864325e-16,4.9745781280418645e-17,1.7807028514124983e-17,9.873969543982878e-18,1.8385220177704582,98.16147798222954,0.0740386710501924,0.1153281047271332,-2.849724635217025e-15,5.871145761991539e-17,9.88242685172699e-18,1.5465560584967423e-18,5.143661446268828e-13,2.431739658415962e-15,6.043192687701779e-16,2.2620238352530785e-15,6.355183620881422e-17,9.873969543982878e-18,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00040949150623804275,0.0,6.0,8.188399694099196e-08,2.565537330742382e-17,5.079668484092378e-13,5.211677280464718e-13,2.912992142808324e-18,2.0709526629282215e-15,4.881350702053925e-16,2.0181378534169594e-15,7.158156348961315e-16,2.483271879173718e-16,8.05111261236313e-17,1.3779146388874584e-20,4.8967072600101646e-21,1.7082886841576795e-21,6.201917372837233e-22,1.752098024193627e-16,6.288104379740514e-17,2.2559130858024454e-17,1.2534243316598605e-17,2.3294096376592677,97.67059036234073,0.09315554774912072,0.14528994095358463,-3.610094128788388e-15,7.319047998100406e-17,1.249487572149659e-17,1.9633598971955707e-18,5.117938934986654e-13,3.0628128066881644e-15,7.613192905967835e-16,2.8608613233093077e-15,8.051174631536858e-17,1.2534243316598605e-17,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0005179474679231213,0.0,6.0,1.0357140288759398e-07,3.255147660859095e-17,5.03713496204587e-13,5.204181094913546e-13,3.665060606923811e-18,2.6238516626823455e-15,6.132781875854486e-16,2.535389912262884e-15,9.018909094296958e-16,3.13778370015993e-16,1.0203384539247526e-16,2.1216193408269155e-20,7.558881150112294e-21,2.6418921932097197e-21,9.432364324618936e-22,2.2077871573063979e-16,7.946657870463401e-17,2.85897962729555e-17,1.5925567673562924e-17,2.9526096357890452,97.04739036421095,0.11703782205829173,0.1828318408334429,-4.57491986858084e-15,9.085552539033082e-17,1.5792741935177582e-17,2.4944077265823113e-18,5.085283255084654e-13,3.853125397304233e-15,9.580388459672408e-16,3.618139406068285e-15,1.0203478862890772e-16,1.5925567673562924e-17,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0006551285568595509,0.0,6.0,1.3100283276586662e-07,4.1335888469338695e-17,4.983305137006619e-13,5.194702692282831e-13,4.60440218352274e-18,3.32587962909301e-15,7.690576501528249e-16,3.179187002067528e-15,1.1350583000629034e-15,3.963360878539002e-16,1.2936500601883627e-16,3.2841593027634114e-20,1.1740326962970447e-20,4.114703575621316e-21,1.4498612701241335e-21,2.778944316971078e-16,1.0039426564301001e-16,3.624799699687935e-17,2.0256798135015512e-17,3.7444721778705343,96.25552782212947,0.1467667271284017,0.22974258447038884,-5.799883931602633e-15,1.121551039621824e-16,1.9949932438104395e-17,3.1717678347173183e-18,5.043789657879583e-13,4.839996542488003e-15,1.2038511426248377e-15,4.575721208855543e-15,1.293664558801064e-16,2.0256798135015512e-17,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0008286427728546842,0.0,6.0,1.656996220952714e-07,5.254703021312231e-17,4.915179186219031e-13,5.182719031788459e-13,5.773219508720768e-18,4.218202322667331e-15,9.620595553238116e-16,3.97668071928636e-15,1.4263904905100465e-15,5.003557085075651e-16,1.6409581968719777e-16,5.1038426309545376e-20,1.8325811109024077e-20,6.447680030155228e-21,2.2502511979057074e-21,3.492807257546471e-16,1.2677409117519714e-16,4.5979595734844255e-17,2.5800530495340447e-17,4.751681843500876,95.24831815649912,0.18359915177935338,0.28814780505416804,-7.356002910308189e-15,1.374137614291873e-16,2.5177835745390625e-17,4.036532351452951e-18,4.991011871400554e-13,6.067600800159816e-15,1.5098944984838406e-15,5.786495133041662e-15,1.6409806993839568e-16,2.5800530495340447e-17,PROTAC 1,8.54,36000.0,1500,360,60,0,3.2,1.24e-12,1.0,5.24e-14
