t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
6.0,0.0001,0.0,99.99514190166379,0.004983289776774632,0.005642075243200767,-98.97624309139181,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.00013257113655901095,0.0,99.99355652978495,0.006605382634052003,0.007478880303910825,-98.9785094033419,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.00017575106248547912,0.0,99.99145248581019,0.008755035416362175,0.009913283950115865,-98.96884556247913,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.00023299518105153718,0.0,99.98865909105584,0.011603493240170328,0.013139422412222627,-98.95593720012599,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.00030888435964774815,0.0,99.98494875559108,0.015377331977977485,0.017414277675597653,-98.93913378080039,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.00040949150623804275,0.0,99.98001744197728,0.020376141201314233,0.023077852204083253,-98.67359513858727,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.0005428675439323859,0.0,99.97345800836408,0.026995708232220007,0.030579688798536085,-98.88865118285275,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.0007196856730011522,0.0,99.96472353766296,0.03575829704830156,0.040513627532761,-99.51300235190507,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.0009540954763499944,0.0,99.95307638254025,0.04735198184149498,0.05366317081590034,-98.98358932657057,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.0012648552168552957,0.0,99.93751650201303,0.06268136029608688,0.07106035250767902,-98.72635200692794,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.0016768329368110084,0.0,99.91667923579162,0.08293223943450212,0.09406150032525273,-98.74570441021928,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.0022229964825261957,0.0,99.88868711639627,0.10965284842397172,0.12444355818243989,-99.77507774300723,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.0029470517025518097,0.0,99.85093124463744,0.1448533593703585,0.16452429179551878,-98.44298037170043,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.003906939937054617,0.0,99.79974281157598,0.19112312895524772,0.21730787824427647,-98.10589577864329,PROTAC 1,8.54,36000.0,360,3.2
