,t,Target_deg,PROTAC
0,0,100.0,38404
1,3,99.92846343436838,38404
2,6,99.78958022983568,38404
3,9,99.65952366060573,38404
4,12,99.55547431115319,38404
5,15,99.4756520565492,38404
6,18,99.41539545556725,38404
7,21,99.37027119826816,38404
8,24,99.33663380127702,38404
9,27,99.3116305409793,38404
10,30,99.29307951765153,38404
11,33,99.27933258031491,38404
12,36,99.26915403803545,38404
13,39,99.26162182556301,38404
14,42,99.25605003673729,38404
15,45,99.25192949380114,38404
16,48,99.24888273779095,38404
17,51,99.24663021772896,38404
18,54,99.24496502695078,38404
19,57,99.24373409236073,38404
20,60,99.24282420145431,38404
21,63,99.2421516394702,38404
22,66,99.24165451224565,38404
23,69,99.24128706289987,38404
24,72,99.24101546663623,38404
25,75,99.24081472029924,38404
26,78,99.24066634220918,38404
27,81,99.24055667146925,38404
28,84,99.24047561065201,38404
29,87,99.24041569633071,38404
30,90,99.24037141201497,38404
31,93,99.24033868028225,38404
32,96,99.24031448738614,38404
33,99,99.24029660577645,38404
34,102,99.2402833890078,38404
35,105,99.24027362014667,38404
36,108,99.24026639972692,38404
37,111,99.24026106292534,38404
38,114,99.24025711835642,38404
39,117,99.24025420282122,38404
40,120,99.24025204787338,38404
41,123,99.24025045509326,38404
42,126,99.24024927782989,38404
43,129,99.24024840768378,38404
44,132,99.24024776453659,38404
45,135,99.24024728916974,38404
46,138,99.24024693781388,38404
47,141,99.24024667811719,38404
48,144,99.24024648616853,38404
49,147,99.24024634429456,38404
50,150,99.24024623943197,38404
51,153,99.24024616192479,38404
52,156,99.24024610464218,38404
53,159,99.24024606229965,38404
54,162,99.24024603100968,38404
55,165,99.24024600787338,38404
56,168,99.24024599077424,38404
0,0,100.0,38406
1,3,67.7485829143238,38406
2,6,35.40393764995515,38406
3,9,24.55700772704465,38406
4,12,21.627801686964766,38406
5,15,20.845978350589093,38406
6,18,20.62638599974619,38406
7,21,20.558577839228356,38406
8,24,20.534915241690925,38406
9,27,20.525597383884385,38406
10,30,20.521566786473585,38406
11,33,20.51971452120495,38406
12,36,20.51883355050037,38406
13,39,20.518406881855903,38406
14,42,20.518198332353528,38406
15,45,20.51809593023689,38406
16,48,20.518045535737016,38406
17,51,20.51802070815894,38406
18,54,20.518008469928763,38406
19,57,20.518002435771503,38406
20,60,20.5179994602014,38406
21,63,20.517997992793557,38406
22,66,20.517997269116904,38406
23,69,20.517996912218198,38406
24,72,20.517996736203628,38406
25,75,20.517996649396792,38406
26,78,20.517996606585456,38406
27,81,20.517996585471764,38406
28,84,20.517996575058913,38406
29,87,20.517996569923618,38406
30,90,20.517996567390924,38406
31,93,20.517996566142095,38406
32,96,20.51799656552571,38406
33,99,20.51799656522216,38406
34,102,20.517996565072526,38406
35,105,20.517996565000253,38406
36,108,20.51799656495776,38406
37,111,20.51799656494811,38406
38,114,20.51799656494173,38406
39,117,20.517996564938827,38406
40,120,20.5179965649391,38406
41,123,20.51799656493923,38406
42,126,20.517996564939306,38406
43,129,20.51799656493932,38406
44,132,20.51799656493932,38406
45,135,20.51799656493932,38406
46,138,20.51799656493932,38406
47,141,20.51799656493932,38406
48,144,20.51799656493932,38406
49,147,20.51799656493932,38406
50,150,20.51799656493932,38406
51,153,20.51799656493932,38406
52,156,20.51799656493932,38406
53,159,20.51799656493932,38406
54,162,20.51799656493932,38406
55,165,20.51799656493932,38406
56,168,20.51799656493932,38406
