t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.0001,0.0,6.0,1.9997801420080985e-08,3.6037137375728874e-17,5.212338910954089e-13,5.200052823333067e-14,4.203053966527741e-18,2.904925934745225e-16,7.026010077870006e-17,2.903782387796437e-16,1.0187387073257102e-16,3.4854291754984797e-17,1.102613346507639e-17,2.6594597339771965e-21,9.345150607322195e-22,3.212491556180446e-22,1.1057900337063642e-22,2.4979270742344317e-17,8.880588409479432e-18,3.157027958103003e-18,1.7021853062493551e-18,0.4226698696363371,99.57733013036366,0.013408416179141232,0.02079755213642675,-5.422267493300521e-16,6.1223444857839384e-18,9.662150740073255e-19,1.4926225700432524e-19,5.217852098831056e-13,4.381365605352296e-16,1.0897917319487616e-16,4.39715983814609e-16,1.1026244044079761e-17,1.7021853062493551e-18,PROTAC 1,8.54,36000.0,1500,360,60,60,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00013257113655901095,0.0,6.0,2.6511315388253095e-08,4.7855543726146076e-17,5.203356236943201e-13,5.187104952269077e-14,5.5718327165886134e-18,3.8480080250549216e-16,9.290961091026564e-17,3.8398196296487427e-16,1.3478014676858798e-16,4.6135212767850055e-17,1.4602224562962877e-17,4.5314078179947595e-21,1.5925258922383123e-21,5.471325645453382e-22,1.8501013803662223e-22,3.3048560261876697e-17,1.1755267684704488e-17,4.180988705800705e-18,2.2552472411259883e-18,0.5601428234768662,99.43985717652313,0.01773084177676825,0.02750947992438426,-7.179445693514721e-16,8.045345585355946e-18,1.2735280512149352e-18,1.9690979847837953e-19,5.210648516049812e-13,5.79506403140688e-16,1.441496748037735e-16,5.82384709828413e-16,1.4602409573100914e-17,2.2552472411259883e-18,PROTAC 1,8.54,36000.0,1500,360,60,60,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00017575106248547912,0.0,6.0,3.514635698153675e-08,6.358450223111307e-17,5.191468321755349e-13,5.1699879395780963e-14,7.386250430676092e-18,5.095909204396814e-16,1.2275892412960957e-16,5.073369306150711e-16,1.781958921186612e-16,6.103601283849266e-17,1.933138348623327e-17,7.771363747078686e-21,2.732200747080373e-21,9.384944046672026e-22,3.1288068596305777e-22,4.369554056634284e-17,1.5552684512983702e-17,5.535148137408151e-18,2.987386433245362e-18,0.7422404420337614,99.25775955796624,0.023427275597253737,0.0363606266754942,-9.502109763840158e-16,1.0541283971865882e-17,1.6753035664037646e-18,2.5933416500547337e-19,5.201106600837431e-13,7.659119739980431e-16,1.905296837795896e-16,7.711031118206451e-16,1.9331696366919233e-17,2.987386433245362e-18,PROTAC 1,8.54,36000.0,1500,360,60,60,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00023299518105153718,0.0,6.0,4.659393345511444e-08,8.454408717364784e-17,5.175744665863219e-13,5.147380457757289e-14,9.791269628227245e-18,6.746108165379803e-16,1.6201955030560457e-16,6.695790262314477e-16,2.3538624719237265e-16,8.069413600959548e-17,2.5580104533842167e-17,1.3394487812134006e-20,4.712180635204617e-21,1.618911501632827e-21,5.338357971738988e-22,5.772148158166598e-17,2.056300568734024e-17,7.32448375876248e-18,3.9560845560976685e-18,0.98337743602616,99.01662256397384,0.030919761508703163,0.04801232936821964,-1.2569135990660458e-15,1.3756941664925857e-17,2.198002467432355e-18,3.4077476933152966e-19,5.188471022352229e-13,1.011259773383004e-15,2.5158460588947094e-16,1.0205510386450722e-15,2.558063836963934e-17,3.9560845560976685e-18,PROTAC 1,8.54,36000.0,1500,360,60,60,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00030888435964774815,0.0,6.0,6.177012219931483e-08,1.125194779310359e-16,5.154963939942957e-13,5.117558735122184e-14,1.2978866748807017e-17,8.926438293450511e-16,2.1352328583861438e-16,8.824045894731299e-16,3.1056029461107817e-16,1.0658555453527558e-16,3.3827112438978215e-17,2.317143064312715e-20,8.159651226712794e-21,2.8050332953405058e-21,9.174298737096204e-22,7.615961714487429e-17,2.716292660358077e-17,9.686139884983701e-18,5.2368499614948895e-18,1.302565976129472,98.69743402387053,0.040748718671491296,0.063314660197242,-1.6613482183278582e-15,1.7857583260766314e-17,2.87339359284282e-18,4.464032921717488e-19,5.171745542850815e-13,1.3334126046035008e-15,3.3176881943354805e-16,1.349946047003481e-15,3.3828029868851927e-17,5.2368499614948895e-18,PROTAC 1,8.54,36000.0,1500,360,60,60,3.2,1.24e-12,1.0,5.24e-14
6.0,0.00040949150623804275,0.0,6.0,8.188937957637016e-08,1.499390544914322e-16,5.127528919038988e-13,5.078286873852077e-14,1.7203110812300075e-17,1.1803880479260216e-15,2.8085004316709777e-16,1.1605964508182239e-15,4.090881566918102e-16,1.4061028029507417e-16,4.469416346973087e-17,4.0186998058754105e-20,1.4171083609032182e-20,4.8768817345397116e-21,1.5859140698320264e-21,1.0032874915984357e-16,3.5837659791711345e-17,1.2798271052570861e-17,6.928490382379503e-18,1.7248305151876053,98.2751694848124,0.05359733648227057,0.08334794151786318,-2.193643196012487e-15,2.30119141531239e-17,3.737720441561727e-18,5.822702990537052e-19,5.149618881004169e-13,1.7550498721523111e-15,4.36743213553603e-16,1.784334247660829e-15,4.46957493838007e-17,6.928490382379503e-18,PROTAC 1,8.54,36000.0,1500,360,60,60,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0005428675439323859,0.0,6.0,1.0856172800293319e-07,2.001305422223311e-16,5.091361516692307e-13,5.0266879420494307e-14,2.2799865523047384e-17,1.5595343118539436e-15,3.684433023992317e-16,1.5224972714514817e-15,5.377208690944412e-16,1.851863389464085e-16,5.89820887442933e-17,6.980443604732238e-20,2.4661532749033426e-20,8.501128286936328e-21,2.7544945390600068e-21,1.318877862601429e-16,4.7205218050091536e-17,1.6890403721205643e-17,9.159557221297108e-18,2.2830095243828623,97.71699047561714,0.07031360732809766,0.10946302817785669,-2.892367036831171e-15,2.935777399685662e-17,4.828603932158168e-18,7.549442428743374e-19,5.120370300922338e-13,2.3044922898282473e-15,5.73586267651969e-16,2.3561567088429132e-15,5.898484323883236e-17,9.159557221297108e-18,PROTAC 1,8.54,36000.0,1500,360,60,60,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0007196856730011522,0.0,6.0,1.4392159926115107e-07,2.676954600117756e-16,5.043777949334206e-13,4.9591023832301795e-14,3.021225164333561e-17,2.058035205204996e-15,4.81671390778334e-16,1.990256542480204e-15,7.0476364263913285e-16,2.433396140319808e-16,7.770964212113565e-17,1.2131763678892512e-19,4.296951952377217e-20,1.484674728864208e-20,4.8024545160371116e-21,1.728792593622063e-16,6.203986838833347e-17,2.2254629678762222e-17,1.2095814286003577e-17,3.019999708933611,96.98000029106639,0.09192202114090343,0.1433093439873358,-3.806135684217949e-15,3.693362793677269e-17,6.177409921000861e-18,9.705034022347148e-19,5.081752015251879e-13,3.016253377630571e-15,7.509409624936396e-16,3.1070678157118647e-15,7.771444457565169e-17,1.2095814286003577e-17,PROTAC 1,8.54,36000.0,1500,360,60,60,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0009540954763499944,0.0,6.0,1.9079864584547139e-07,3.5906557594617894e-16,4.981349685148803e-13,4.8709523564846615e-14,4.0022888957569776e-17,2.7114927403827996e-15,6.267552276593682e-16,2.5895219705176166e-15,9.201015106014303e-16,3.187607639884171e-16,1.0214822149199377e-16,2.1075014627276168e-19,7.489620381849675e-20,2.5960432486833662e-20,8.398569749569657e-21,2.257372627665341e-16,8.128754112981173e-17,2.925566403103424e-17,1.594799918466273e-17,3.9914451201219237,96.00855487987808,0.1196097762708718,0.18682894938385705,-4.994759911840331e-15,4.555262978371134e-17,7.792968825793931e-18,1.2322387889543593e-18,5.030848275705612e-13,3.930852471951785e-15,9.789836947714109e-16,4.089884905410287e-15,1.0215662006174334e-16,1.594799918466273e-17,PROTAC 1,8.54,36000.0,1500,360,60,60,3.2,1.24e-12,1.0,5.24e-14
6.0,0.0012648552168552957,0.0,6.0,2.5294419161953514e-07,4.833418603493147e-16,4.899768189659559e-13,4.7566540794615656e-14,5.299312528304737e-17,3.56445240465866e-15,8.104222760738225e-16,3.3479940641353132e-15,1.1948864936558812e-15,4.1576999375592247e-16,1.3383631462824722e-16,3.6551243694229777e-19,1.30466757183616e-19,4.5413993804401096e-20,1.472103026148325e-20,2.932132760888873e-16,1.0605825620894665e-16,3.833516848530207e-17,2.097782386973985e-17,5.268728650313136,94.73127134968686,0.15466073970874475,0.24217687036769053,-6.528917758932482e-15,5.458690432172214e-17,9.629534742356553e-18,1.5358984998843236e-18,4.963918618723592e-13,5.093042980393556e-15,1.2690068007266983e-15,5.370350305235913e-15,1.338510356585087e-16,2.097782386973985e-17,PROTAC 1,8.54,36000.0,1500,360,60,60,3.2,1.24e-12,1.0,5.24e-14
