t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,6.0,1.999371699235686e-07,5.357976017483685e-16,1.7160290745104255e-13,5.138162834551737e-13,1.5881083625211204e-15,7.58012124630108e-15,1.1875545805307917e-15,4.6787372317924865e-15,2.5013106101193684e-15,1.3040839037516753e-15,6.364831445197238e-16,1.231068789078479e-16,6.70039677904094e-17,3.700443873873272e-17,3.127749183383361e-17,6.515462200093331e-16,3.570335023615037e-16,1.9544659360200178e-16,2.120144020250061e-16,64.66152313367436,35.33847686632564,0.22663255353641062,0.49686933178027415,-1.890386418066906e-14,-1.3114212863711618e-16,-7.466084961973212e-17,-2.3757641210050946e-17,1.8517361877954636e-13,9.379007667454078e-15,2.6035952985286364e-15,1.2566015286370031e-14,6.677606363535574e-16,2.120144020250061e-16,ACBI1,0.1,36000.0,1500,360,60,60,0.1,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999424498538894e-07,5.336660446755815e-16,1.1724809144659534e-13,5.142891758643464e-13,1.0700160278406983e-15,7.559108653870162e-15,8.811525646615114e-16,3.440548227357593e-15,1.996992790908431e-15,1.1320643153667897e-15,6.042893348764813e-16,8.506299824188779e-17,5.0355373828992156e-17,3.043473977110106e-17,2.9669902198367634e-17,5.264002588862064e-16,3.140551849329466e-16,1.8721673155931343e-16,2.4289074174312105e-16,75.60319835138,24.396801648619995,0.16815888638578463,0.41063272553112573,-1.2994922792955627e-14,-9.788059306284931e-17,-7.146590831037581e-17,-2.7445826625106362e-17,1.2783924063876877e-13,7.369417682549644e-15,2.1517154817830988e-15,1.1510029222209889e-14,6.339592370748489e-16,2.4289074174312105e-16,ACBI1,0.1,36000.0,1500,360,60,60,0.12067926406393285,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9994672104655945e-07,5.299677410036559e-16,7.93726916443264e-14,5.14730813819305e-13,7.122155068351335e-16,7.514861238488343e-15,6.402027211054727e-16,2.470441420975977e-15,1.5434223457429438e-15,9.434440588945709e-16,5.459230227942162e-16,5.719579357448333e-17,3.650049401137825e-17,2.395778534776267e-17,2.6767186726544445e-17,4.1271924206599197e-16,2.6569459026145404e-16,1.7095198761144325e-16,2.647564011608124e-16,83.30402973255066,16.695970267449344,0.12217609181402152,0.33479483629869744,-6.595485061037783e-15,-5.332537934216698e-17,-4.8541272163473874e-17,-2.249404010801888e-17,8.748688420143457e-14,5.6476521080678775e-15,1.7543249422051745e-15,1.0655790688192475e-14,5.726902095207606e-16,2.647564011608124e-16,ACBI1,0.1,36000.0,1500,360,60,60,0.14563484775012436,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9994956423360456e-07,5.26628873491564e-16,5.5830474644935906e-14,5.150421298800744e-13,4.930023507044016e-16,7.473718724734445e-15,4.794446100323185e-16,1.8226694455325878e-15,1.21581996167916e-15,7.950683353535016e-16,4.94508296152526e-16,3.9462667486420793e-17,2.6921680792458355e-17,1.905046105229789e-17,2.4217125815362763e-17,3.3070630850383273e-16,2.27780334871777e-16,1.5684877054878958e-16,2.89371371234656e-16,88.12111710597405,11.878882894025953,0.09149706298326689,0.28323499908232325,-2.310342228622328e-15,-2.00758510756277e-17,-2.2198204619407917e-17,-1.2415152109143085e-17,6.224534636469599e-14,4.437717973864315e-15,1.484151395191374e-15,1.0087153279268324e-14,5.187254219678888e-16,2.89371371234656e-16,ACBI1,0.1,36000.0,1500,360,60,60,0.1757510624854792,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999512544567266e-07,5.247087335454272e-16,4.143410996289878e-14,5.152238818501002e-13,3.6117098942111664e-16,7.451203282726488e-15,3.7675178517558474e-16,1.4062963684273435e-15,9.940952126940483e-16,6.902908815523359e-16,4.577773638478266e-16,2.848299997090527e-17,2.0609662803167744e-17,1.5614988463559713e-17,2.240313053432124e-17,2.7583395304952683e-16,2.0165119725171208e-16,1.4742735335017102e-16,3.23250578346737e-16,91.077143811491,8.922856188508995,0.07189919564419557,0.252846348697277,-4.814410065118896e-16,-4.613944535065863e-18,-6.0605191972098316e-18,-4.0949041254691336e-18,4.675576642778713e-14,3.6355706082935084e-15,1.3249148671737316e-15,9.749108654638717e-15,4.801804943821479e-16,3.23250578346737e-16,ACBI1,0.1,36000.0,1500,360,60,60,0.21209508879201905,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995227231390043e-07,5.239981881558764e-16,3.198568256990159e-14,5.153258025058364e-13,2.7600624053977937e-16,7.445080723258445e-15,3.0633682309515315e-16,1.1186224611554895e-15,8.32132241583452e-16,6.092829059347882e-16,4.275510155505065e-16,2.1219973709488626e-17,1.6166733890641363e-17,1.3029963015493583e-17,2.0918626390522336e-17,2.3627565709371115e-16,1.8197107506482004e-16,1.4019844610814084e-16,3.6433476954417894e-16,93.0248607819508,6.9751392180491925,0.05846122578151778,0.23456426925687096,-2.3237639370496482e-17,-3.3210687872841574e-19,-5.1975206375351165e-19,-4.27314756380405e-19,3.6549729502577765e-14,3.0589239212303817e-15,1.229116770906004e-15,9.545537219866252e-15,4.484696419410289e-16,3.6433476954417894e-16,ACBI1,0.1,36000.0,1500,360,60,60,0.2559547922699536,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995294990727824e-07,5.238550773940385e-16,2.5284440438251707e-14,5.15389353932587e-13,2.1635292717940315e-16,7.446617051527316e-15,2.535767919503211e-16,9.02152455644134e-16,7.01689898603331e-16,5.382071595273407e-16,3.968075173678819e-16,1.60559651721865e-17,1.2793112922690775e-17,1.0901962355866971e-17,1.9413431868412194e-17,2.0460739773797854e-16,1.6485869518627439e-16,1.3291979640638348e-16,4.0806633460546173e-16,94.41548780824822,5.584512191751788,0.0483925175477712,0.22214294196305712,1.647858101666173e-17,1.4736561562812879e-19,2.4625305640414465e-19,2.408725633774999e-19,2.9262843884779366e-14,2.5980215034618444e-15,1.1640290158864192e-15,9.410018544306334e-15,4.162209492362941e-16,4.0806633460546173e-16,ACBI1,0.1,36000.0,1500,360,60,60,0.3088843596477481,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.999534395007114e-07,5.238592013196932e-16,2.033587460303594e-14,5.154337898956483e-13,1.727153839332834e-16,7.449965809705019e-15,2.1229037260032847e-16,7.324943822101162e-16,5.922043140312183e-16,4.729718605754853e-16,3.639936210462497e-16,1.2258452272262695e-17,1.0152596966639232e-17,9.096051009132703e-18,1.7808068115606333e-17,1.78053684179785e-16,1.491341042697273e-16,1.2502963912591561e-16,4.517364944693242e-16,95.45118060537385,4.548819394626148,0.040513429885558866,0.21302372035211461,4.127619345194335e-18,4.966064903110209e-20,9.397423888948762e-20,1.1178013241384376e-19,2.383581362784101e-14,2.2109793462267103e-15,1.1162442946450806e-15,9.312099857966718e-15,3.8180168916185605e-16,4.517364944693242e-16,ACBI1,0.1,36000.0,1500,360,60,60,0.372759372031494,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995380321483566e-07,5.238726796561554e-16,1.66143388079387e-14,5.154658990792202e-13,1.4015867981972444e-16,7.453199108751422e-15,1.7952578942905223e-16,5.977385490582917e-16,4.996681813206699e-16,4.132669873496549e-16,3.300310327849316e-16,9.433482639270308e-18,8.076720890199762e-18,7.56795632958157e-18,1.6146592620209054e-17,1.5561241373138455e-16,1.3471118229916226e-16,1.167575767311472e-16,4.942948498377798e-16,96.23715099183592,3.7628490081640757,0.03426064683760539,0.2062789717611691,-8.139485325721717e-20,4.344670342922899e-21,9.766615102987346e-21,1.4422155547205547e-20,1.9717328802779758e-14,1.8819295029928084e-15,1.0809018120285262e-15,9.239357032735089e-15,3.4617762540514064e-16,4.942948498377798e-16,ACBI1,0.1,36000.0,1500,360,60,60,0.44984326689694454,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995407393158512e-07,5.238780998522181e-16,1.3777355840927858e-14,5.154887187985141e-13,1.1552284261852833e-16,7.456078407816788e-15,1.5332455173109076e-16,4.898813469980444e-16,4.2142263425164086e-16,3.5919109998078406e-16,2.960926455385521e-16,7.316355974818745e-18,6.4442964668636325e-18,6.284627714772364e-18,1.448625874762919e-17,1.36642914299508e-16,1.21632395541175e-16,1.0842556716277846e-16,5.351773649358431e-16,96.84175558341796,3.15824441658204,0.02926041063570434,0.2013745789447319,-2.9622761037960077e-19,-1.344014408775775e-21,-2.496516956884824e-21,-4.082584263414725e-21,1.654920074288989e-14,1.6011192656731054e-15,1.0552027936703952e-15,9.185213682862014e-15,3.1057890428618127e-16,5.351773649358431e-16,ACBI1,0.1,36000.0,1500,360,60,60,0.5428675439323859,2.49e-11,1.0,5.24e-14
6.0,0.001,0.0,6.0,1.9995427493267055e-07,5.238797946534899e-16,1.1586244341951218e-14,5.155044540799727e-13,9.662749894584532e-17,7.458668478896039e-15,1.3221555908105306e-16,4.029073040585274e-16,3.552077447553921e-16,3.106445015844349e-16,2.6310157342427414e-16,5.717004506800735e-18,5.158518322651771e-18,5.212482310452229e-18,1.2872247282307831e-17,1.2059834850863181e-16,1.0988477304004559e-16,1.0028507245088874e-16,5.738936880500445e-16,97.31286819498615,2.687131805013849,0.02523197692386509,0.19787737426157706,-1.0759122488676653e-19,-6.519671081693977e-22,-1.343127867168965e-21,-2.7111817778347035e-21,1.4080570658272568e-14,1.360821376244841e-15,1.0368774411306638e-15,9.145013466048251e-15,2.7597382070658195e-16,5.738936880500445e-16,ACBI1,0.1,36000.0,1500,360,60,60,0.6551285568595507,2.49e-11,1.0,5.24e-14
